word,counts
china,13063
chinese,5006
people,4948
country,3876
quot,3826
video,3691
city,3588
href,3082
food,2996
nice,2996
love,2891
favorite,2195
eat,2081
guangzhou,2062
time,1813
india,1677
lol,1596
america,1371
beautiful,1293
american,1276
chicken,1235
usa,1173
live,1172
guy,1069
government,1046
amazing,1041
day,1024
life,1024
lot,1006
money,930
wow,904
infrastructure,839
western,808
subway,807
eating,795
animal,794
friend,724
poor,722
watching,710
singapore,709
visit,688
living,683
feel,679
hope,676
west,668
bad,663
indian,658
endearment,639
street,634
african,634
building,634
clean,633
cantonese,631
black,627
human,625
snake,623
doesn,594
watch,590
train,588
medium,586
system,581
sea,578
speechless,572
real,566
station,548
sorrowing,542
future,540
comment,528
free,526
delicious,522
speak,516
freedom,514
called,511
culture,511
population,510
glad,506
war,505
seafood,499
sad,496
yeah,492
trevor,483
africa,480
metro,475
restaurant,474
english,469
lobster,464
hate,463
job,463
language,461
youtube,459
awesome,458
didn,454
crab,448
channel,447
asian,444
modern,441
ago,436
build,429
happy,423
dude,416
