word,counts
china,850
chinese,441
people,334
country,314
love,219
beautiful,203
virus,177
happy,107
time,96
nice,95
live,81
government,79
kill,77
life,71
talk,68
animal,68
corona,67
congratulation,66
news,53
hope,52
comment,51
iran,47
morning,46
taiwan,46
culture,45
human,45
food,45
spread,45
wuhan,45
dear,45
friend,45
strong,44
awesome,41
india,40
hate,40
lovely,39
shit,38
covid,37
girl,37
support,37
team,37
hard,36
medium,36
understand,36
family,35
mother,35
care,34
fuck,34
dont,34
fake,33
truth,33
true,32
motherland,32
american,31
indian,31
communist,31
call,31
yeah,31
destroy,30
fruit,30
send,30
control,30
stupid,30
disease,29
bless,29
picture,29
america,29
respect,28
muslim,28
poor,28
amaze,27
feel,27
english,27
meat,27
cute,26
fight,26
delicious,26
festival,26
speak,26
brain,26
real,26
nation,25
amazing,25
dirty,25
racist,24
peace,24
dead,24
change,24
wrong,24
dragon,23
freedom,23
western,23
mask,23
person,23
land,22
forever,22
party,22
follow,22
leave,22
hear,21
burden,21
stay,21
woman,21
happen,20
white,20
brother,20
korea,20
korean,20
daily,20
learn,20
mind,20
start,20
cool,20
luck,19
wait,19
olympics,19
flower,19
xinjiang,19
citizen,19
earth,19
iranian,19
harvest,19
post,18
army,18
shame,18
city,18
child,18
deserve,18
wonderful,18
create,18
opinion,18
force,18
worry,18
remember,17
photo,17
suffer,17
athlete,17
pakistan,17
share,17
mouth,17
pretty,17
super,17
attack,17
wear,17
medal,17
shut,17
free,16
steal,16
olympic,16
coronavirus,16
international,16
defeat,16
read,16
check,16
fine,16
sell,16
beauty,16
vaccine,16
word,16
hanfu,15
sweet,15
speech,15
democracy,15
lose,15
health,15
sick,15
torture,15
rest,15
heart,15
watch,15
reason,14
indonesia,14
healthy,14
funny,14
game,14
religion,14
innocent,14
united,14
leader,14
russia,14
market,14
gold,14
province,14
camp,14
jealous,14
hell,14
answer,14
situation,14
action,13
south,13
grow,13
spring,13
power,13
water,13
break,13
uighur,13
matter,13
treat,13
blame,13
disgust,13
