word,counts
运动,357
喜欢,340
真的,242
感觉,235
朋友,189
事情,147
思考,104
老师,94
能力,88
看不到,86
人生,86
理解,82
形容,81
特别,77
确实,75
学习,74
计划,72
一点,70
情绪,69
功能,69
擅长,68
工作,65
发展,65
想法,63
发现,63
希望,63
情感,61
世界,60
身边,59
好像,57
太阳,56
时间,55
不错,55
体育,54
状态,54
沟通,54
生活,53
测试,52
人格,52
自我,52
不好,52
不到,51
社交,51
怎麼,50
逻辑,50
相处,49
类型,49
感情,49
這種,49
完美主义,48
別人,48
我会,47
东西,46
内心,46
挑戰,46
分析,45
视频,45
苦惱,45
那种,42
有时候,42
感受,41
恋爱,41
努力,39
身体,38
完美,38
一种,38
讨厌,38
目标,38
不想,38
方式,38
挑战,37
关系,37
表达,37
大学,36
未来,36
符合,35
女生,35
想要,35
性格,35
找到,33
交流,33
理性,33
分享,33
导致,32
接受,31
健身,31
痛苦,30
更好,30
表现,30
合作,29
谷爱凌,29
孤独,29
细节,29
倾向,29
天赋,28
有人,28
很好,28
两个,27
评论,27
小时候,27
