发文时间,发帖数量,pos,neu,neg,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,转发,点赞,评论,熵值
2023-01-01,17,8,8,0,4,2,1,4,6,128,7960,1943,2.2779252649047086
2023-01-02,31,16,12,3,11,9,2,7,2,83,4614,1250,2.4924938715006584
2023-01-03,44,24,15,5,14,6,4,9,11,113,3183,1223,2.5901458614498756
2023-01-04,34,19,10,5,11,5,1,8,9,67,2681,863,2.646289795123059
2023-01-05,39,16,20,3,4,13,7,6,9,130,2910,761,2.930083241105102
2023-01-06,41,20,14,7,6,11,6,5,13,451,16643,6498,2.905319355887676
2023-01-07,40,17,17,5,13,7,3,9,8,216,4456,1711,2.530837259067575
2023-01-08,39,19,15,5,9,10,4,5,11,217,5550,1689,2.4999303407403755
2023-01-09,44,25,13,6,6,8,9,11,10,136,8630,1299,3.039339268898566
2023-01-10,30,16,13,1,5,4,4,2,15,63,4037,1362,2.4450118582675318
2023-01-11,47,26,18,3,8,14,6,8,11,2332,6054,1607,2.729767966282832
2023-01-12,32,20,9,3,7,9,2,10,4,111,3917,1107,2.760374579525298
2023-01-13,37,18,13,6,7,10,4,9,7,64,3916,939,3.045489949304796
2023-01-14,31,17,10,4,5,8,2,8,8,107,4381,1515,2.7815511373799384
2023-01-15,27,10,10,7,7,5,4,7,4,41,2622,902,2.7385172738056403
2023-01-16,35,19,10,5,9,6,4,5,11,157,5755,1932,2.8573053822338146
2023-01-17,48,25,16,6,10,12,7,12,7,119,20390,3310,2.7118118910453775
2023-01-18,36,19,12,5,8,8,4,6,10,97,3708,1159,2.9708491409800053
2023-01-19,48,36,9,3,9,12,10,4,13,142,5028,2164,2.9302014292219867
2023-01-20,36,13,19,4,8,11,5,5,7,77,3316,1137,2.7403684066127902
2023-01-21,28,13,15,0,3,6,2,5,12,53,2500,463,2.229221393270052
2023-01-22,21,15,4,2,5,6,2,2,6,39,2133,513,2.561543954301497
2023-01-23,36,19,12,5,9,3,6,12,6,40,3068,702,2.6899010860131094
2023-01-24,31,22,5,3,11,10,1,2,7,75,7046,1123,3.4252549297130725
2023-01-25,41,29,11,1,13,6,3,6,13,101,4587,1603,3.0391463378067862
2023-01-26,38,24,13,0,6,9,8,7,8,136,6582,1939,2.7677688150866104
2023-01-27,30,19,10,1,5,10,5,4,6,187,3921,1996,3.018910259101511
2023-01-28,24,12,7,5,5,7,3,4,5,53,2297,734,2.6898917578444945
2023-01-29,24,13,6,5,2,7,5,5,5,60,4000,2197,3.0843348202127583
2023-01-30,38,22,9,7,12,9,4,5,8,74,2825,756,2.9203505039374233
2023-01-31,45,27,12,6,9,11,11,5,9,205,4210,1249,3.220651926044109
