发文时间,发帖数量,pos,neu,neg,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,转发,点赞,评论,熵值
2023-03-18,24,11,8,5,7,8,1,5,3,257,9452,1859,2.6329816269474144
2023-03-19,25,11,9,5,6,1,5,6,7,194,3614,1862,2.8750188595972674
2023-03-20,23,11,5,7,5,7,2,4,5,146,5121,1183,3.2818609398220304
2023-03-21,26,15,6,5,4,7,5,2,8,99,13727,1622,2.798829791527329
2023-03-22,30,14,11,5,10,4,2,6,8,141,6215,2490,3.0985207587133656
2023-03-23,26,14,7,5,7,7,6,5,1,136,4147,1440,3.102755130869443
2023-03-24,23,11,8,3,3,8,2,3,7,208,9240,2479,3.1411284861448125
2023-03-25,12,5,4,3,3,2,2,2,3,76,2117,571,2.754759814620366
2023-03-26,14,7,4,3,3,4,3,0,4,61,2289,364,2.536833350279896
2023-03-27,20,9,11,0,3,5,3,7,2,49,2119,548,2.7886420411694366
2023-03-28,26,11,8,7,2,6,3,4,11,139,5535,2551,2.668905019141591
2023-03-29,23,18,3,2,9,4,4,1,5,83,2571,1015,3.2048202337927276
2023-03-30,30,19,7,4,12,2,3,6,7,164,6406,1711,2.94831359878495
2023-03-31,15,12,3,0,4,4,1,5,1,41,2364,477,2.747012156348648
2023-04-01,34,25,5,4,4,11,4,10,5,152,9341,2846,3.097084523051983
2023-04-02,11,9,1,1,2,2,2,2,3,43,3516,1207,2.765874829838216
2023-04-03,25,12,4,7,3,6,4,9,3,207,7615,1576,3.110911635085269
2023-04-04,25,11,12,2,2,7,1,11,4,85,4505,961,3.055603785124473
2023-04-05,22,15,3,4,6,5,2,4,5,199,16907,4849,3.037353437189364
2023-04-06,29,16,7,6,8,3,4,6,8,115,4054,953,3.1584268430228493
2023-04-07,16,10,2,4,6,3,0,3,4,73,5322,8550,3.394539279997656
2023-04-08,14,7,4,3,5,5,2,2,0,111,7077,2253,2.7434734022279796
2023-04-09,11,5,3,3,1,4,2,3,1,22,3046,816,3.149338763926464
2023-04-10,27,17,7,3,11,2,4,3,7,153,4741,1568,3.0662616621015606
2023-04-11,17,9,4,4,3,1,4,6,3,76,3225,1149,3.2318635560048183
2023-04-12,29,16,8,5,9,5,4,4,7,82,4726,1949,3.055993646831927
2023-04-13,26,13,8,5,6,7,3,3,7,150,3404,1000,2.849424659712499
2023-04-14,21,14,6,1,4,4,2,6,5,226,17398,4418,3.0364373991817737
2023-04-15,17,11,2,4,2,2,3,3,7,73,2147,632,3.1755949860525745
2023-04-16,14,6,5,3,4,2,2,2,4,67,2399,1042,3.3203079347329423
2023-04-17,31,18,11,2,3,4,8,11,5,194,6482,2022,2.6996168298781265
2023-04-18,33,18,6,9,6,11,6,3,7,74,5183,2517,3.171341917804021
2023-04-19,28,17,5,5,2,9,4,5,8,104,5286,1938,3.055754119497311
2023-04-20,18,13,5,0,2,6,5,3,2,226,9772,2289,3.2911599565925633
2023-04-21,25,13,6,4,8,3,2,3,9,97,5420,1674,3.1269771913831472
2023-04-22,26,16,3,7,4,12,3,3,4,94,3753,1125,3.2433177646307385
2023-04-23,25,14,7,4,6,7,5,2,5,167,3977,1718,2.881898735220403
2023-04-24,26,17,5,4,4,6,8,6,2,204,3637,1874,3.2111935360003048
2023-04-25,25,15,6,4,7,4,4,6,4,107,6022,1040,2.8957283249835317
2023-04-26,29,20,7,2,4,6,6,5,8,59,2429,1630,2.89208395213915
2023-04-27,26,11,11,4,6,3,4,6,7,105,5862,1432,2.858383516610691
2023-04-28,32,16,8,8,12,6,4,5,5,198,6564,2170,3.3016116517729754
2023-04-29,20,9,5,6,3,4,2,6,5,167,4283,1647,3.1110536488325877
2023-04-30,13,7,5,1,4,3,1,2,3,34,1502,362,2.709864103826957
2023-05-01,19,13,2,4,4,4,3,2,6,278,5919,2483,3.143242640747898
2023-05-02,25,10,13,2,7,6,5,3,4,166,3795,1501,2.78336981517436
2023-05-03,27,18,6,3,7,6,5,6,3,136,5022,1200,3.0409269696118852
2023-05-04,21,12,4,5,5,3,2,6,5,51,2500,809,3.2737779757924788
2023-05-05,43,24,9,10,13,7,8,5,10,329,9452,4542,3.191917584345357
2023-05-06,12,7,5,0,3,1,1,4,3,76,2873,467,2.6892740562127937
2023-05-07,21,12,7,2,6,3,1,7,4,167,5382,2459,2.68219589113232
2023-05-08,13,7,5,1,2,2,4,1,4,155,3357,1594,3.0888553876043954
2023-05-09,22,10,8,4,5,2,3,7,5,85,2890,1026,2.6398562964456698
2023-05-10,17,10,7,0,3,0,1,5,8,84,3399,1017,2.9829313580292336
2023-05-11,30,17,7,6,6,4,8,6,6,328,9563,7188,3.0016478298478275
2023-05-12,26,21,0,5,3,5,8,6,4,316,5062,2928,3.2189084071602894
2023-05-13,14,7,3,4,2,3,1,3,5,28,2682,510,3.039499082164184
2023-05-14,14,7,5,2,5,4,0,0,5,58,3012,1570,2.8078726875038735
2023-05-15,23,15,7,1,7,4,5,4,3,41,2063,387,2.85252277976214
2023-05-16,31,20,10,1,4,2,8,12,5,147,5746,6090,3.0600212908613087
2023-05-17,21,12,5,4,5,5,1,6,4,33,1812,314,3.070000501173347
2023-05-18,21,14,7,0,1,4,3,4,9,115,2861,1692,2.891205903708108
2023-05-19,26,11,12,3,5,5,4,7,5,73,3097,950,2.9833277604278696
2023-05-20,21,10,7,4,4,5,2,5,5,74,3006,1499,2.881423980720245
2023-05-21,13,9,4,0,2,2,1,7,1,21,10750,706,3.133444967373757
2023-05-22,20,9,8,3,5,5,5,3,2,40,1412,639,3.0862936538733776
2023-05-23,27,14,7,6,8,5,8,1,5,76,3050,1121,3.177447851775444
2023-05-24,27,15,6,6,8,7,3,5,4,152,5935,2004,3.1981811153161748
2023-05-25,25,14,9,2,5,5,6,5,4,155,12008,10401,2.755363069163084
2023-05-26,22,11,7,4,4,4,3,3,8,44,2412,555,3.317448222838728
2023-05-27,18,13,4,1,4,5,2,4,3,73,4224,1157,3.084722137749426
2023-05-28,14,7,4,3,2,5,1,4,2,70,4652,908,2.8457868875213834
2023-05-29,18,10,6,2,4,4,3,5,2,139,3098,1715,2.6514952779036753
2023-05-30,23,10,9,3,7,3,5,2,6,150,10439,2968,2.9425648180961774
2023-05-31,30,17,10,3,8,6,8,5,3,126,4513,1139,2.7111095280561845
2023-06-01,14,9,3,2,1,2,1,3,7,30,989,272,3.4666919985719153
2023-06-02,23,13,7,3,7,2,3,3,8,120,4436,1801,3.198586327717439
2023-06-03,17,7,4,6,1,3,5,4,4,78,3785,1363,3.2348524305767397
2023-06-04,8,4,1,3,1,2,1,3,1,23,324,120,2.9131943111030427
2023-06-05,27,16,10,1,6,7,5,2,7,130,3148,817,3.226931273635808
2023-06-06,20,11,6,2,9,6,1,1,3,169,4831,1254,3.2100914612673144
2023-06-07,26,9,14,3,6,6,7,4,3,230,2644,958,3.006996831709218
2023-06-08,30,18,9,3,4,6,9,4,7,156,5074,1187,3.018513507389484
2023-06-09,21,10,7,4,5,3,3,5,5,43,2698,903,2.7904616442069248
2023-06-10,18,9,4,5,4,3,3,4,4,70,2754,473,3.0495358132590673
2023-06-11,15,9,6,0,2,5,1,7,0,48,3565,929,2.6460014513662795
2023-06-12,27,10,12,5,5,2,6,3,11,73,3791,955,2.760494260786926
2023-06-13,30,11,15,4,4,6,8,4,8,56,3357,874,2.165176097910568
2023-06-14,30,12,13,5,3,9,6,7,5,127,10259,1569,2.7981904399329407
2023-06-15,28,14,11,3,4,6,5,7,6,28,3044,794,2.4834942863253486
2023-06-16,31,17,9,5,9,8,2,7,5,59,2428,692,3.108111140237575
2023-06-17,18,15,1,2,7,5,2,1,3,42,1331,455,2.9738988426164172
2023-06-18,16,8,6,2,6,2,3,2,3,103,2327,1238,2.9059741799013996
2023-06-19,18,12,3,2,3,1,3,5,6,102,2507,1297,2.9951802408654995
2023-06-20,34,17,12,5,7,5,4,7,11,75,3374,1027,2.9295178574280185
2023-06-21,34,18,12,4,10,5,6,5,8,76,7512,1009,3.012172736946028
2023-06-22,32,18,9,5,2,9,9,5,7,79,6404,1098,3.1739626620004526
2023-06-23,28,11,11,6,8,4,4,8,4,120,5211,850,2.9011769969273
2023-06-24,11,5,4,2,1,2,2,2,4,149,3530,649,2.6632197940724147
2023-06-25,12,6,3,3,5,0,3,1,3,101,4020,1086,2.8510341079537667
2023-06-26,16,7,9,0,4,4,2,3,3,74,3926,710,2.738452939513982
2023-06-27,26,18,2,6,9,4,6,4,3,120,4181,1612,3.4252733487464657
2023-06-28,27,20,6,1,10,3,3,8,3,65,3371,855,2.9405783067974314
2023-06-29,25,14,6,5,4,6,4,5,6,70,3423,647,3.198587691529936
2023-06-30,6,2,3,1,1,0,0,1,4,14,300,121,2.875195915991912
