word,counts
真的,132
喜欢,113
朋友,96
感觉,48
快乐,44
开心,36
人格,32
身边,25
讨厌,23
超级,21
老师,20
可爱,20
不想,17
视频,15
事情,15
关系,13
特别,13
两个,12
反复,11
大学,11
测试,11
宝贝,11
射手,11
一点,11
努力,10
思考,10
一模一样,10
有时候,9
大部分,9
生活,9
热情,9
好像,9
是因为,9
巨蟹,9
生气,9
水瓶,9
对象,9
天秤,9
一句,9
社交,9
白羊,9
地方,8
每次,8
相处,8
真实,8
确实,8
安慰,8
社恐,8
我会,8
性格,8
发现,8
希望,7
能力,7
难过,7
永远,7
东西,7
那种,7
小狗,7
羡慕,7
天蝎,7
本来,7
自私,7
开心果,7
温暖,7
接受,6
建议,6
面前,6
终于,6
样子,6
纠结,6
未来,6
高中,6
典型,6
有人,6
讲话,6
网上,6
不好,6
有没有,6
双子,6
影响,6
金牛,6
一秒,6
共情,6
情绪,6
有个,6
评论,6
小天使,6
闺蜜,5
三观,5
理解,5
变化,5
摆烂,5
想到,5
分析,5
情况,5
之间,5
乐子,5
不到,5
说话,5
熟人,5
