content,主题概率,主题类型,情感类型,情感得分
affect life waste time arguing ,"[(0, 0.027952151), (1, 0.027965618), (2, 0.028128514), (3, 0.028404547), (4, 0.8596561), (5, 0.027893065)]",4,NEGATIVE,0.994860827922821
afraid ,"[(0, 0.08334568), (1, 0.5824889), (2, 0.08362395), (3, 0.08375653), (4, 0.08343901), (5, 0.08334593)]",1,NEGATIVE,0.9996116757392883
afternoon ,"[(0, 0.5830977), (1, 0.083351925), (2, 0.08335174), (3, 0.083352156), (4, 0.08349407), (5, 0.0833524)]",0,POSITIVE,0.9877830147743225
afternoon china ,"[(0, 0.720622), (1, 0.05566249), (2, 0.056229346), (3, 0.05561564), (4, 0.0562701), (5, 0.055600423)]",0,POSITIVE,0.9959793090820312
afternoon dear china ,"[(0, 0.79072595), (1, 0.04174746), (2, 0.041974038), (3, 0.041745804), (4, 0.04211059), (5, 0.041696202)]",0,POSITIVE,0.9992669224739075
afternoon dear lovely china nice monday ,"[(0, 0.024486553), (1, 0.02385319), (2, 0.023870694), (3, 0.023878248), (4, 0.8799175), (5, 0.023993816)]",4,POSITIVE,0.9998326301574707
aftnoon ,"[(0, 0.083441146), (1, 0.08344065), (2, 0.08343938), (3, 0.5827967), (4, 0.083438985), (5, 0.08344314)]",3,NEGATIVE,0.9330263137817383
agency secret remember news travel ,"[(0, 0.027879478), (1, 0.027916236), (2, 0.86027914), (3, 0.027994966), (4, 0.027847055), (5, 0.028083129)]",2,NEGATIVE,0.829679012298584
agree ,"[(0, 0.08334105), (1, 0.08434553), (2, 0.08378511), (3, 0.08360077), (4, 0.083340876), (5, 0.5815867)]",5,POSITIVE,0.999811589717865
agree murica isis terrorist deserve overwork ,"[(0, 0.02392933), (1, 0.024025979), (2, 0.024160882), (3, 0.87986183), (4, 0.023964187), (5, 0.024057772)]",3,NEGATIVE,0.9977516531944275
agreement advantage 25year socalled cooperation program unilateral china plunder iran resource iranian patriot illegal invalid acknowledge bilateral ,"[(4, 0.95342845)]",4,NEGATIVE,0.9859107732772827
agricultural country ,"[(0, 0.05586857), (1, 0.719101), (2, 0.056820534), (3, 0.05583371), (4, 0.05675525), (5, 0.055620983)]",1,POSITIVE,0.9783725142478943
ahaha declare child ,"[(0, 0.04174895), (1, 0.04173174), (2, 0.042223327), (3, 0.041697048), (4, 0.041852444), (5, 0.7907465)]",5,NEGATIVE,0.7690809965133667
