Word1,Word2,Weight
不错呀,带来,1
不错呀,便利,1
喜欢,喜欢,5
喜欢,裙子,1
喜欢,好看,1
喜欢,父母,2
喜欢,漂亮,1
喜欢,烧鸡,1
喜欢,感觉,1
喜欢,不想,3
喜欢,好像,2
喜欢,希望,1
喜欢,文曲,2
喜欢,母亲,2
喜欢,注重,2
喜欢,层面,2
喜欢,村里人,4
喜欢,压得,2
喜欢,精神压力,2
喜欢,打工,2
喜欢,回去,2
喜欢,我会,2
喜欢,心疼,2
喜欢,琢磨,2
喜欢,玩意,2
喜欢,弱点,2
喜欢,招惹,2
喜欢,聪明,2
喜欢,人工智能,2
喜欢,智能,1
喜欢,创意,1
喜欢,安排,4
喜欢,人类,1
喜欢,科幻,1
喜欢,天际,1
喜欢,奇航,1
喜欢,故事,1
喜欢,片子,1
喜欢,角色,2
喜欢,女主,1
喜欢,塑造,1
喜欢,精神,1
喜欢,会演,1
喜欢,立体,1
喜欢,作品,1
喜欢,题材,1
喜欢,世界,6
喜欢,风格,2
喜欢,视频,3
喜欢,说话,1
喜欢,魔幻,1
喜欢,模样,2
喜欢,可爱,2
喜欢,数学,2
喜欢,老师,3
喜欢,相关,2
喜欢,文章,1
喜欢,看不下去,1
喜欢,讲课,1
喜欢,学霸,1
喜欢,季节,1
喜欢,关注,1
喜欢,帮忙,2
喜欢,点点,2
喜欢,讲故事,1
喜欢,想象,1
喜欢,绘本,1
喜欢,声音,4
喜欢,棒棒,1
喜欢,医生,1
喜欢,拍照,1
喜欢,好歹,1
喜欢,干净,1
喜欢,简洁,1
喜欢,页面,1
喜欢,生怕,1
喜欢,错漏,1
喜欢,烦躁,1
喜欢,伤人,1
喜欢,样子,1
喜欢,高层,1
喜欢,打扫,1
喜欢,烦死,1
喜欢,好听,2
喜欢,姥姥,8
喜欢,探访,1
喜欢,帮手,1
喜欢,火车,1
喜欢,高速运行,1
喜欢,暴躁,1
喜欢,爆炸,1
主题,节目,2
主题,怀旧,1
主题,满满,1
主题,主持,1
主题,友情,1
主题,指数,1
主题,得有,1
主题,像是,1
主题,老朋友,1
主题,塑料,1
主题,姐妹花,1
主题,聊得,1
主题,卤肉饭,1
主题,罚酒,1
主题,梗接,1
主题,衣服,1
主题,漂亮,1
主题,全国,1
主题,天空,1
主题,降低,1
主题,法律,2
主题,国际,1
主题,共享,1
主题,知识,1
主题,开幕,1
主题,接地,1
主题,全球,1
主题,开学,1
主题,年龄,1
主题,天气,1
主题,服贸会,2
主题,互惠,1
主题,细说,1
主题,第一课,1
主题,犯罪者,1
节目,怀旧,1
节目,满满,1
节目,主持,2
节目,友情,1
节目,指数,1
节目,得有,1
节目,像是,1
节目,老朋友,1
节目,塑料,1
节目,姐妹花,1
节目,聊得,1
节目,卤肉饭,1
节目,罚酒,1
节目,梗接,1
节目,全国,1
节目,意味着,1
节目,期待,1
节目,技术,1
节目,老师,1
节目,气质,1
节目,降低,1
节目,内容,1
节目,法律,2
节目,知识,1
节目,合成,1
节目,接地,1
节目,生物,1
节目,远程,1
节目,开学,1
节目,年龄,1
节目,退休,1
节目,延迟,1
节目,实验室,1
节目,休息,2
节目,辛苦,1
节目,出众,1
节目,考察,1
节目,松绑,1
节目,武器,1
节目,开战,1
节目,防汛防台,1
节目,响应,1
节目,发图,2
节目,评等,1
节目,截好,1
节目,第一课,1
节目,犯罪者,1
怀旧,满满,1
怀旧,主持,1
怀旧,友情,1
怀旧,指数,1
怀旧,得有,1
怀旧,像是,1
怀旧,老朋友,1
怀旧,塑料,1
怀旧,姐妹花,1
怀旧,聊得,1
怀旧,卤肉饭,1
怀旧,罚酒,1
怀旧,梗接,1
满满,主持,1
满满,友情,1
满满,指数,1
满满,得有,1
满满,像是,1
满满,老朋友,1
满满,塑料,1
满满,姐妹花,1
满满,聊得,1
满满,卤肉饭,1
满满,罚酒,1
满满,梗接,1
满满,感觉,1
满满,期待,1
满满,创意,1
满满,设定,1
满满,感动,1
满满,老师,1
满满,欧气,1
满满,新学期,2
满满,干货,1
满满,教授,1
满满,现场,1
满满,动力,2
满满,寄语,1
满满,付出,1
满满,回报,1
满满,收获,1
满满,氛围,1
满满,发布会,1
主持,友情,1
主持,指数,1
主持,得有,1
主持,像是,1
主持,老朋友,1
主持,塑料,1
主持,姐妹花,1
主持,聊得,1
主持,卤肉饭,1
主持,罚酒,1
主持,梗接,1
主持,意味着,1
主持,技术,1
主持,思维,1
主持,优秀,1
主持,气质,2
主持,内容,1
主持,医生,1
主持,流畅,1
主持,合成,1
主持,专业,1
主持,生物,1
主持,远程,1
主持,具备,1
主持,清晰,1
主持,退休,1
主持,延迟,1
主持,实验室,1
主持,休息,1
主持,出众,1
主持,考察,1
主持,松绑,1
主持,武器,1
主持,开战,1
主持,防汛防台,1
主持,响应,1
主持,发图,1
主持,主持人,1
主持,姥姥,1
主持,口才,1
主持,堪比,1
主持,周到,1
主持,敏捷,1
主持,表情,1
主持,仪态,1
友情,指数,1
友情,得有,1
友情,像是,1
友情,老朋友,1
友情,塑料,1
友情,姐妹花,1
友情,聊得,1
友情,卤肉饭,1
友情,罚酒,1
友情,梗接,1
指数,得有,1
指数,像是,1
指数,老朋友,1
指数,塑料,1
指数,姐妹花,1
指数,聊得,1
指数,卤肉饭,1
指数,罚酒,1
指数,梗接,1
指数,全国,1
指数,人工智能,1
指数,跻身,1
指数,关闭,1
指数,恐慌,1
得有,像是,1
得有,老朋友,1
得有,塑料,1
得有,姐妹花,1
得有,聊得,1
得有,卤肉饭,1
得有,罚酒,1
得有,梗接,1
像是,老朋友,1
像是,塑料,1
像是,姐妹花,1
像是,聊得,1
像是,卤肉饭,1
像是,罚酒,1
像是,梗接,1
像是,经济,1
像是,感觉,1
像是,好像,1
像是,表达,1
像是,人工智能,2
像是,智能,4
像是,优势,1
像是,创意,1
像是,感受,2
像是,苹果,1
像是,方向,1
像是,视频,1
像是,程序员,1
像是,空间,2
像是,原理,1
像是,动画,1
像是,声音,1
像是,绘画,1
像是,计算,2
像是,关键,1
像是,好比,1
像是,符合,1
像是,投影,1
像是,客观存在,1
像是,交互,1
像是,编辑,1
像是,理解,1
像是,依赖,1
像是,平台,1
像是,相比,1
