Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
超话,0.020,污水,0.035,鬼子,0.013,污水,0.021,废水,0.031,辐射,0.013
保护,0.012,支持,0.022,不吃,0.012,表态,0.020,社区,0.028,废水,0.010
抵制,0.012,核污染,0.019,污水,0.009,排放,0.014,污水,0.016,评论,0.010
日货,0.011,世界,0.011,醒醒,0.009,废水,0.009,热度,0.016,危害,0.010
旗下,0.011,人类,0.009,废水,0.008,小伙伴,0.009,地球,0.013,污水,0.009
交流,0.010,停止,0.007,热度,0.008,核污染,0.007,国家,0.011,图片,0.006
废水,0.009,排放,0.006,希望,0.007,国家,0.006,排放,0.007,收起,0.005
加油,0.008,国际,0.006,视频,0.006,关注,0.006,超话,0.007,核辐射,0.005
感兴趣,0.007,收起,0.005,绝食,0.005,核电站,0.006,核污染,0.007,建议,0.005
开通,0.007,辐射,0.005,公关,0.005,海水,0.005,人类,0.006,变异,0.004
感觉,0.006,水产品,0.005,总统,0.004,禁止,0.005,确实,0.006,核污染,0.004
爆发,0.006,废水,0.005,日本鬼子,0.004,超话,0.005,兴趣,0.005,有没有,0.004
希望,0.006,视频,0.005,氢弹,0.004,收起,0.005,干嘛,0.005,转发,0.004
地震,0.005,抵制,0.005,朋友,0.004,报道,0.004,喜欢,0.005,健康,0.004
产品,0.005,地球,0.005,收起,0.004,视频,0.004,感谢,0.005,好像,0.004
兴趣,0.005,历史,0.004,害怕,0.004,事情,0.004,感觉,0.004,国家,0.004
视频,0.004,希望,0.004,孩子,0.004,世界,0.003,可恶,0.004,世界,0.004
防晒,0.004,社会,0.004,好吃,0.003,发生,0.003,告诉,0.003,媒体,0.004
地球,0.004,保护,0.004,便宜,0.003,办法,0.003,全世界,0.003,数据,0.004
回来,0.004,排污,0.004,记得,0.003,海域,0.003,估计,0.003,回复,0.004
不错,0.004,阻止,0.004,可惜,0.003,人类,0.003,不到,0.003,做法,0.004
开心,0.003,水排,0.004,造谣,0.003,标准,0.003,小鬼子,0.003,可怜,0.004
没事,0.003,倭寇,0.004,排放,0.003,爆炸,0.003,世界,0.003,科学,0.003
智商,0.003,机构,0.004,海产品,0.003,全世界,0.003,感兴趣,0.003,愉快,0.003
人类,0.003,新闻,0.003,国产,0.003,相关,0.003,开通,0.003,政府,0.003
倒灌,0.003,超话,0.003,专用,0.003,计划,0.003,毁灭,0.003,元素,0.003
喜欢,0.003,国家,0.003,超话,0.003,新闻,0.003,收起,0.003,不行,0.003
本子,0.003,全球,0.003,停止,0.003,方式,0.003,视频,0.003,选择,0.003
国家,0.003,民众,0.003,请问,0.003,看着,0.002,排海,0.003,证明,0.003
时间,0.003,消息,0.003,政府,0.003,希望,0.002,地方,0.003,作用,0.003
推荐,0.003,解决,0.003,荷花,0.003,机构,0.002,排核,0.003,政客,0.003
收起,0.003,食材,0.003,赞成,0.003,国际,0.002,新闻,0.003,超标,0.003
眼睛,0.003,日方,0.003,食品,0.003,内容,0.002,消失,0.002,只能,0.003
危险,0.003,危害,0.003,担心,0.003,作秀,0.002,全球,0.002,排放,0.003
民族,0.002,原子能,0.002,网友,0.002,老师,0.002,说话,0.002,视频,0.003
打卡,0.002,组织,0.002,感到,0.002,组织,0.002,肯定,0.002,事情,0.003
讨厌,0.002,国际原子能机构,0.002,提议,0.002,浓度,0.002,海盐,0.002,发布,0.003
体验,0.002,可恨,0.002,国家,0.002,支持,0.002,老百姓,0.002,消失,0.003
海水,0.002,感觉,0.002,身体,0.002,建议,0.002,希望,0.002,回去,0.002
讨论,0.002,全人类,0.002,事情,0.002,时间,0.002,变态,0.002,人体,0.002
核污染,0.002,负责,0.002,不想,0.002,感觉,0.002,太坏,0.002,公布,0.002
民主,0.002,伤害,0.002,心疼,0.002,淡水,0.002,忘记,0.002,不用,0.002
化妆品,0.002,博主,0.002,老百姓,0.002,解决,0.002,健康,0.002,道理,0.002
思想,0.002,日货,0.002,核污染,0.002,找到,0.002,脑子,0.002,放射性,0.002
政治,0.002,经济,0.002,逻辑,0.002,好看,0.002,时间,0.002,报道,0.002
回家,0.002,拒绝,0.002,骨气,0.002,期待,0.002,大义,0.002,人类,0.002
普通人,0.002,国人,0.002,美好,0.002,水产品,0.002,鳗鱼,0.002,产品,0.002
污水,0.002,小伙伴,0.002,交流,0.002,还好,0.002,日本鬼子,0.002,漂亮,0.002
举报,0.002,环境,0.002,实在,0.002,赞同,0.002,海域,0.002,无害,0.002
报应,0.002,核辐射,0.002,舆论,0.002,区别,0.002,联合,0.002,能力,0.002
玩意儿,0.002,棒子,0.002,喜欢,0.002,正义,0.002,没用,0.002,食盐,0.002
可爱,0.002,麻烦,0.002,放弃,0.002,常识,0.002,玩意,0.002,采样,0.002
海啸,0.002,相关,0.002,时间,0.002,回答,0.002,留给,0.002,减少,0.002
汉奸,0.002,情况,0.002,投票,0.002,事件,0.002,芳丝,0.002,白花,0.002
生物,0.002,辐岛,0.002,只能,0.002,类似,0.002,灾难,0.002,想要,0.002
看过,0.002,生存,0.002,发声,0.002,伤害,0.002,恶心,0.002,好事,0.002
机会,0.002,厉害,0.002,流量,0.002,扩散,0.002,分享,0.002,空气,0.002
成功,0.002,泡菜,0.002,手机,0.002,事儿,0.002,优质,0.002,参与,0.002
没见,0.002,发声,0.002,人数,0.002,清醒,0.002,生物,0.002,信息,0.002
精日,0.002,减少,0.002,比例,0.002,科学,0.002,全人类,0.002,报告,0.002
原子弹,0.002,聪明,0.002,实施,0.002,经济,0.002,尝尝,0.002,食物,0.002
笑话,0.002,海域,0.002,预制,0.002,蒸发,0.002,事情,0.002,日方,0.002
评论,0.002,生态,0.002,民众,0.002,开放,0.002,仇恨,0.002,购买,0.002
没法,0.002,超标,0.002,扇贝,0.002,粉丝,0.002,好像,0.002,防护,0.002
文哥,0.002,武力,0.002,示威,0.002,接受,0.002,嘲笑,0.001,半衰期,0.002
有用,0.002,全世界,0.002,跟着,0.002,食品,0.002,拒绝,0.001,目的,0.002
电影,0.002,产品,0.002,集体,0.002,成本,0.002,沉默,0.001,放射,0.002
主意,0.002,指路,0.002,浪费,0.002,排入,0.002,该死,0.001,很大,0.002
关系,0.002,日子,0.002,老师,0.002,日资,0.002,变异,0.001,净化,0.002
素质,0.002,消费者,0.002,超市,0.002,企业,0.002,时代,0.001,讨论,0.002
不用,0.002,关注,0.002,记者,0.002,饮用水,0.002,护肤品,0.001,含有,0.002
链接,0.002,剂量,0.002,严谨,0.002,核弹,0.002,同事,0.001,物质,0.002
关心,0.002,数据,0.002,渔民,0.001,没人,0.002,角落里,0.001,开玩笑,0.002
插画,0.002,热点,0.002,原因,0.001,友好,0.002,火山,0.001,执行,0.002
做不了,0.002,看吧,0.002,渔船,0.001,政府,0.001,照耀,0.001,话题,0.001
辛苦,0.002,事件,0.002,邀请,0.001,文章,0.001,接触,0.001,拿出,0.001
发生,0.001,发布,0.002,会费,0.001,奇怪,0.001,政府,0.001,身体,0.001
家伙,0.001,愤怒,0.002,解释,0.001,混淆,0.001,正义,0.001,资本,0.001
功能,0.001,健康,0.002,作孽,0.001,神奇,0.001,自由,0.001,饿死,0.001
网页,0.001,独有,0.002,午餐,0.001,洗白,0.001,动漫,0.001,过滤,0.001
全球,0.001,排核,0.002,全世界,0.001,咋办,0.001,活着,0.001,爸爸,0.001
承认,0.001,找到,0.002,衣服,0.001,选择,0.001,关注,0.001,组织,0.001
战争,0.001,措施,0.002,国货,0.001,核试验,0.001,无辜,0.001,降低,0.001
反抗,0.001,救救,0.002,听懂,0.001,肯定,0.001,核爆,0.001,解释,0.001
自导自演,0.001,改变,0.002,能力,0.001,生物,0.001,核燃料,0.001,园田,0.001
起码,0.001,无视,0.002,无知,0.001,飞机,0.001,敌人,0.001,国际,0.001
捕捞,0.001,带来,0.001,发现,0.001,适合,0.001,本子,0.001,重点,0.001
排放,0.001,坏人,0.001,肯定,0.001,危害,0.001,感动,0.001,诉求,0.001
手机,0.001,广告,0.001,指责,0.001,态度,0.001,渔业,0.001,超话,0.001
点儿,0.001,风险,0.001,好像,0.001,意义,0.001,问问,0.001,不让,0.001
珍珠,0.001,报道,0.001,种子,0.001,机组,0.001,干净,0.001,稀释,0.001
没用,0.001,排海,0.001,不配,0.001,情况,0.001,怀疑,0.001,环境,0.001
面霜,0.001,证据,0.001,简单,0.001,老板,0.001,现实,0.001,水排,0.001
隐藏,0.001,距离,0.001,日子,0.001,制造,0.001,光明,0.001,代表,0.001
事情,0.001,正义,0.001,鱼油,0.001,私信,0.001,消灭,0.001,不信,0.001
健康,0.001,名字,0.001,妈妈,0.001,电力公司,0.001,改成,0.001,温度,0.001
医院,0.001,采取行动,0.001,法院,0.001,死亡,0.001,好喝,0.001,执政,0.001
官员,0.001,核食,0.001,报告,0.001,屏蔽,0.001,看不到,0.001,保护,0.001
反思,0.001,包括,0.001,快乐,0.001,生态,0.001,心理,0.001,新闻,0.001
资本家,0.001,水平,0.001,停下来,0.001,导致,0.001,排污,0.001,理解,0.001
