Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重
便宜,0.045,正义,0.078,转发,0.069,死刑,0.026,评论,0.050,伤害,0.066
轻伤,0.035,地方,0.021,回复,0.026,严惩,0.023,恶劣,0.046,政法,0.016
公开,0.024,造谣,0.017,后续,0.022,社会,0.020,图片,0.022,重伤,0.015
恐怖,0.015,估计,0.015,表态,0.021,法律,0.019,事实,0.016,判得,0.014
赔偿,0.015,迟到,0.013,热度,0.016,判决,0.015,撞死,0.015,办得好,0.012
危险,0.014,网友,0.012,官方,0.013,事件,0.011,性质,0.012,极端负责,0.012
尊重,0.011,说话,0.011,确实,0.010,法治,0.011,矛盾,0.012,残忍,0.012
女子,0.010,除恶,0.011,媒体,0.010,凶手,0.011,开车,0.011,前妻,0.012
打人者,0.010,扫黑,0.010,可恶,0.009,受害者,0.010,共情,0.011,继志,0.011
抢救,0.010,民警,0.010,女人,0.009,希望,0.010,冤有头,0.011,男女,0.011
网暴,0.009,报道,0.010,依法严惩,0.009,无辜,0.010,债有主,0.011,微博,0.011
折磨,0.007,厉害,0.010,消息,0.009,体现,0.010,痛苦,0.010,容忍,0.010
恐慌,0.007,底线,0.009,男人,0.007,支持,0.010,传谣,0.009,委屈,0.009
话题,0.006,不公,0.008,实名,0.007,警示,0.009,取消,0.008,巷子,0.009
烧烤,0.006,彰显,0.008,人渣,0.007,事情,0.009,努力,0.007,手段,0.007
公告,0.006,嚣张,0.008,心理,0.006,发生,0.008,老百姓,0.007,老人,0.006
鞭刑,0.005,只能,0.008,没了,0.006,执行,0.008,纠纷,0.007,轻伤,0.006
伤情,0.005,严厉,0.008,分割,0.006,效应,0.007,感到,0.006,成功,0.006
酷刑,0.005,殴打,0.007,恢复,0.006,打人,0.007,后台,0.006,没收,0.005
公安机关,0.005,老婆,0.007,鉴定,0.006,罪犯,0.006,维权,0.005,讨回,0.005
