时间,博主,内容,点赞,转发,评论
"
                        01月11日 11:31
                        ",体域,"
                    【经典场景回顾】 2008年到2010年的三年，大卫斯特恩为科比颁发了属于球员的最高荣誉！    ​                ",5, 1, 1
"
                        01月11日 11:26
                        ",ikobe_24,"
                       24号的意义就是24小时，我希望把所有精力投入到篮球之中，这是我选择24号的原因。如果不能全身心投入，我就不是科比，24是我的最佳诠释。 ​                ",9, 转发, 8
"
                        01月11日 10:42
                        ",黑曼巴经典视频,"
                    假如他退役后做了教练，会是什么样子？    ​                ",61, 6, 14
"
                        01月11日 09:20
                        ",KB824Mamba,"
                    险些摔倒！科比一把拉住了瓦妮莎。瓦妮莎当时穿着昂贵的高跟鞋，虽然科比牵着她的手，还是差点摔到。拉起来的时候，科比轻轻拍了一下瓦妮莎的后背，细节就是爱！这是这场比赛，瓦妮莎穿着舒适，颜值超高，依旧是赛场看点！      ​                ",32, 1, 2
"
                        01月11日 08:54
                        ",黑曼巴经典视频,"
                    你为什么爱他？很多人不知道科比为什么那么受欢迎，那我来告诉你！    ​                ",42, 17, 9
"
                        01月11日 08:44
                        ",KB824Mamba,"
                    科比生涯低位背身单打系列(7)！    ​                ",45, 7, 2
"
                        01月11日 08:30
                        ",淡泊宁静69150,"
                     新光合计划       ​                ",3, 转发, 评论
"
                        01月11日 08:24
                        ",篮球信箱,"
                    在NBA历史上单场百分百命中率有多难！ 1、霍华德：24次 2、科比：6次 3、奥尼尔：5次 4、邓肯：3次 5、张伯伦：3次 6、约基奇：2次 7、格林：2次 8、姚明：2次 9、杜兰特：1次 10、库里：1次  ​                ",6, 1, 4
"
                        01月11日 08:19
                        ",当代篮球,"
                    “你知道科比人生最后24小时怎么度过的吗？”     ​                ",464, 71, 15
"
                        01月11日 08:06
                        ",KB824Mamba,"
                    长相思兮长相忆，短相思兮无穷极💔  ​                ",409, 35, 34
"
                        01月11日 07:43
                        ",体育人李玉国,"
                    如果本赛季湖人夺冠，那么历史地位的问题必须好好说说了 威少作为历史三双王，有没有可能一枚戒指进历史前20 詹姆斯如果本赛季夺冠，将会以五冠五fmvp加历史总得分第一成为与乔丹平起平坐的存在，如果是六冠就会毫无争议成为第一人GOAT。  ​                ",151, 3, 92
"
                        01月11日 07:35
                        ",体坛热评酱,"
                    NBA不能惹的球员之科比，艾弗森加内特都忌惮去惹科比  |     ​                ",1, 转发, 2
"
                        01月11日 07:06
                        ",KB824Mamba,"
                    人生要走的路，没有一条是容易的路，我们只能选择一条更适合自己的路，然后凭借自己的努力，去决定自己的样子，去过上最想要拥有的那一种生活！早安～   ​                ",34, 3, 2
"
                        01月11日 06:33
                        ",酷女孩教科书,"
                     以前的瓦妮莎笑得真开心！看赛也要精心打扮一下，身材黑色一字肩上衣的她，身材傲人，红唇气质十足！一家人看赛其乐融融，还不忘拿出手机拍照，那时的她太幸福了！      ​                ",赞, 转发, 评论
"
                        01月11日 06:18
                        ",当代篮球,"
                    科比与女儿Gigi的甜蜜对话，他真的好宠爱Gigi啊       ​                ",15, 1, 1
"
                        01月11日 05:46
                        ",TITAN陆边社,"
                    【别为了那些不属于你的观众去演绎不擅长的人生，花开花落是风景，潮起潮落是人生！】❤️  “ 别为了那些不属于你的观众去演绎不擅长的人生，花开花落是风景，潮起潮落是人生☀️！”         ​                ",1, 1, 1
"
                        01月11日 05:24
                        ",篮球信箱,"
                    NBA历史上，只有6次王朝球队！ 1、拉塞尔：凯尔特人王朝，11冠 2、贾巴尔和魔术师i：湖人王朝，5冠 3、乔丹：公牛王朝，2次3连冠 4、奥尼尔和科比：湖人王朝，3连冠 5、邓肯：马刺王朝，5冠 6、库里：勇士王朝，8年4冠  ​                ",2, 转发, 1
"
                        01月11日 02:24
                        ",篮球信箱,"
                    NBA达到24000分所用的场次！ 1、乔丹：750场 2、詹姆斯：874场 3、杜兰特：888场 4、科比：954场 5、哈登：966场 6、甜瓜：1044场 乔丹中途退役了两次，科比2年替补，哈登3年替补。  ​                ",2, 转发, 2
"
                        01月11日 02:19
                        ",好心人士23410,"
                     杜兰特谈到了自己在2019年总决赛中跟腱断裂以及随后的康复过程。 杜兰特说自己受伤后接到了科比的短信。科比写道：”不要做一个爱哭的软蛋，会好的。你会回来继续做你自己。”      ​                ",赞, 转发, 评论
"
                        01月11日 01:46
                        ",郑盛彬,"
                     杜兰特谈到了自己在2019年总决赛中跟腱断裂以及随后的康复过程。 杜兰特说自己受伤后接到了科比的短信。科比写道：”不要做一个爱哭的软蛋，会好的。你会回来继续做你自己。”      ​                ",赞, 转发, 评论
"
                        01月11日 00:36
                        ",卫平布莱恩特-,"
                    ❤️          “ 别为了那些不属于你的观众去演绎不擅长的人生，花开花落是风景，潮起潮落是人生☀️！”   ​                ",372, 43, 19
"
                        01月11日 00:08
                        ",Autohao,"
                    Kobe Bryant  ​                ",65, 转发, 评论
"
                        01月11日 00:03
                        ",KB824Mamba,"
                    特别珍贵！照片中瓦妮莎抱着Tayah，科比坐在一旁，画面十分有爱，Tayah是科比姐姐的女儿，那时候的他们真的好幸福啊～  ​​​                ",28, 2, 2
"
                        01月11日 00:00
                        ",布据一格,"
                     新光合计划       ​                ",赞, 转发, 评论
"
                        01月10日 23:56
                        ",全能控卫,"
                    科比装X名场面    ​                ",436, 15, 84
"
                        01月10日 23:53
                        ",岁岁无言哇,"
                     科比的夫人——瓦妮莎曾经是NBA最漂亮的太太团一员，她是拉美墨西哥血统，美得不可方物，黑曼巴一见钟情💘，帅哥美女，一对璧人，曾是赛场内外最靓丽的一道风景！      ​                ",赞, 转发, 评论
"
                        01月10日 23:42
                        ",旧巷子意中人,"
                     科比8号球衣的精彩瞬间， 回忆总是那么美好， 回忆总是充满忧伤！ 一切仿佛就在昨天， 一切仿佛恍如昨日， 一切仿佛不曾发生， 一切都已经结束了！  ​                ",赞, 转发, 评论
"
                        01月10日 23:26
                        ",KB824Mamba,"
                    我本不善言辞，却忙于人际交往，我本喜欢独处，却忙于奔波劳碌，而所做的一切，就是为了那能解万千惆怅的碎银几两！晚安~       ​                ",34, 3, 2
"
                        01月10日 23:01
                        ",鲲雲的名人堂,"
                    科比在这点上确实输给了詹姆斯！      ​                ",赞, 1, 2
"
                        01月10日 22:50
                        ",KB824Mamba,"
                    NBA96黄金一代，谁是你心中的前五顺位？评论区告诉大家！    ​                ",17, 1, 1
