id,label
vacuna,vacuna
pandemia,pandemia
salud,salud
covid,covid
asi,asi
pueden,pueden
desarrollo,desarrollo
situacion,situacion
mexico,mexico
falta,falta
ola,ola
diciembre,diciembre
global,global
menos,menos
investigacion,investigacion
aplicacion,aplicacion
embargo,embargo
personas,personas
meses,meses
fase,fase
siendo,siendo
efectividad,efectividad
efectos,efectos
resulta,resulta
manejo,manejo
capacidades,capacidades
pais,pais
fallida,fallida
estrategia,estrategia
promocion,promocion
uso,uso
medicamentos,medicamentos
critica,critica
subiremos,subiremos
citlallin,citlallin
andrade,andrade
pocas,pocas
veces,veces
historia,historia
humanidad,humanidad
visto,visto
esfuerzo,esfuerzo
integrador,integrador
torno,torno
causa,causa
identificacion,identificacion
exitosa,exitosa
prevenir,prevenir
enfermedad,enfermedad
acuerdo,acuerdo
paises,paises
mundial,mundial
humanitaria,humanitaria
vacunas,vacunas
dijo,dijo
ano,ano
ricos,ricos
general,general
tedros,tedros
millones,millones
naciones,naciones
unidas,unidas
ser,ser
catastre,catastre
deben,deben
pobres,pobres
combatir,combatir
altos,altos
funcionarios,funcionarios
asamblea,asamblea
jefe,jefe
programa,programa
beasley,beasley
china,china
mundo,mundo
mil,mil
dolares,dolares
crisis,crisis
advierte,advierte
eduardo,eduardo
morales,morales
estadosunidos,estadosunidos
proximo,proximo
perfila,perfila
pasar,pasar
llevar,llevar
estampida,estampida
coronavirus,coronavirus
dijeron,dijeron
viernes,viernes
organismo,organismo
compuesta,compuesta
miembros,miembros
alimentos,alimentos
pma,pma
david,david
organizacion,organizacion
ceremonia,ceremonia
presidente,presidente
sera,sera
enero,enero
comite,comite
investidura,investidura
joejoebiden,joejoebiden
presencia,presencia
washington,washington
acto,acto
estadosunidoss,estadosunidoss
protesta,protesta
joebiden,joebiden
vicepresidenta,vicepresidenta
advirtio,advirtio
extremadamente,extremadamente
limitada,limitada
propagacion,propagacion
seguridad,seguridad
pic,pic
espectadores,espectadores
donalddonaldtrump,donalddonaldtrump
tomara,tomara
formalmente,formalmente
nuevo,nuevo
tomaran,tomaran
