Topic0-主题词,Topic0-权重,,Topic1-主题词,Topic1-权重,,Topic2-主题词,Topic2-权重,,Topic3-主题词,Topic3-权重,,Topic4-主题词,Topic4-权重,,Topic5-主题词,Topic5-权重,,Topic6-主题词,Topic6-权重,,Topic7-主题词,Topic7-权重,,Topic8-主题词,Topic8-权重,,Topic9-主题词,Topic9-权重,,Topic10-主题词,Topic10-权重,,Topic11-主题词,Topic11-权重,,Topic12-主题词,Topic12-权重,
泳池,0.008,A2,位置,0.01,A1,热情,0.009,C3,设施,0.008,A2,位置,0.011,A1,民宿,0.013,A,下午茶,0.008,F1,设施,0.011,A2,酒店,0.012,A,体验,0.012,/,管家,0.011,D,环境,0.011,A3,行李,0.008,/
感觉,0.008,/,推荐,0.01,E,体验,0.009,/,体验,0.008,/,整洁,0.011,A3,洗衣机,0.011,A2,推荐,0.008,E,舒服,0.011,D2,整洁,0.009,A3,地理位置,0.01,A1,设施,0.011,A2,满意,0.011,/,贴心,0.007,C3
贴心,0.008,C3,江景,0.009,A1,不错,0.009,/,蜗牛,0.008,/,景色,0.007,A1,冰箱,0.009,A2,性价比,0.008,E,满意,0.01,/,拍照,0.009,A,装修,0.009,F2,拍照,0.011,A,很漂亮,0.009,A,很棒,0.007,/
酒店,0.008,A,适合,0.008,/,好看,0.008,A,环境,0.007,A3,图片,0.007,A,早餐,0.009,F1,交通,0.008,A1,装修,0.01,F2,卫生,0.009,A3,好吃,0.009,F1,适合,0.011,/,喜欢,0.009,E,值得,0.007,E
卫生,0.008,A3,不错,0.008,/,设施,0.008,A2,打扫,0.006,A3,解决,0.007,C,地理位置,0.009,A1,客服,0.008,C,交通,0.009,A1,好吃,0.007,F1,卫生,0.008,A3,开心,0.009,/,漂亮,0.007,A,帮忙,0.007,C
朋友,0.008,/,选择,0.007,/,厕所,0.006,A,装修,0.006,F2,机会,0.007,/,舒服,0.009,D2,朋友,0.008,/,热情,0.009,C3,感觉,0.007,/,马桶,0.007,A2,地理位置,0.009,A1,贴心,0.007,C3,卫生,0.007,A3
喜欢,0.008,E,风格,0.007,F,推荐,0.006,E,地理位置,0.006,A1,选择,0.007,/,不错,0.009,/,位置,0.008,A1,感觉,0.008,/,交通,0.007,A1,步行街,0.007,A1,热情,0.009,C3,客厅,0.007,A,客人,0.006,/
押金,0.006,B3,态度,0.007,C,酒店,0.006,A,值得,0.006,E,出行,0.007,A1,出行,0.009,A1,热情,0.008,C3,很大,0.007,A,装修,0.007,F2,智能,0.007,A2,地方,0.009,A1,住宿,0.007,/,服务态度,0.006,C
烧烤,0.006,F1,装修,0.007,F2,地铁站,0.006,A1,行李,0.006,/,到位,0.007,D,感觉,0.009,/,酒店设施,0.006,A2,整洁,0.007,A3,设施,0.006,A2,朋友,0.007,/,值得,0.009,E,前台,0.007,D,打卡,0.006,A1
院子,0.006,A,满意,0.007,/,装修,0.006,F2,喜欢,0.006,E,房东,0.007,D,热情,0.007,C3,行李,0.006,/,拍照,0.006,A,地铁,0.005,A1,出行,0.007,A1,位置,0.009,A1,用品,0.007,A2,环境,0.005,A3
