negative-word,negative-counts,neutral-word,neutral-counts,positive-word,positive-counts
缺乏,4.0,,,,
垃圾,1.0,,,,
较差,1.0,,,,
不佳,1.0,,,,
偏低,1.0,,,,
较弱,1.0,,,,
模糊,1.0,,,,
尚缺,1.0,,,,
法律法规,1.0,,,,
落后,1.0,,,,
,,会议,3.0,,
,,高质量,2.0,,
,,单项奖,1.0,,
,,上线,1.0,,
,,交流,1.0,,
,,精神,1.0,,
,,先进个人,1.0,,
,,校党委,1.0,,
,,保障,1.0,,
,,主体,1.0,,
,,,,点赞,10.0
,,,,感动,3.0
,,,,深受感动,1.0
,,,,新年快乐,1.0
,,,,活泼可爱,1.0
,,,,太帅,1.0
,,,,好开心,1.0
,,,,优点,1.0
,,,,很暖心,1.0
,,,,赞不绝口,1.0
