word,counts
真的,175
喜欢,101
朋友,89
感觉,87
付出,62
理解,49
人格,43
相处,40
特别,35
视频,35
情绪,35
希望,31
事情,29
功能,28
生活,27
照顾,26
想要,26
确实,26
关系,25
类型,25
一点,25
想法,24
有时候,24
社交,24
开心,21
沟通,21
发现,21
感受,20
一种,20
真实,20
东西,20
表达,19
时间,19
选择,17
社会,17
关心,17
自我,17
不想,17
身边,17
环境,17
接受,16
吵架,16
讨厌,16
那种,16
父母,15
情感,15
性格,15
生气,15
有人,15
好像,15
骨哥,15
伤害,14
在意,14
需求,14
同事,14
内心,14
不好,14
努力,14
学习,14
感谢,14
每次,13
明白,13
所有人,13
世界,12
家庭,12
建议,12
工作,12
表现,12
聚会,12
是因为,12
回报,12
难受,12
评论,12
一句,12
家人,12
肯定,12
思考,11
老师,11
不用,11
发展,11
男妈,11
接触,11
其他人,11
冲突,11
刻板,11
两个,11
真诚,11
导致,11
认可,11
视角,11
真心,11
强势,11
和谐,10
之间,10
尊重,10
感到,10
测试,10
拒绝,10
印象,10
方式,10
