Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
酒店,0.046,导游,0.101,行程,0.057,酒店,0.073,酒店,0.066
领队,0.034,行程,0.076,导游,0.036,方便,0.025,导游,0.031
导游,0.016,领队,0.038,领队,0.036,房间,0.015,行程,0.028
飞机,0.012,司机,0.017,时间,0.020,航班,0.014,司机,0.016
新加坡,0.012,热情,0.017,问题,0.018,新加坡,0.011,巴厘岛,0.013
司机,0.011,愉快,0.016,酒店,0.017,时间,0.009,时间,0.011
接机,0.010,越南,0.015,司机,0.017,机场,0.008,感觉,0.010
越南,0.009,全程,0.014,自由,0.015,总体,0.008,景点,0.009
热情,0.008,耐心,0.013,管家,0.013,干净,0.008,自由,0.009
方便,0.008,中文,0.013,全程,0.012,交通,0.007,泳池,0.008
机场,0.008,景点,0.012,新加坡,0.010,早餐,0.007,地方,0.008
感觉,0.006,认真负责,0.011,客服,0.010,步行,0.006,早餐,0.008
行程,0.006,泰国,0.010,顺利,0.010,市区,0.006,沙滩,0.007
地方,0.006,大家,0.009,团队,0.009,有点,0.006,师傅,0.007
自由,0.005,柬埔寨,0.009,愉快,0.008,孩子,0.006,中文,0.007
客服,0.005,专业,0.008,项目,0.007,圣淘沙,0.006,房间,0.007
时间,0.005,细心,0.008,整体,0.006,游玩,0.006,热情,0.007
师傅,0.005,幽默,0.008,大家,0.006,行程,0.005,问题,0.006
耐心,0.005,购物,0.006,很好,0.006,自由,0.005,建议,0.006
经历,0.005,体验,0.006,体验,0.006,飞机,0.005,总体,0.006
马来西亚,0.004,管家,0.006,曼谷,0.006,天气,0.005,项目,0.006
航空,0.004,风趣,0.006,感觉,0.005,导游,0.005,整体,0.006
有点,0.004,谢谢,0.005,景点,0.005,建议,0.005,海滩,0.005
景点,0.004,轻松,0.005,完美,0.005,动物园,0.005,住宿,0.005
谢谢,0.004,地方,0.005,团餐,0.005,司机,0.005,方便,0.005
很棒,0.004,游客,0.005,态度,0.005,体验,0.005,全程,0.005
大家,0.004,时间,0.005,家人,0.005,环球,0.005,有点,0.005
舒服,0.004,热心,0.005,航班,0.005,普吉岛,0.004,环境,0.005
总体,0.004,注意事项,0.005,线路,0.004,影城,0.004,体验,0.005
态度,0.004,问题,0.005,落地,0.004,金沙,0.004,游玩,0.005
全程,0.004,细致,0.005,很棒,0.004,地理位置,0.004,大家,0.005
巴厘岛,0.004,老人,0.005,泰国,0.004,人员,0.004,时候,0.005
妈妈,0.004,认真,0.005,旅程,0.004,泳池,0.004,客服,0.004
时候,0.003,很好,0.005,解决问题,0.004,设施,0.004,孩子,0.004
细心,0.003,很棒,0.005,方便,0.004,景点,0.004,丰富,0.004
长滩,0.003,师傅,0.004,人员,0.004,沙滩,0.004,别墅,0.004
吉隆坡,0.003,团队,0.004,阿东,0.004,最好,0.004,机场,0.004
伍印伟,0.003,客服,0.004,国家,0.004,感觉,0.004,舒服,0.004
航班,0.003,朋友,0.004,机票,0.004,老人,0.004,珍珠,0.004
杨琦,0.003,住宿,0.004,私家,0.004,购物,0.004,风景,0.004
联系,0.003,吴哥,0.004,性价比,0.004,中文,0.003,东西,0.003
行李,0.003,责任心,0.004,热情,0.004,接机,0.003,芽庄,0.003
游玩,0.003,仔细,0.004,客户,0.004,排队,0.003,工作人员,0.003
杨小姐,0.003,胡志明,0.004,舒适,0.004,曼谷,0.003,完全,0.003
曼谷,0.003,关心,0.004,积极,0.003,芽庄,0.003,直接,0.003
意识,0.003,历史,0.004,产品,0.003,对面,0.003,私人,0.003
充裕,0.003,芽庄,0.004,轻松,0.003,沙巴,0.003,领队,0.003
五星,0.003,五星,0.004,总体,0.003,花园,0.003,购物,0.003
问题,0.003,游玩,0.004,中文,0.003,大家,0.003,接机,0.003
小姐姐,0.003,安全,0.004,热心,0.003,价格,0.003,耐心,0.003
用心,0.003,爸妈,0.004,住宿,0.003,全程,0.003,餐厅,0.003
晚点,0.003,感觉,0.003,办理,0.003,便利,0.003,价格,0.003
基本,0.003,旅途,0.003,事宜,0.003,滨海,0.003,一般,0.003
景色,0.003,总体,0.003,车子,0.003,丰富,0.003,海鲜,0.003
游客,0.003,旅程,0.003,尼泊尔,0.003,风景,0.003,航班,0.003
遗憾,0.002,吴哥窟,0.003,建议,0.003,房型,0.003,泰国,0.003
小朋友,0.002,文化,0.003,父母,0.003,餐厅,0.003,基本,0.003
携程网,0.002,巴厘岛,0.003,风景,0.003,专门,0.003,景色,0.003
城市,0.002,团员,0.003,师傅,0.003,一般,0.003,小费,0.003
中文,0.002,辛苦,0.003,耐心,0.003,基本,0.003,中国,0.003
价格,0.002,全家,0.003,省心,0.003,市中心,0.003,特色,0.003
亲子,0.002,最好,0.003,事情,0.003,城市,0.003,很棒,0.003
徐韵,0.002,胡志明市,0.003,优秀,0.003,灯光,0.003,飞机,0.003
泰国人,0.002,详细,0.003,联系,0.003,景色,0.003,愉快,0.003
空乘,0.002,酒店,0.003,暹粒,0.003,卫生,0.003,团餐,0.003
环境,0.002,天气,0.003,寺庙,0.003,环境,0.003,日落,0.002
语言,0.002,美奈,0.003,排队,0.003,机票,0.002,态度,0.002
陈导,0.002,孩子,0.003,女儿,0.002,硬件,0.002,舒适,0.002
