Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重
疫情,0.017,感觉,0.011
新冠,0.011,发烧,0.009
病毒,0.008,晚上,0.008
检测,0.007,症状,0.007
口罩,0.006,咳嗽,0.006
网页,0.006,难受,0.006
感染,0.006,感冒,0.005
核酸,0.006,几天,0.005
工作,0.005,抗原,0.004
公司,0.004,下午,0.004
中国,0.004,体温,0.004
情况,0.003,早上,0.004
冠状病毒,0.003,嗓子,0.004
健康,0.003,睡不着,0.004
新型,0.003,昨天,0.004
时间,0.003,希望,0.004
阳性,0.003,睡觉,0.003
医院,0.003,一点,0.003
防控,0.003,小时,0.003
人员,0.002,浑身,0.003
