Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重
核酸,0.030,核酸,0.006
疫情,0.022,小区,0.005
检测,0.019,晚上,0.005
防控,0.015,公司,0.004
人员,0.013,感冒,0.004
感染者,0.013,抗原,0.004
无症状,0.010,感觉,0.004
新增,0.010,隔离,0.004
确诊,0.010,明天,0.004
肺炎,0.010,有人,0.003
新冠,0.010,上班,0.003
病例,0.010,昨天,0.003
阳性,0.009,同事,0.003
隔离,0.008,症状,0.003
本土,0.007,方舱,0.003
工作,0.007,发烧,0.003
发现,0.007,医院,0.003
阴性,0.007,病毒,0.003
社区,0.007,几天,0.003
病毒,0.006,出门,0.003
