所属主题,文章数量,特征词,主题强度
Topic0,10166,核酸、疫情、检测、防控、人员、感染者、无症状、新增、确诊、肺炎、新冠、病例、阳性、隔离、本土、工作、发现、阴性、社区、病毒,0.28148
Topic1,25950,核酸、小区、晚上、公司、感冒、抗原、感觉、隔离、明天、有人、上班、昨天、同事、症状、方舱、发烧、医院、病毒、几天、出门,0.71852
