主题数,困惑度,一致性
2,-8.799843013102098,0.6582962900360114
3,-8.820205550892876,0.5830796374037813
4,-8.848439373180405,0.585456891081825
5,-8.975837789842382,0.5930005748725262
6,-9.014200644655865,0.6013553094449243
7,-9.158417662727235,0.5444891045888627
8,-9.35434676486021,0.5453753493841408
9,-9.604252992799395,0.5442490271502014
10,-9.96880593328193,0.5070043142768773
11,-10.433661597105303,0.5484710995006261
12,-10.955918857060611,0.5449773192375366
13,-11.412128711710467,0.5102848762996959
14,-11.756701868313383,0.5486361875337219
