所属主题,文章数量,特征词,主题强度
Topic0,7519,疫情、新冠、病毒、检测、口罩、网页、感染、核酸、工作、公司、中国、情况、冠状病毒、健康、新型、时间、阳性、医院、防控、人员,0.18417
Topic1,33308,感觉、发烧、晚上、症状、咳嗽、难受、感冒、几天、抗原、下午、体温、早上、嗓子、睡不着、昨天、希望、睡觉、一点、小时、浑身,0.81583
