word,counts,frequency
雷总,1099,0.551984
布斯,194,0.097438
雷军,165,0.082873
售后,85,0.042692
友商,79,0.039679
万辆,78,0.039176
营销,69,0.034656
卫生巾,36,0.018081
军儿,35,0.017579
汽车,28,0.014063
生产,24,0.012054
手机,20,0.010045
螺丝,19,0.009543
米粉,18,0.009041
流量,17,0.008538
电车,15,0.007534
造车,5,0.002511
红米,5,0.002511
