雷总,汽车,手机,雷军,万辆,售后,卫生巾,生产,电车,营销,油车,交付,工厂,员工,马斯克,广告,服务,期待,质量,雷神,公司,军哥,米粉,电池,产品,造车,红米
2625.0,1243.0,699.0,181.0,102.0,215.0,241.0,105.0,121.0,70.0,56.0,61.0,173.0,110.0,22.0,17.0,82.0,134.0,79.0,40.0,118.0,46.0,135.0,84.0,153.0,58.0,49.0
78.0,40.0,34.0,25.0,29.0,5.0,0.0,2.0,137.0,6.0,16.0,1.0,8.0,6.0,25.0,5.0,0.0,3.0,9.0,1.0,5.0,1.0,3.0,24.0,5.0,12.0,0.0
