主题类型,0
0,"{'消极态度': 0.04, '积极态度': 0.96}"
1,"{'消极态度': 0.18, '积极态度': 0.82}"
2,"{'消极态度': 0.17, '积极态度': 0.83}"
3,"{'消极态度': 0.13, '积极态度': 0.87}"
