时间,fenci,主题概率,主题类型
2023-11-07,季节 大雾 天气 增多 天气预报 辐射 辐射 危害 时间 视频,"[(0, 0.015236698), (1, 0.015261042), (2, 0.015228618), (3, 0.1305245), (4, 0.8084422), (5, 0.015306941)]",4
2024-02-01,遗毒 核试验 岛国 禁区 机构 报告 显示 世纪 核试验 遗毒 岛国 地方 核辐射 居住 提供 辐射 信息 疑虑 重重 问责局 发布 报告 披露 世纪 核辐射 危害 核武器 政府 问责局 报告 核试验 陆地 官员 出席 听证会 时说 核试验 放射性物质 相当于 引爆 威力 投下 原子弹 报告 指出 核试验 辐射 岛礁 可测 岛屿 居住 承认 核试验 环礁 辐射 政府 问责局 发现 环礁 辐射 水平 环礁 认定 环礁 辐射 位于 岛礁 人口 交由 托管 独立 政府 民众 担心 气候变化 引发 海平面 洪灾 导致 埋于 废物 泄漏 辐射 否认 国家 科学 工程 医学 学院 报告 显示 政府 指认 淡化 辐射 危险 政府 问责局 报告 政府 民众 提供 辐射 信息 怀疑 态度 信息 数量 晦涩 难懂 努力 专业术语 转化 民众 理解 语言 基地 冰盖 部署 核导弹 可行性 基地 基地 反应堆 核废料 垃圾 封存 冰盖 气候变化 冰层 有害 废物 泄漏 担忧 日益加剧 政府 问责局 报告 专业 数据 显示 冰盖 累计 担忧 建立 措施 问责局 报告 冰层 污染物 战略 轰炸机 运载 氢弹 上空 加油机 相撞 飞机 坠毁 氢弹 散落 氢弹 发生 核爆炸 氢弹 引爆 装置 爆炸 辐射 措施 消除 政府 问责局 报告 世纪 认定 水平 超过 标准 事故 农产品 困难 补救措施 签署 意向 声明 对话 来源 新闻 收起,"[(0, 0.07444192), (2, 0.7943234), (5, 0.12858516)]",2
2023-11-17,回应 核污染 水排 事关 全人类 健康 全球 国际 公共利益 日方 严肃 关切 负责 建设性 态度 妥善处理 包括 防范 应对 措施 维护 民众 健康 正当合理 希望 日方 相向 建设性 态度 找到 解决 核污染 水排 合适 途径 警方 视频 收起,"[(5, 0.97852856)]",5
2023-10-04,枪击 枪击 废水 月湖 雕塑公园,"[(0, 0.86033547), (1, 0.027926343), (2, 0.027873445), (3, 0.02804884), (4, 0.027863316), (5, 0.027952582)]",0
2023-10-12,废水,"[(0, 0.08376194), (1, 0.08388689), (2, 0.08352568), (3, 0.5812481), (4, 0.083459266), (5, 0.08411812)]",3
2023-10-14,废水 污水,"[(0, 0.05588386), (1, 0.055787615), (2, 0.055691697), (3, 0.7208684), (4, 0.05570817), (5, 0.056060307)]",3
2023-10-20,废水 战争 没救,"[(0, 0.041907642), (1, 0.041884735), (2, 0.041859932), (3, 0.79062235), (4, 0.04179959), (5, 0.041925706)]",3
2023-10-24,耐晒 看好 胖子 废水 加购 白管 小金 太油 银伞 犹豫 理肤泉 理肤泉 怕闷 防晒,"[(0, 0.01115097), (1, 0.795589), (2, 0.011149536), (3, 0.15975966), (4, 0.011178561), (5, 0.011172239)]",1
2023-11-08,想起 法则 废水 默念 倒灌 信念 人数 足够 强大 发生,"[(0, 0.01529785), (1, 0.015266533), (2, 0.015485945), (3, 0.015280955), (4, 0.015263238), (5, 0.9234054)]",5
2023-11-19,睡不着 宿舍 飞机 聊到 高铁 吃席 水产 废水 地震 疫情 火灾,"[(0, 0.014035609), (1, 0.014015309), (2, 0.9298294), (3, 0.014084205), (4, 0.013994419), (5, 0.014041034)]",2
2023-11-24,抵制 日货 国恨 国籍 日本鬼子 历史 罪行 动漫 终止 我会 姐姐 孩子 孩子 闺蜜 孩子 同事 孩子 我会 抵制 历史 侵略 罪行 告诉 排核 污水 破坏 地球 危害 标尺 恳请 颁布 动漫 行业 断舍 理智 看待 侵略 残杀 罪行 接受 文化 热爱 动漫 宽容 换来 正视 承认 侵略 事实 先辈 道歉 参拜 残杀 战犯 自私 排放 污水 全球 海域 危害 全球 生物 不顾 罪行 渺小 卑微 毁灭 魔卡 少女 动漫 传达 正义 价值观 善良 爱心 爱护动物 热爱 守护 地球 所做 无比 恶心 虚伪 至极 太膈 换掉 动漫 头像 日本鬼子 日本鬼子 排放 污水 诅咒 日本鬼子 地狱 羽生 结弦 神谷 顶用 无比 憎恨 日本鬼子 日本鬼子 原罪 地球 罪人 不配 人类 耻辱 做起 抵制 排放 核污染 自私 卑劣 排放 污水 全球 不顾 生病 新闻 年轻人 甲状腺癌 乳腺癌 环境 变得 恶劣 事儿 超话 电影 没用 年轻人 侦探 黑铁 鱼影 呼啸 收起,"[(0, 0.077291176), (3, 0.14712393), (4, 0.7719262)]",4
2024-02-06,舒服 开口 讲话 无能 废水 疗效 不错 喜欢 粉丝 便宜,"[(0, 0.43224505), (1, 0.5064869), (2, 0.015198585), (3, 0.015511024), (4, 0.0153140975), (5, 0.015244353)]",1
2024-02-08,儿子 远离 不吃 海产品,"[(0, 0.034098573), (1, 0.033494633), (2, 0.033572312), (3, 0.03375265), (4, 0.8316696), (5, 0.03341219)]",4
2024-02-24,互联网 当做 社交 平台 说法 市场 鱼类 火爆 废水 忘记 网传 市场 鱼类 火爆 说法 说法 源自 水产 报道 报道 提及 相关 说法 时间 视频 收起,"[(5, 0.96885157)]",5
2023-10-03,经济 高效 解决 污水 天才 科学家,"[(0, 0.88039637), (1, 0.023838613), (2, 0.023933763), (3, 0.023920126), (4, 0.023895957), (5, 0.024015184)]",0
2023-10-05,表态 计划 污水 排放 环境 生态 局局长 重申 排放 污水 选择 禁止 水产品 保障 食物 市民 卫生 健康 警告 排核 污水 續禁 水產品 收起,"[(0, 0.3953524), (5, 0.5777148)]",5
2023-11-02,正式 排放 污水 排放量 意味着 排放 结束 流入 污水 累计,"[(0, 0.01532724), (1, 0.015214348), (2, 0.015196838), (3, 0.015248643), (4, 0.015258686), (5, 0.9237543)]",5
2023-11-06,头号 资本 全人类 死敌 民众 排核 污水 排核 污水 感动 满意 满意 排核 污水 资本 巨头 公司 股东 股东 资本 先锋 领航 股东 公司 财阀 影子 集团 来头 不小 全球 规模 资产 集团 小米 百度 字节 集团 注入 股份 集团 入股 智警 拒绝 集团 员工 老板 主宰世界 掌管 总统 钱包 集团 污水 居民 甲状腺癌 发病率 增加 治疗 癌症 药厂 股东 集团 专家 估计 污水 带来 危害 药物 规模 市场 污水 排放 海水 提炼 淡水 变得 可恨 集团 注入 重金 收购 控股 净化 水产业 控制 石油 控制 全世界 控制 净水 预防药 控制 世界 疫情 疫情 污水 制毒 放毒 卖药 包括 疫苗 反复 核酸 熟悉 配方 熟悉 味道 污水 发财 套路 电力公司 集团 先锋 领航 资本 打手 手套 挡箭牌 隐藏 电力公司 资金 人类 犯罪分子 祸害 全人类 历史 罪人 收起,"[(0, 0.73279977), (3, 0.26191506)]",0
2023-11-12,废水 排放 愤怒 印象 失望 诧异 发现 普通人 做不了 谴责 在意 费解 有没有 所有人 所有人 关注 事情 所有人 忘记 废水 无耻 收起,"[(3, 0.9634682)]",3
2023-11-20,消息 时间 电力公司 核电站 完毕 排放 排放量 意味着 累计 污水 流入,"[(0, 0.01395319), (1, 0.013940079), (2, 0.01393721), (3, 0.013973927), (4, 0.013986609), (5, 0.930209)]",5
2023-11-23,开会 听听课 整理 文件 电话 世界 结束 午餐时间 想想 建筑 收起,"[(0, 0.2798041), (1, 0.66407424), (2, 0.013941492), (3, 0.014090032), (4, 0.014081747), (5, 0.0140083665)]",1
2023-12-04,看得见 万物 万物 肚子 没忙 吃饭 收起,"[(0, 0.020943018), (1, 0.328584), (2, 0.02094405), (3, 0.021070508), (4, 0.02099088), (5, 0.58746755)]",5
2024-01-12,全世界 污水 澎湃 破案 人心,"[(0, 0.028454715), (1, 0.027926153), (2, 0.027918408), (3, 0.67385095), (4, 0.2139104), (5, 0.027939366)]",3
2023-10-12,吃屎 全世界 味儿 混蛋 国家 原子弹,"[(0, 0.87986434), (1, 0.023905218), (2, 0.023881327), (3, 0.023872025), (4, 0.024596015), (5, 0.023881061)]",0
2023-10-21,世界 倒底 盛行 流浪 动物 实名制 互联网 活着 记录 世界 世界 模样 拥有 情绪 记录 推动 时间 不该 评价 议论 探讨 想法 实在 实在 想到 离谱 程度 世界 平和 疫情 废水 发生 状态 活着 发生 家人 孩子 离开 掩面 哭泣 给予 世界 收起,"[(3, 0.98089886)]",3
2023-10-24,魔幻 疫情 战争 废水 世界,"[(0, 0.41883236), (1, 0.02794668), (2, 0.027889917), (3, 0.46954456), (4, 0.02784216), (5, 0.027944323)]",3
2023-10-25,核污染 水排 民众 日本首相 官邸 集会 表达 诉求 名人 视频,"[(0, 0.015200163), (1, 0.015238702), (2, 0.17357557), (3, 0.015251104), (4, 0.47135082), (5, 0.3093836)]",4
2023-10-31,媒体 报道 采购 产品 缓解 产品 滞销 大使 供应商 签订 合同 扇贝 产品 海军 储存 地区 军事基地 食堂 时间 废水 发布 数据 显示 月份 水产品 归零 国际 新闻 视频 视频 收起,"[(4, 0.08433483), (5, 0.8945678)]",5
2023-12-27,新闻 报道 作出 安排 电力公司 核电站 废水 专家 重点 放在 弥合 废水 立场 分歧 解决 恢复 产品 估计 让步,"[(5, 0.9579307)]",5
2023-11-28,季节 大雾 天气预报 辐射 辐射 危害 时间 视频,"[(0, 0.018543536), (1, 0.018565487), (2, 0.01858162), (3, 0.018593527), (4, 0.9070085), (5, 0.018707246)]",4
2024-01-19,不到 玩具 专长 玩玩 聪明 辐射 危害 搞笑 学校 孩子 人手,"[(0, 0.013954956), (1, 0.014037701), (2, 0.013971692), (3, 0.0139749525), (4, 0.014060593), (5, 0.9300001)]",5
2024-01-23,大使 不错 前任 挑衅 反思 输出 停止 水产品 禁令 推动 日方 商贸 组织 来华访问 利益 利益 输出 分裂 不该 友好,"[(1, 0.46786296), (5, 0.4999907)]",5
2024-01-31,经济界 访华 当局 黑手 计划 包括 国家 商品 部件 技术 以防 用于 军事 用途 指出 完善 计划 酝酿 类似 实施 措施 老师 视频 收起,"[(5, 0.9664386)]",5
2023-10-01,请求 废水 喝光,"[(0, 0.041884918), (1, 0.41751647), (2, 0.041756265), (3, 0.41523534), (4, 0.041742455), (5, 0.04186456)]",1
2023-10-04,废水 破坏 细胞 结构 稳定 基因 序列 突变 程度 损害 视网膜 导致 治不好,"[(0, 0.012017669), (1, 0.3901261), (2, 0.011996916), (3, 0.012059118), (4, 0.1346141), (5, 0.43918607)]",5
2023-10-04,连发 地震 废水,"[(0, 0.0421137), (1, 0.04229932), (2, 0.7882468), (3, 0.043101106), (4, 0.041795623), (5, 0.042443413)]",2
2023-10-14,科考船 挺进 海域 科学 报道 疑似 废水 取样 航行 收起,"[(0, 0.01523313), (1, 0.015239347), (2, 0.015283641), (3, 0.015273863), (4, 0.015293191), (5, 0.92367685)]",5
2023-10-19,废水 排放 海产品,"[(0, 0.04199639), (1, 0.04178031), (2, 0.041836955), (3, 0.7903628), (4, 0.041899517), (5, 0.04212404)]",3
2023-10-22,读书 意义 改变 原因 技术 读书 追求 生育率 经济 高质量 质量 暴露 弊端 出生 人口 学位 难求 小学 增设 班级 教学楼 生育率 降低 小学 压根 公立 乡村 经济 增长 人口老龄化 生育率 降低 妥善安置 老人 提供 切实 优惠政策 想生 孩子 提供 便利 批判 生小孩 经历 不想 出生 小孩 经历 违背 读书 迫切需要 时代 因素 痛苦 纠结 国家 办法 体系 理解 质疑 希望 人口 国家 方式 脱离 感觉 思想 海豚 错误 滥杀 流浪狗 蔑视 陋行 暴露 正当 正义 名分 巴以 战争 战争 商人 政客 百姓 经历 亲人 痛苦 趴在 哭泣 人类 错误 逆转 战争 废水 空有 思考 能力 共情 能力 平民百姓 狂人日记 收起,"[(2, 0.35554245), (3, 0.18703559), (5, 0.45241472)]",5
2023-10-21,排放 废水 发声 动物 同情心 屁股 默认 赞同 上纲上线 送给 同情心 动物 可怜 挑不起 戏子 改变 支持 谴责 暴露 社会 上坏 督促 变得 恶心 戏子 同情心 双标 普通人 胆子 抨击 废水 动物 发声 善良 收起,"[(0, 0.9513453), (1, 0.029963715)]",0
2023-10-24,国家 时间 灭亡 排放 废水 没完 希望,"[(0, 0.89478385), (1, 0.020964095), (2, 0.020943072), (3, 0.021195775), (4, 0.021018194), (5, 0.021095019)]",0
2023-10-25,纠结 废水 害怕,"[(0, 0.26144093), (1, 0.041893944), (2, 0.041755795), (3, 0.04210613), (4, 0.04172944), (5, 0.5710738)]",5
2023-10-26,观摩 学习 废水 皮影戏,"[(0, 0.0336199), (1, 0.8321335), (2, 0.033482205), (3, 0.03367559), (4, 0.03347832), (5, 0.033610538)]",1
2023-10-31,废水 为首 团伙 灭绝,"[(0, 0.25297874), (1, 0.03371474), (2, 0.033832323), (3, 0.35826865), (4, 0.033637192), (5, 0.2875684)]",3
2023-11-04,社牛 时刻 国际 原子能 专家 废水 排核 废水,"[(0, 0.90645415), (1, 0.018634466), (2, 0.018593436), (3, 0.01885489), (4, 0.018701578), (5, 0.018761482)]",0
2023-11-20,废水 排入 人类 生态 危害 时报 解答 大众 关切 疑问 时报 累计 污水 流入,"[(0, 0.011179217), (1, 0.011171598), (2, 0.011168687), (3, 0.0112869255), (4, 0.9439304), (5, 0.011263213)]",4
2023-12-17,核污染 水排 转机 废水 影星 好评 视频,"[(0, 0.020922236), (1, 0.020930443), (2, 0.020935213), (3, 0.021000782), (4, 0.020937964), (5, 0.8952733)]",5
2023-12-24,废水 拍照 打卡 朋友圈 评论 核辐射 短期内 见效 记得 收起,"[(0, 0.0152471475), (1, 0.52341574), (2, 0.015515854), (3, 0.015346646), (4, 0.015208873), (5, 0.41526577)]",1
2023-12-25,太妹 变性 阉割 太妹 捂着 下体 搭配 废水 太妹 心碎 收留 中心 皮手套 手术室 点头 收起,"[(0, 0.9507108)]",0
2024-02-05,废水 消息,"[(0, 0.055855718), (1, 0.055848654), (2, 0.055772617), (3, 0.056382593), (4, 0.055791426), (5, 0.720349)]",5
2024-02-07,乐子 围观 道歉 感慨 废水 奇效 能治 伤病,"[(0, 0.018676639), (1, 0.01864129), (2, 0.01859172), (3, 0.018653551), (4, 0.01857887), (5, 0.9068579)]",5
2024-02-26,废水 赶着 春运 飞来 听说 管儿,"[(0, 0.12385372), (1, 0.024119643), (2, 0.023967043), (3, 0.0246058), (4, 0.023962207), (5, 0.7794916)]",5
2023-10-13,核污染 水排 排放 呼吁 建立 核污染 国际 安排 发布 消息 核电站 取样 海水 验出 放射性物质 浓度 辩称 采集 样本 污水 样本 小央 视频 小央 视频 视频 收起,"[(5, 0.97011673)]",5
2023-11-02,公司 劣迹 企业 保证 污水 视频,"[(0, 0.023888344), (1, 0.02385549), (2, 0.02386347), (3, 0.8802896), (4, 0.023953147), (5, 0.024149928)]",3
2023-11-03,正式 排放 污水 意味着 排放 结束 流入 污水 累计 超过 核电站 包括 工作人员 污水 辐射 引发 担忧 华侨 总主笔 自私 伤害性 破坏性 视频 收起,"[(1, 0.28476793), (4, 0.05538905), (5, 0.6396543)]",5
2023-11-17,报道 核电站 工作人员 污水 溅射 事故 电力公司 时间 事故 原因 阀门 操作 导致 管道 内压 软管 脱落 承包 作业 能源 系统 公司 接到 报告 时间 工人 清洗 污水处理 系统 管道 排水 软管 脱落 事故 发生 工人 两人 紧急 污染物 电力公司 双层 防护服 内衣 液体 浸透 降低 辐射 水平 送往 医院 净化 工人 身体 部位 男子 腹部 面罩 结果显示 工人 摄入 放射性 颗粒物 健康 网页 链接 收起,"[(1, 0.7780277), (5, 0.21193847)]",1
2023-11-22,呼吸 喝水 收费 世界 场景 发表 名为 赡养 人类 作品 提到 产者 拥有 星球 财富 剩下 穷人 只能 营养 想要 呼吸 空气 产者 交钱 穿着 宇航服 厚重 密闭 出门 描绘 场景 离谱 离谱 地球 团体 试图 小说 剧情 复制到 现实 世界 团体 资本 清晰 资本 例子 资本 大本营 大本营 大脑 核心 隐藏 集团 简单 掌管 超过 资产 干涉 政策 军方 提供 保护 资本 集团 疯狂 计划 全球 闻名 次贷 危机 次贷 危机 集团 创始人 称为 教父 名叫 婴儿 出生 家庭 金融 浓厚 兴趣 世界 赚钱 领域 大学毕业 学到 金融 相关 知识 参与 发明 贷款 债券 熟知 债券 通俗 住房贷款 包装 金融 产品 地套 杠杆 撬动 财富 天才 能玩出 金融 创新 所有人 发明 摧毁 强大 帝国 消费主义 盛行 贷款 强行 吸引 买房 降低 房贷利率 房贷利率 下滑 银行 玩起 首付 流浪汉 买房 楼市 暴涨 经济 资本 满意 获取 利益 发明 玩起 震惊 游戏 简单 例子 银行贷款 买房 还清 贷款 房子 银行 原本 房子 银行 买房 杠杆 资本 只用 首付 买到 总价 房子 名下 想到 银行 思路 清晰 旗下 价值 借钱 杠杆 借到 只用 首付 首付 撬动 资金 手套 离谱 没完 包装 金融 产品 首付 房价 上涨 转手 分钱 方式 加大 杠杆 楼市 市值 炒到 惊人 泡沫 破灭 无人 接盘 倒闭 所有人 闹到 坏账 留在 资产 负债表 借机 资产 冲到 登顶 全球 资产 公司 全球 次贷 危机 受益人 震惊 公司 干的事 所有人 想象 疫情 受益者 答案 疫苗 卖药 医药公司 查到 数据 疫情 利润 新冠 产品 超过 公司 股东 世界 癌症 药物 生产商 股东 刷新 认知 别急 爆发 鼓动 暂且不说 客观事实 摆在 月份 公司 签署 成立 基金 协议 协议 公司 政权 控制 能源 矿产 基建 电网 农业 国营企业 回报 公司 负责 政权 超过 高额 债务 公司 国难 接受 很大 更绝 月份 发生 大火 事件 神奇 地方 大火 绕开 富人 大火 燃烧 报警 系统 小时 消防车 现场 道路 意外 火势 生猛 房屋建筑 树木 保存 完好 大树 神奇 距离 灾难 力量 阻止 看不懂 内容 着急 告诉 信息 清晰 灾难 发生 公司 低价 大面积 收购 房屋 居民 大火 受损 伤亡 居民 贱卖 房屋 土地 收购 公司 全球 舆论 排放 污水 舆论 集体 失声 答案 撑腰 污水 责任 方是 电力公司 电力公司 股东 公司 肯定 阴谋论 排放 污水 拿到 记得 提到 全球 医药公司 股东 危害 核辐射 致癌 风险 数据 甲状腺癌 发病率 增加 污水 扩散 全球 海域 类药物 人类 治疗 甲状腺癌 药物 发现 好巧 专注 药物 企业 股东 公司 巧合 巧合 影子 质疑 公司 答案 简单 渗透 筛子 员工 坐镇 幕僚 国务卿 高管 分析师 雇员 相当于 国库 搬到 欠条 留在 账上 更绝 事关 生死 退休金 公司 数据 退休 基金 计划 公司 后台 公司 开发 官方 基金 苹果 微软 谷歌 科技 巨头 理财 控系统 相当于 资产 信息 交给 公司 肯定 黑手 听到 媒体 答案 简单 顺便 入股 传媒 集团 垄断 媒体 资源 媒体 得罪 股东 资本 集团 惯用手法 金融 手段 获取 高额 财富 渗透 政府 全球 资产 收购 执行 过程 顺带 控制 媒体 不让 舆论 发声 财富 程度 足以 全球 局势 还好 频繁 看着 坚固 堡垒 发痒 收起,"[(0, 0.3336476), (3, 0.6462126), (5, 0.019080788)]",3
2023-12-08,风会 记得 痕迹 答案 交给 时间 寻觅 收获 如意 酒店 收拾 行李 空气 低温 缘故 大脑 缺氧 感受 空气 工业 味道 包头 收起,"[(0, 0.77815706), (3, 0.19368121)]",0
2023-12-19,掩盖 不住 发生 全世界 鱼潮 事件 离奇 死在 海岸线 数量 集体 死亡 事件 实属 罕见 媒体 邮报 事情 标题 死鱼 残骸 冲到 惊悚 标题 网友 核鱼 海鸥 不吃 放射性 排放 放射性 态度 反思 邮报 外交 渠道 邮报 提出 修改 稿件 围绕 事情 理解 简单 事情 脉络 函馆 忘记 场景 升起 发亮 银色 光芒 海水 倒映 反射 鳞光 感觉 海水 水位 走近 惊讶 发现 反光 海水 尸体 感到 震惊 场景 慌乱 报警 部门 得知 情况 现场 核实 发现 现场 状况 电话 夸张 海鱼 尸体 推向 陆地 腥臭 味道 现场 靠近 屏住 呼吸 观望 发现 海鱼 尸体 看不出 颜色 现场 人员 估计 巨量 鱼尸 场面 漫画 现实 事情 发生 发布 声明 事件 污水 排放 无关 居民 食用 海鱼 民间 给出 解释 海鱼 死亡 天气 集体 冻死 巨兽 追赶 仓皇 逃窜 海岸边 搁浅 缺氧 全球 变暖 工业 排放 害死 污水 排放 关系 关系 邮报 假新闻 谣言 洗脱 污水 事件 常见 发生 感到 好奇 发生 类似 事件 还好 惊掉 下巴 查证 可知 发生 过死 鱼潮 事件 月份 渔港 月份 沿岸地区 核事故 发生 时间 事件 核事故 事情 怀疑 发生 核泄漏 事故 冤枉 新闻 发现 发生 尸体 漂浮 海面 事件 排污 打算 联想 原因 正式 污水 排入 莫名 鱼类 尸体 铺满 海面 场景 报道 鱼类 放射性 活度 超标 全世界 怀疑 约定 时间 排污 公布 月份 正式 排放 污水 排放 排放 排放 总计 排放 污水 尸体 函馆 了上 尸体 渔港 尸潮 正式 排放 污水 死亡 正式 排污 死亡 污水 请问 信服 更让人 细思 极恐 核泄漏 事故 发生 全世界 饮用 人数 减少 打消 外界 质疑 原田 官员 媒体 污水 证明 打消 顾虑 当事人 原田 幸运 升到 环境部 大臣 位置 巅峰期 隐退 消失 公众 视野 社交 媒体 消息 停留 月份 外界 污水 导致 身体 面对 正面 回应 导致 猜疑 传言 污水 案例 想想 公布 核污染 节奏 排放 污水 排放 地球 排污 话题 沉下去 全世界 嘴脸 收起,"[(3, 0.33679837), (4, 0.06204811), (5, 0.5994498)]",5
2023-12-25,鞠躬 导致 污水 导致 停止 污水 直排 全民 奇效 人心,"[(0, 0.015215462), (1, 0.015302272), (2, 0.015379739), (3, 0.9235878), (4, 0.015217328), (5, 0.015297448)]",3
2024-02-17,听说 爆炸性 新闻 承认 听错 上说 承认 核电站 污水 泄漏 电力公司 工作人员 手动 闸门 污水 泄漏 事儿 公司 抓包 承认 评论 关注度 感觉 是明 排污 效果 做法 后果 无辜 国家 收起,"[(3, 0.9737674)]",3
2024-02-17,概念 新闻 视频,"[(0, 0.04176636), (1, 0.04177477), (2, 0.04215776), (3, 0.04189336), (4, 0.041875552), (5, 0.7905322)]",5
2023-10-06,海域 发生 地震 废水 震怒 地震 海啸 紧跟,"[(0, 0.018591715), (1, 0.018667882), (2, 0.01878144), (3, 0.018726697), (4, 0.018664977), (5, 0.9065673)]",5
2023-10-15,跟着 渔民 出海 跟着 渔民 出海,"[(0, 0.023820968), (1, 0.02394988), (2, 0.8807472), (3, 0.023832247), (4, 0.023814999), (5, 0.02383474)]",2
2023-11-25,联社 委员 外交部长 出席 外长 会见 外相 阳子 重建 战略 互惠 关系 树立 正确 认知 构成威胁 合作伙伴 尊重 正当 关切 日方 信守 承诺 切实 恪守 原则 干涉 内政 核污染 水排 事关 民众 健康 日方 作法 建立 利益 独立 推进 机制 互利 抵制 全球化 保护主义 切实 维护 产供 稳定 畅通 阳子 领导人 达成 共识 确认 战略 互惠 关系 定位 致力于 构建 契合 时代 建设性 稳定 互利 应对 气候变化 全球性 日方 愿同 紧密 协调 对话 沟通 积累 积极因素 推动 关系 领导人 指明 方向 日方 立场 建设性 态度 对话 寻找 解决 废水 途径 双方同意 探讨 经济 高层 对话 交流 机制 会议 适时 战略 对话 对话 外交 当局 局势 交换 意见 收起,"[(5, 0.9923294)]",5
2023-10-08,生食 腌制 干净 辣椒 酱油 白酒 材料 推荐 实在 想要 建议 方法 控制 风险 不选 淡水 水产 寄生虫 病菌 感染 风险 想生 选择 买回 冷冻 小时 杀灭 海水鱼 异尖 线虫 正规 途径 购买 熟食品 国家标准 生鲜食品 食用 食品 购买 达标 鲜食 关注 海区 遭受 程度 食用 前应 关注 海域 情况 生食 医院 有没有 寄生虫 感染 时报 收起,"[(4, 0.9856104)]",4
2023-10-05,相比 基站 基站 密集 担心 基站 辐射 身体 伤害 视频,"[(0, 0.015347371), (1, 0.4623839), (2, 0.015211475), (3, 0.015308657), (4, 0.015266708), (5, 0.47648188)]",5
2023-11-03,不孕 期刊 刊登 频繁 手机 导致 精子 浓度 总数 降低 手机 超过 男性 相比 手机 超过 男性 精子 浓度 下降 频繁 手机 精子 浓度 低于 水平 男性 时间 孩子 收起,"[(5, 0.97301364)]",5
2023-11-05,季节 大雾 天气预报 辐射 辐射 危害 天气 视频,"[(0, 0.018595772), (1, 0.018628316), (2, 0.018588804), (3, 0.018588807), (4, 0.90691155), (5, 0.01868672)]",4
2023-10-01,言表 震撼 信念 梦境 现实 文学作品 视觉 核潜艇 红岸 基地 废土 朋克 废水 流浪 地球 世界 工程 景区,"[(2, 0.9556844)]",2
2023-10-03,情怀 浓厚 搓澡 大妈 废水,"[(0, 0.86026025), (1, 0.027971933), (2, 0.027855631), (3, 0.028092321), (4, 0.02784553), (5, 0.027974376)]",0
2023-10-03,排放 污水 排放量 计划 天望 热度 热度,"[(0, 0.02095665), (1, 0.02093243), (2, 0.020912535), (3, 0.67246485), (4, 0.020953657), (5, 0.24377988)]",3
2023-10-05,抵制 日货 柿子 回家 柿子 废水 数据,"[(0, 0.020884836), (1, 0.020877453), (2, 0.02087504), (3, 0.4179336), (4, 0.02088), (5, 0.49854907)]",5
2023-10-05,公布 计划 计划 核污染 总量 排放 时间 电力公司 核电站 核污染 公布 计划 污水 收起,"[(0, 0.0111435875), (1, 0.011156262), (2, 0.011162749), (3, 0.011253249), (4, 0.011218906), (5, 0.9440653)]",5
2023-10-06,排放 污水 世界 无人 阻止 事情 热度 希望 排放 污水 事情 燎原 抵制 排放 污水 保护 生态 保护 地球村 废水 超话 收起,"[(3, 0.96345884)]",3
2023-10-08,自称 互联网 妈妈 胳膊肘 黑猪 拖鞋 废水 玩意 晦气,"[(0, 0.91590905), (1, 0.016831508), (2, 0.016716892), (3, 0.016847285), (4, 0.016727392), (5, 0.016967893)]",0
2023-10-19,废水 护肤品 防晒 换成,"[(0, 0.233296), (1, 0.033458438), (2, 0.03338791), (3, 0.6327579), (4, 0.033666167), (5, 0.03343356)]",3
2023-10-19,下架 假装 回归,"[(0, 0.041813143), (1, 0.791183), (2, 0.041706033), (3, 0.041705046), (4, 0.041705478), (5, 0.041887317)]",1
2023-10-20,排放 废水 热度 理解 代言 优衣库 拒绝 物品,"[(0, 0.018648535), (1, 0.018591383), (2, 0.01868774), (3, 0.90679485), (4, 0.018558167), (5, 0.018719299)]",3
2023-10-21,废水 超话 排放 听说 排放 混蛋 玩意儿 污水,"[(0, 0.58054), (1, 0.2211069), (2, 0.01872291), (3, 0.018829247), (4, 0.14200574), (5, 0.018795148)]",0
2023-10-23,要买 抵制 日货 代表 个人观点,"[(0, 0.028232163), (1, 0.4281487), (2, 0.027949013), (3, 0.45957023), (4, 0.027980108), (5, 0.028119816)]",3
2023-10-31,排放 核电站 污水 污水 总领事馆 记者会 水产 禁令 解释 资料 呼吁 科学 证据 依归 取消 食品 总领事 国际原子能机构 包括 机构 专家 来到 海水 水产品 采样 确认 电力公司 按计划 展开 国际原子能机构 核电站 设立 办事处 确保 水产品 希望 释除 疑虑 国际原子能机构 发布 报告 指出 污水 符合 相关 国际 标准 人类 环境 网页 链接 收起,"[(5, 0.9841643)]",5
2023-11-08,鱼丝 姐姐 废水 排放 摆正 位置 精神 现生,"[(0, 0.018693049), (1, 0.018719502), (2, 0.90595067), (3, 0.018953146), (4, 0.018717567), (5, 0.018966125)]",2
2023-11-16,听说 工业废水 农作物 时间 土地 数据 国家机密 大胆 严重威胁 衣食住行 废水 立场 可笑,"[(0, 0.011960113), (1, 0.0120735), (2, 0.011962852), (3, 0.93995553), (4, 0.0119996555), (5, 0.01204834)]",3
2023-11-24,手套 没事 多长 多长 能干 废水 埋没,"[(0, 0.020942586), (1, 0.021110812), (2, 0.020920303), (3, 0.02113714), (4, 0.020917125), (5, 0.894972)]",5
2023-11-24,倒计时 距离 废水 洋流 到达 解决办法 冰雪,"[(0, 0.02087614), (1, 0.021247339), (2, 0.021142345), (3, 0.8948901), (4, 0.020904362), (5, 0.02093967)]",3
