时间,fenci,主题概率,主题类型
2023-11-03,峰会 临近 相岸 日方 力图 沟通 重申 撤销 水产品 禁令 声称 建设性 稳定 关系 敦促 承担 责任,"[(2, 0.28715962), (4, 0.1713668), (5, 0.51337147)]",5
2023-11-18,报道 声称 重申 稳定 重要性 局势 深表 忧心 军事 撤除 浮标 撤除 水产品 禁令 释放,"[(0, 0.57425356), (1, 0.010466821), (2, 0.010525809), (3, 0.010534885), (4, 0.010518727), (5, 0.38370016)]",0
2023-12-21,污水 排入 死鱼 冲上 渔船,"[(0, 0.027921373), (1, 0.027877744), (2, 0.027929042), (3, 0.8596821), (4, 0.028307706), (5, 0.028282044)]",3
2023-11-20,废水 排入 人类 生态 危害 时报 污水 危害 累计 污水 流入,"[(0, 0.013965657), (1, 0.013945371), (2, 0.013968999), (3, 0.30168355), (4, 0.6423699), (5, 0.014066503)]",4
2023-10-27,电力公司 核污染 水排 历时 排放 核污染 核污染 核辐射 发现 放射性 核辐射 浓度 低于 标准 核电站 着手 海水 稀释 注入 水槽 放射性 浓度 计划 共计 排放 核污染 放射性 辐射量 核电站 发生 核污染 过滤 管道 脱落 事故 废液 外泄 工人 身体 接触 废液 遭受 辐射 全身 遭受 废液 工人 双手 下半身 遭受 入院 治疗 报道 视频 收起,"[(5, 0.9850356)]",5
2023-12-30,评出 国际 新闻 事件 发生 时间 人工智能 产业 提速 人工智能 应用程序 用户 代表 人工智能 变革性 工具 解决 内容 表现出色 科技 巨头 竞相 加大 人工智能 投入 加速 旗下 产品 人工智能 整合 科技 产业 驱动力 人工智能 带来 机遇 有望 加快 产业 重塑 伴随 预知 风险 提出 全球 人工智能 治理 倡议 人工智能 全球 治理 提供 方案 地震 人员伤亡 靠近 边境地区 发生 地震 密集 死亡 死亡 发生 地震 人员伤亡 财产损失 灾难 发生 时间 派出 救援队 努力 拯救 提供 紧急 人道主义 物资 实际行动 诠释 构建 人类 命运 共同体 理念 斡旋 复交 带动 和解 斡旋 达成 协议 恢复 外交关系 正式 复交 地区 带动 和解 重回 恢复 大使级 外交关系 国同 关系 迈向 地区 国家 缓和 关系 谋求 势头 对话 协商 分歧 顺应 民心 符合 时代 潮流 利益 鼓吹 风险 加剧 世界 经济 困境 政客 提出 风险 概念 延续 脱钩 断链 构筑 小院 高墙 底层 逻辑 违背 经济 规律 历史 潮流 机遇 稳定 世界 经济 遭受 复苏 进程 激进 加息 银行业 风险 陡增 全球 流动性 恶化 经济体 债务 违约 风险 推进 削减 法案 芯片 科学 法案 保护主义 产业政策 引发 争相 效仿 扰乱 国际 产供 稳定 经贸 政治化 干扰 全球 市场 运行 加剧 世界 经济 困境 全球 唱响 主义 强音 金砖 机制 历史性 扩员 获邀 金砖 受邀 正式 成员 力量 壮大 全球 群体性 崛起 历史潮流 团结 共谋 呼声 意愿 全球 成员 坚定 维护 共同利益 推动 增加 市场 国家 全球 事务 代表性 反对声 核污染 水排 不顾 国际 社会 质疑 国家 单方面 强行 核事故 水排 排放 累计 超过 污水 流入 人为 排放 污水 累积 效应 不确定性 污水 事关 全人类 健康 全球 国际 公共利益 私事 日方 严肃 关切 负责 建设性 态度 妥善处理 污水 凸显 国际形势 加剧 动荡 爆发 致使 超过 死亡 酿成 人道主义 灾难 丧生 国际 社会 保护 平民 停火 止战 呼声 解决 出路 落实 方案 恢复 民族 建立 独立 危机 延宕 爆发 武装冲突 发生 政变 局部 地区 热点 国际形势 动荡 加剧 高质量 共建 一带 启新 一带 国际 高峰论坛 成功 主席 论坛 开幕式 发表 主旨 演讲 支持 高质量 共建 一带 共建 一带 方向 开辟 新愿景 注入 新动力 共建 一带 提出 国家 国际 组织 签署 相关 文件 项目 开拓 通向 机遇 繁荣 受欢迎 国际 产品 国际 平台 外交 引领 外交 谱写 主席 总统 会晤 愿景 主席 国事访问 主持 峰会 出席 金砖 国家 领导人 会晤 国事访问 出席 领导人 会议 国事访问 国际 组织 政要 会见 会谈 致电 致函 友好人士 致信 复信 外交 思想 引领 特色 外交 征程 奋进 勇毅 前行 推动 全球 倡议 全球 倡议 全球 倡议 构建 人类 命运 共同体 注入 强劲 动力 谱写 动人 气候变化 加剧 全球 记录 气候变化 加剧 洪灾 世纪 山火 灾难 热浪 天气 气候 事件 已成 常态 全球 经济社会 目标 秘书长 全球 变暖 时代 结束 全球 沸腾 时代 气候变化 大会 协定 全球 盘点 损失 损害 转型 议题 达成 共识 发出 合力 加快 强有力 信号 收起,"[(0, 0.9981203)]",0
2023-11-26,分享 眼睛 多吃含 水果 缺乏 眼睛 环境 适应能力 减退 夜盲症 预防 治疗 眼病 摄入 足够 富含 水果 甜瓜 多吃含 水果 眼睛 视网膜 储存 游离 缺乏 导致 眼睛 畏光 流泪 烧疼 发痒 视觉 疲劳 眼帘 富含 水果 香蕉 葡萄 弥猴桃 多吃含 水果 眼睛 晶状体 含量 眼睛 起到 保护 作用 缺乏 白内障 用含 水果 提高 眼睛 晶状体 含量 提高 作用 减少 自由基 眼睛 伤害 富含 水果 番石榴 奇异果 草莓 水果 水果 含有 黄素 色素 眼睛 敏感 组织 积累 组织 过滤 眼睛 起到 保护 作用 明目 枸杞 菊花 决明子 视力 健康 很大 面对 电脑 菊花茶 收到 清心 目的 效果 枸杞 明目 保护视力 很大 饮茶 视力 衰退 恢复 视力 国际 饮茶 作用 减少 计算机 荧光屏 射线 辐射 危害 收起,"[(4, 0.9927764)]",4
2023-10-11,中学 运动会 表演 刺杀 表演系 情节 事件 改编 标语 尸骨 污水 后患 教育局 学生 犯错 网友 视频 收起,"[(1, 0.9557054)]",1
2024-02-28,排放 污水 排放量 时间 超过 污水 流入 电力公司 计划 年度 排放量 年度 核电站 接连 发生 污水 泄漏 火警 执意 排污 引发 担忧 国际 识局 排入 污水 收起,"[(5, 0.9701155)]",5
2023-11-03,转发 废水 插画 日方 删帖 置顶 蜀黍 视频,"[(0, 0.018650735), (1, 0.018612955), (2, 0.018699287), (3, 0.9063074), (4, 0.018682405), (5, 0.019047173)]",3
2023-10-10,说唱 污水 发声 污水 发声 淡忘 遗忘 发声 接力 地球 发声 地球 污水 完整版 说唱 超话 视频 收起,"[(2, 0.5014014), (3, 0.46328872)]",2
2023-12-27,污水 国家 抵制 扇贝 滞销 提出 开拓 市场 方针 计划 核污染 排海 滞销 扇贝 希望 年度 人民币 目标 日方 设定 目标 人民币 人民币 目标 总额 单方面 计划 海产品 视频 视频 收起,"[(0, 0.4454957), (4, 0.22045992), (5, 0.31827354)]",0
