Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重
台风,0.002,朋友,0.002,上车,0.002,团队,0.001,原因,0.002
遗憾,0.001,小孩,0.002,联系,0.002,很好,0.001,建议,0.002
航空,0.001,便宜,0.002,地铁站,0.002,直接,0.001,有点,0.002
朋友,0.001,舒服,0.002,京都,0.002,五星,0.001,直接,0.002
晚餐,0.001,认真,0.002,风趣,0.002,仔细,0.001,门票,0.002
线路,0.001,实际,0.002,原因,0.002,材料,0.001,地陪,0.002
信息,0.001,回程,0.002,完全,0.001,公园,0.001,前台,0.002
五星,0.001,很大,0.002,华盛顿,0.001,邮件,0.001,浪费,0.002
很棒,0.001,环境,0.002,走路,0.001,二手烟,0.001,顺利,0.002
冲绳,0.001,无法,0.002,大堂,0.001,官网,0.001,细致,0.002
卫生,0.001,北海道,0.002,很好,0.001,星野,0.001,名古屋,0.002
南海,0.001,很好,0.001,公司,0.001,具体,0.001,富士山,0.001
办法,0.001,工作人员,0.001,人员,0.001,北京,0.001,线路,0.001
情况,0.001,保险,0.001,小姐,0.001,民宿,0.001,整体,0.001
新宿,0.001,设施,0.001,短信,0.001,徐导,0.001,关西,0.001
