标题,评分,年份,国家,主演
大校的女儿,8.6,2006 , 中国大陆 , 袁立 郭晓东
狄仁杰断案传奇 第一部,8.6,1996 , 中国大陆 , 马昌钰 孙承政
天娇,8.6,2003 , 中国大陆 , 严晓频 茹萍
史料不及,8.6,2015 , 中国大陆 , 杨皓宇 郑菁长
尘世笑谈,8.6,2007 , 中国大陆 , 何冰 宋丹丹
惊天动地,8.6,2006 , 中国大陆 , 王楷勝 李易祥
钟鼓楼,8.6,1986 , 中国大陆 , 郭平 孟瑾
母亲,8.6,1998 , 中国大陆 , 岳红 王虎城
希望的田野,8.6,2003 , 中国大陆 , 程煜 沙景昌
七十七封阵亡通知书,8.6,2009 , 中国大陆 , 王学圻 侯勇
劈棺惊梦,8.6,1988 , 中国大陆 , 黄新德 马兰
铁血青春,8.6,2003 , 中国大陆 , 姜武 潘粤明
青鸟的天空,8.6,2004 , 中国大陆 , 张延 王学兵
噱占上海滩,8.6,2008 , 中国大陆 , 周立波 龚仁龙
国家命运,8.6,2012 , 中国大陆 , 刘劲 谢钢
南行记,8.6,1990 , 中国大陆 , 王志文 许晴
高中女生,8.6,2003 , 中国大陆 , 罗鸿 张珊萌
中国故事,8.6,2004 , 中国大陆 , 斯琴高娃 李雪健
生死之恋,8.6,2002 , 中国大陆 , 郭柯宇 王学兵
百家讲坛：苦命皇帝咸丰,8.6,2009 , 中国大陆 , 喻大华
我不是差等生,8.6,2004 , 中国大陆 , 唐静 袁牧男
满江红,8.6,1992 , 中国大陆 , 樊志起 魏启明
妈妈不在的夏天,8.6,1990 , 中国大陆 , 高策 陈希光
小小飞虎队,8.6,1995 , 中国大陆 , 李楠 张星辰
其实不想走,8.6,2001 , 中国大陆 , 王一楠 宋佳
威胁,8.6,2001 , 中国大陆 , 丁勇岱 刘欣
家里比较烦,8.6,2000 , 中国大陆 , 吕凉 文兴宇
五彩戏娃,8.6,2002 , 中国大陆 , 叮当 邓翔宇
满天星,8.6,2005 , 中国大陆 , 岳红 伍宇娟
病案追踪,8.6,2006 , 中国大陆 , 韩青 何晴
脚下天堂,8.6,2003 , 中国大陆 , 谭洪波 江群
我们的父亲,8.6,2005 , 中国大陆 , 刘子枫 尤勇智
百家讲坛-东汉开国,8.6,2010 , 中国大陆 , 魏新
走入欧洲,8.6,1997 , 中国大陆 , 孙淳 赵明明
百家讲坛—唐宋八大家之柳宗元,8.6,2010 , 中国大陆 , 康震
桃花扇,8.6,1991 , 中国大陆 , 侯长荣 韩再芬
粉墨宝贝,8.6,2015 , 中国大陆 中国台湾 , 儿童 戏曲
铁鹰行动,8.6,1995 , 中国大陆 , 陈剑飞 王群
一鸟九命,8.6,1993 , 中国大陆 , 李丽 张伟忠
百家讲坛：崇祯那些年,8.6,2014 , 中国大陆 , 傅小凡
闯上海,8.6,1996 , 中国大陆 , 赵亮 王志文
九班的故事,8.6,2000 , 中国大陆 , 王瑞虹
百家讲坛：汉武帝的三张面孔,8.6,2012 , 中国大陆 , 姜鹏
难忘岁月——红旗渠的故事,8.6,1998 , 中国大陆 , 王虎城 吴京安
繁城之下,8.5,2023 , 中国大陆 , 白宇帆 宁理
莲花楼,8.5,2023 , 中国大陆 , 成毅 曾舜晞
狂飙,8.5,2023 , 中国大陆 , 张译 张颂文
还珠格格,8.5,1998 , 中国台湾 中国大陆 , 苏有朋 林心如
警察荣誉,8.5,2022 , 中国大陆 , 张若昀 白鹿
山河令,8.5,2021 , 中国大陆 , 龚俊 周也
倚天屠龙记,8.5,2003 , 中国台湾 中国大陆 中国香港 , 苏有朋 贾静雯
金粉世家,8.5,2003 , 中国大陆 , 陈坤 董洁
魔幻手机,8.5,2008 , 中国大陆 , 李滨 陈创
天龙八部,8.5,2003 , 中国大陆 , 胡军 林志颖
笑傲江湖,8.5,2001 , 中国大陆 , 李亚鹏 许晴
怪侠一枝梅,8.5,2010 , 中国大陆 , 霍建华 刘诗诗
北京人在纽约,8.5,1993 , 中国大陆 , 姜文 严晓频
金婚,8.5,2007 , 中国大陆 , 张国立 蒋雯丽
黑洞,8.5,2001 , 中国大陆 , 陈道明 陶泽如
悬崖,8.5,2012 , 中国大陆 , 张嘉益 宋佳
东北一家人,8.5,2002 , 中国大陆 , 李琦 彭玉
连城诀,8.5,2004 , 中国大陆 , 吴樾 何美钿
手机,8.5,2010 , 中国大陆 , 王志文 陈道明
洪武大案,8.5,2011 , 中国大陆 , 李立群 保剑锋
空镜子,8.5,2001 , 中国大陆 , 陶虹 牛莉
血色残阳,8.5,2005 , 中国大陆 , 赵子琪 贾一平
人大主任,8.5,2002 , 中国大陆 , 鲍国安 奚美娟
知青,8.5,2012 , 中国大陆 , 唐曾 傅晶
关中匪事,8.5,2003 , 中国大陆 , 田海蓉 凌潇肃
四十九日·祭,8.5,2014 , 中国大陆 , 张嘉益 宋佳
花样江湖,8.5,2015 , 中国大陆 , 王浩 赵泳鑫
西藏秘密,8.5,2013 , 中国大陆 , 郭晓东 沈傲君
绝对权力,8.5,2002 , 中国大陆 , 唐国强 斯琴高娃
孽债,8.5,1994 , 中国大陆 , 赵有亮 严晓频
狼烟北平,8.5,2009 , 中国大陆 , 刘佩琦 舒砚
李卫辞官,8.5,2005 , 中国大陆 , 于波 秦沛
家春秋,8.5,1987 , 中国大陆 , 林达信 陈晓旭
疯丫头 第三季,8.5,2011 , 中国大陆 , 段丽阳 盛利
命运,8.5,2010 , 中国大陆 , 李雪健 高明
小小智慧树,8.5,2008 , 中国大陆 , 陈苏 耿晨晨
记忆之城,8.5,2007 , 中国大陆 , 谢君豪 童蕾
琉璃厂传奇,8.5,1998 , 中国大陆 , 张国立 冯远征
低头不见抬头见,8.5,2007 , 中国大陆 , 郭达 范明
软弱,8.5,2003 , 中国大陆 , 任程伟 王茜华
诸葛亮,8.5,1985 , 中国大陆 , 李法曾 黄家德
渴望城市,8.5,2006 , 中国大陆 , 齐丽格尔 祝宏波
战斗王EX,8.5,2007 , 中国大陆 , 田礼 吴浇浇
圣水湖畔,8.5,2005 , 中国大陆 , 高秀敏 雷恪生
海峡,8.5,2015 , 中国大陆 , 刘之冰 柳云龙
只要你过得比我好,8.5,1994 , 中国大陆 , 沈丹萍 刘威
梦开始的地方,8.5,1999 , 中国大陆 , 刘蓓 丁志城
井冈山,8.5,2007 , 中国大陆 , 王霙 潘雨辰
家有外星人2,8.5,2010 , 中国大陆 , 孙兴 王一楠
喜乐会,8.5,1996 , 中国大陆 中国香港 中国台湾 , 潘虹 刘松仁
大马帮,8.5,2004 , 中国大陆 , 章申 萧蔷
最后诊断,8.5,2006 , 中国大陆 , 陈建斌 苏可
无路可逃,8.5,2004 , 中国大陆 , 潘娟 李建斌
与百万富翁同行,8.5,1995 , 中国大陆 , 杨晓雯 符冲
百家讲坛：塞北三朝之辽,8.5,2010 , 中国大陆 , 袁腾飞
大漠高墙,8.5,2011 , 中国大陆 , 高明 朱晓渔
路客与刀客,8.5,1996 , 中国香港 中国台湾 中国大陆 , 刘德凯 吴毅将
不能失去你,8.5,2006 , 中国大陆 , 许忠全 海清
别了，李香兰,8.5,1989 , 日本 中国大陆 , 泽口靖子 山田邦子
多情剑客,8.5,1990 , 中国大陆 , 于健 安怡
