标题,评分,年份,国家,主演
遇见王沥川,8.9,2016 , 中国大陆 , 高以翔 焦俊艳
一起同过窗 第二季,8.9,2017 , 中国大陆 , 武雨泽 徐晓璐
炊事班的故事,8.9,2002 , 中国大陆 , 洪剑涛 周小斌
暖春,8.9,2008 , 中国大陆 , 田成仁 齐如意
炊事班的故事3,8.9,2007 , 中国大陆 , 周小斌 毛孩
永不磨灭的番号,8.9,2011 , 中国大陆 , 黄海波 王雷
家有九凤,8.9,2005 , 中国大陆 , 李明启 张英
天地粮人,8.9,2006 , 中国大陆 , 李幼斌 张志忠
孙子兵法与三十六计,8.9,2000 , 中国大陆 , 仇永力 杨洪武
英雄,8.9,2001 , 中国大陆 , 张子健 蒋竹青
我主沉浮,8.9,2005 , 中国大陆 , 陈逸恒 吕凉
这里的黎明静悄悄,8.9,2005 , 中国大陆 , Tatyana Ostap Aleksandra Teryaeva
离婚,8.9,1999 , 中国大陆 , 葛优 傅彪
夜深人不静,8.9,1996 , 中国大陆 , 赵本山 范伟
命运的承诺,8.9,2002 , 中国大陆 , 傅彪 吴越
人虫,8.9,1998 , 中国大陆 , 刘威 李丁
高山下的花环,8.9,1984 , 中国大陆 , 周里京 朱建民
TF家族故事,8.9,2012 , 中国大陆 , 王俊凯 王源
少年特工,8.9,1992 , 中国大陆 , 杨溢 张璋
动什么，别动感情,8.9,2005 , 中国大陆 , 陶虹 张涵予
怪王外传,8.9,中国大陆 , 剧情 , 李大强
李天腾与赵小宝2,8.9,2013 , 中国大陆 , 何超 张晨璐
左宗棠,8.9,1998 , 中国大陆 , 魏启明 奚美娟
幸福家庭的烦恼 第一季,8.9,2014 , 中国大陆 , 阿布都克里木·阿不力孜 哈斯也提·库尔班
为了新生活前进,8.9,1997 , 中国大陆 , 陈佩斯 姚二嘎
牵手人生,8.9,2003 , 中国大陆 , 黄海波 丁丹妮
旗旗号巡洋舰,8.8,1987 , 中国大陆 , 李蕾 王子斌
孔乙己,8.9,1998 , 中国大陆 , 茅威涛 李丽
王先生和小陈,8.9,1997 , 中国大陆 , 严顺开 林锡彪
石榴熟了 第二季,8.9,2016 , 中国大陆 , 叨叨 白毛毛
成长别烦恼第二部,8.9,2007 , 中国大陆 , 沈荣海 杨昆
左伟与杜叶的婚姻生活,8.9,2007 , 中国大陆 , 刘蓓 吴刚
下课了，要雄起,8.9,2000 , 中国大陆 , 罗德元 陈丽娟
嘿！小海军,8.9,1995 , 中国大陆 , 杨鸣健 赵智
老坎客栈,8.9,2002 , 中国大陆 , 庞祖云 媛凤
百家讲坛：春秋五霸,8.9,2011 , 中国大陆 , 李山
生活麻辣烫,8.9,2002 , 中国大陆, 中国大陆
松柏巷里万家人,8.9,2005 , 中国大陆 , 康保民 徐春娣
芝麻开门,8.9,2002 , 中国大陆 , 林晓凡 乔乔
百家讲坛 唐宋八大家之三苏,8.9,2012 , 中国大陆 , 康震
静静的艾敏河,8.9,2000 , 中国大陆 , 娜仁花 褚栓忠
我们的眼睛,8.9,2006 , 中国大陆 , 王楠 张俊
百家讲坛 战国七雄,8.9,2012 , 中国大陆 , 李山
隐秘的角落,8.8,2020 , 中国大陆 , 秦昊 王景春
大江大河,8.8,2018 , 中国大陆 , 王凯 杨烁
大江大河2,8.8,2020 , 中国大陆 , 王凯 杨烁
贫嘴张大民的幸福生活,8.8,2000 , 中国大陆 , 梁冠华 朱媛媛
白鹿原,8.8,2017 , 中国大陆 , 张嘉益 秦海璐
风筝,8.8,2017 , 中国大陆 , 柳云龙 罗海琼
平凡的世界,8.8,2015 , 中国大陆 , 佟丽娅 袁弘
重案六组,8.8,2001 , 中国大陆 , 李诚儒 王茜
