标题,年份,主演
破冰行动,(普通话/原版/2019),黄景瑜 吴刚 王劲松 任达华 李墨之 张晞临 马渝捷 赖艺 唐旭 公磊 杨子骅 钱波 赵煊 艾东 高明 施大生 石燕京 赵成顺 骆应钧 陈思宇 陈逸恒 洪浚嘉
小别离,(普通话/原版/2016),黄磊 海清 汪俊 陈数 张子枫 王俊凯 王源 易烊千玺
东方不败,(普通话&粤语/原版/1993),林青霞 王祖贤 王静莹 于荣光 刘洵 李连杰 林青霞 关之琳 李嘉欣 李子雄
蜀山战纪,(普通话/原版/2015),陈伟霆 赵丽颖 吴奇隆 樊少皇 叶祖新 高伟光 韩雨芹
精忠岳飞,(普通话/2013),黄晓明 林心如 罗嘉良 邵兵 吴秀波 刘诗诗 郑佩佩 刘兰芳 张嘉倪 于荣光 崔林 张芷溪 王鸥 颖儿 吴庆哲 安泽豪 张馨予 刘承俊 康凯 李昊翰 张迪
老爸当家,(英语/原版/2017),威尔·法瑞尔 马克·沃尔伯格 梅尔·吉布森 约翰·利特高 琳达·卡德里尼
时间都知道,(普通话/原版/2019),唐嫣 窦骁 杨烁 吕一 蓝盈莹 周奇奇
隐秘的角落,(普通话/2020),秦昊 王景春 荣梓杉
甄嬛传,(普通话/原版/2011),孙俪 陈建斌 蔡少芬 李东学 蒋欣 陶昕然 斓曦 孙茜 张晓龙 刘雪华 李天柱 蓝盈莹 张雅萌 杨紫嫣 陈思斯 万美汐 热依扎 李宜娟 战菁一 唐艺昕 谭松韵 徐璐 毛晓彤 康福震 杨凯淳 刘钇彤 赵秦 王文杰 颖儿 郭萱 邬立朋 沈保平 梁艺馨 杨淇 何亚男
鹿鼎记,(普通话/2014),韩栋 张檬 贾青 吴倩 张馨予 魏千翔 娄艺潇 赵圆瑗 王雅慧 米雪 王琳
上阳赋,(普通话/2021),章子怡 周一围 于和伟 杨祐宁 贾一平 蒋恺 郭家铭 蒲巴甲 刘端端 左小青 刘芸 史可 海铃 陈瑾如 隋源 曾一萱 赵雅芝 惠英红 袁弘
悲伤逆流成河,(普通话/原版/2018),赵英博 任敏 辛云来 章若楠 朱丹妮
中国式离婚,(普通话/原版/2004),陈道明 蒋雯丽 左小青 吕中 石维坚 贾一平 咏梅
战长沙,(普通话/2014),霍建华 杨紫 左小青 任程伟 牛骏峰 高鑫 瑛子 杨新鸣 穆丽燕 王彩平 吕夏 刘真君 李泽锋 靳东 张墨锡 赵志君
