word,counts
uob,13
busines,8
singapore,7
customer,7
sustainable,6
scam,6
cofe,6
asean,5
building,5
branch,5
fod,4
time,4
vice,4
president,4
banking,4
china,4
construction,4
wil,4
growth,3
suply,3
christine,3
main,3
alison,3
team,3
judy,3
financing,3
digital,3
child,3
disadvantaged,3
individual,3
regional,2
global,2
economic,2
helping,2
comitment,2
future,2
resource,2
acording,2
outlok,2
study,2
bank,2
local,2
life,2
share,2
technology,2
ned,2
fivepart,2
series,2
city,2
strait,2
police,2
report,2
tham,2
withdraw,2
withdrawal,2
chinese,2
oficial,2
acount,2
contact,2
coleagues,2
al,2
gren,2
cscec,2
project,2
partnership,2
chain,2
finance,2
head,2
resident,2
suspicious,2
sm,2
link,2
website,2
source,2
indonesia,2
revenue,2
htps,2
laptop,2
initiative,2
enginering,2
impact,2
environment,2
company,2
bilion,2
acquisition,2
achieve,2
conference,1
leader,1
discused,1
role,1
play,1
production,1
hub,1
benefiting,1
suplychain,1
shift,1
strong,1
position,1
contribute,1
development,1
