所属主题,文章数量,特征词,主题强度
Topic0,491,西山、景区、滇池、昆明、公告、龙门石窟、风景区、龙门、地方、没什么、态度恶劣、人员、服务、索道、道教、文化、缆车、难吃、东西、景色,0.12109
Topic1,1608,景区、索道、西山、缆车、滇池、龙门、景色、地方、不错、风景、下山、取票、公园、值得、排队、真的、厕所、电瓶车、景点、感觉,0.39655
Topic2,1213,西山、滇池、龙门、昆明、景区、索道、不错、风景、值得、缆车、垃圾、公园、景点、民族村、没意思、下山、门票、上山、大巴、真的,0.29914
Topic3,743,龙门、景区、索道、西山、大巴、滇池、景点、套票、下山、电瓶车、游客、缆车、上山、排队、工作人员、小时、大门、风景、特别、中心,0.18323
