Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重
西山,0.021,景区,0.028,西山,0.038,龙门,0.032
景区,0.017,索道,0.026,滇池,0.022,景区,0.032
滇池,0.014,西山,0.022,龙门,0.014,索道,0.023
昆明,0.013,缆车,0.021,昆明,0.014,西山,0.021
公告,0.012,滇池,0.019,景区,0.012,大巴,0.020
龙门石窟,0.011,龙门,0.017,索道,0.011,滇池,0.019
风景区,0.008,景色,0.013,不错,0.009,景点,0.018
龙门,0.008,地方,0.011,风景,0.009,套票,0.016
地方,0.007,不错,0.011,值得,0.008,下山,0.013
没什么,0.007,风景,0.010,缆车,0.007,电瓶车,0.012
态度恶劣,0.007,下山,0.009,垃圾,0.006,游客,0.012
人员,0.006,取票,0.009,公园,0.006,缆车,0.011
服务,0.006,公园,0.008,景点,0.006,上山,0.011
索道,0.006,值得,0.008,民族村,0.005,排队,0.009
道教,0.005,排队,0.008,没意思,0.005,工作人员,0.009
文化,0.005,真的,0.008,下山,0.005,小时,0.009
缆车,0.005,厕所,0.007,门票,0.005,大门,0.008
难吃,0.004,电瓶车,0.006,上山,0.005,风景,0.008
东西,0.004,景点,0.006,大巴,0.005,特别,0.007
景色,0.004,感觉,0.006,真的,0.004,中心,0.007
