word,counts
感觉,766
演技,718
剧情,648
演员,591
电视剧,498
角色,481
电影,439
孩子,366
生活,335
不错,333
爱情,265
莲花,256
努力,245
人物,244
女主,239
故事,229
原著,199
评论,198
老师,193
哪吒,189
鹿晗,178
观众,171
男主,170
细节,170
中国,167
结局,164
现实,160
小说,153
朋友,149
人生,149
感情,149
世界,144
粉丝,139
完美,132
公寓,127
时间,123
作品,123
父母,123
台词,122
眼神,121
快乐,120
半夏,120
家庭,120
地方,115
剧里,113
兄弟,112
剧中,112
热巴,112
东西,111
男女,111
女儿,111
男人,110
笔记,110
很棒,108
朱一龙,108
主演,107
颜值,105
事情,104
吴邪,104
白鹿,102
镜头,101
精彩,100
样子,100
确实,98
漂亮,98
赵丽颖,98
青春,98
题材,96
主角,95
情感,92
节奏,92
历史,92
饰演,91
美好,91
编剧,91
特效,91
时代,91
优秀,91
母亲,91
幸福,90
质感,90
厉害,89
女人,89
强大,89
节目,89
狂飙,88
李沁,88
内心,87
画面,87
性格,86
善良,85
实力,85
声音,85
很好,85
肖战,85
小哥,85
经历,84
成功,84
制作,84
眼睛,84
