word,counts
冷,71
准,44
确实,37
麻烦,32
强,29
矛盾,23
焦虑,20
高,19
舒服,19
难,18
懒,18
痛苦,17
努力,15
快乐,15
全,14
明,14
自由,12
少,12
善良,12
敏感,11
伤害,10
累,10
很好,9
苦恼,9
很大,9
温柔,9
简单,8
新,8
孤独,8
舒适,8
