主题数,困惑度,一致性
2,-7.351455350437161,0.3248458304892934
3,-7.437817438239652,0.3507759138088656
4,-7.608884199637833,0.3218130086556757
5,-7.631290266994785,0.3649997015671616
6,-7.7036640779312275,0.4123039517028797
7,-7.723686839949723,0.33758800975736103
8,-7.812149321357111,0.37677375077440634
9,-7.866962570848061,0.3649472481189661
10,-7.917304357641752,0.35628080377955146
11,-7.9983989495395535,0.3459971476515553
12,-8.110890340430444,0.3557455584310296
13,-8.151615120415899,0.3793146384424523
14,-8.201129379455427,0.36994930064510473
