word,counts
系统,508
驱动,379
京东,209
屏幕,205
内存,196
麻烦,194
键盘,187
感觉,161
安装,161
散热,152
电池,150
硬盘,126
不好,119
机器,115
光驱,114
发现,114
声音,112
鼠标,111
小时,94
预装,92
分区,91
价格,85
时间,84
电脑,82
只能,81
显卡,78
指纹,76
开机,75
不错,72
摄像头,72
光盘,71
笔记本,67
郁闷,67
东西,66
软件,66
下载,64
无线,63
风扇,63
网卡,63
希望,62
好像,62
客服,62
速度,59
运行,58
网上,58
习惯,57
触摸板,57
做工,56
一点,54
接口,54
本本,52
自带,51
外壳,48
打开,48
设计,47
蓝牙,46
发热量,45
质量,45
原因,44
联想,44
缺点,44
华硕,44
建议,44
影响,44
确实,43
快递,43
拿到,41
发热,41
包装,40
显示,40
不到,40
物流,40
启动,40
电源,39
太小,38
稍微,38
上网,38
服务,37
配置,37
设置,36
实在,36
温度,36
特别,35
塑料,35
垃圾,35
效果,35
还好,35
学习,35
机子,34
支持,34
接受,34
送货,33
不行,32
两个,32
降价,32
地方,32
真的,32
搞定,32
不爽,30
朋友,30
