主题类型,0
0,"{'消极态度': 0.11, '积极态度': 0.89}"
1,"{'消极态度': 0.13, '积极态度': 0.87}"
2,"{'消极态度': 0.22, '积极态度': 0.78}"
3,"{'消极态度': 0.21, '积极态度': 0.79}"
4,"{'消极态度': 0.21, '积极态度': 0.79}"
