Epoch,train_loss,train_acc
0001,0.211555,0.854940
0002,0.244322,0.854297
0003,0.206755,0.854940
0004,0.204297,0.859598
0005,0.195172,0.859920
0006,0.197741,0.862169
0007,0.197734,0.856546
0008,0.205529,0.863133
0009,0.199445,0.857992
0010,0.194576,0.862329
