word,counts
评论,1167
删除,987
视频,757
广告,686
垃圾,252
会员,234
恶心,222
软件,215
闪退,194
讨厌,183
跳转,175
打开,168
哔哩,168
用户,152
播放,148
手机,128
内容,118
客服,106
开屏,105
平台,99
太太,90
希望,86
喜欢,86
弹幕,83
下载,77
回来,77
审核,74
推荐,73
功能,71
版本,68
推送,66
举报,65
显示,64
账号,61
后台,59
声音,58
刷新,57
帐号,55
卸载,55
流量,53
缓存,53
退出,52
只能,51
不行,51
体验,50
发现,49
回复,49
竖屏,47
页面,45
不想,45
模式,41
情况,40
切换,40
登录,40
系统,39
反馈,39
关闭,38
点击,38
难看,37
硬币,37
倒闭,36
主页,36
解决,35
推广,35
不到,35
感觉,34
动漫,34
擦边,33
取消,32
没用,32
看着,32
充电,32
电视,32
开发者,31
申诉,31
网站,29
修复,29
关注,28
质量,28
建议,28
低俗,27
玩意,27
官方,27
时间,26
界面,26
投屏,26
环境,26
加载,26
提交,25
游戏,25
好评,25
刷到,24
按钮,24
消息,24
地方,24
登陆,24
小时,23
通知,23
网页,23
选择,23
