聚类数量,轮廓系数
2,0.18808240643527993
3,0.24095401577391734
4,0.260993745167688
5,0.27913967879558627
6,0.28841592298308905
7,0.30276255576031186
8,0.31901698231391007
9,0.32612554399115584
10,0.34389797141216283
11,0.3380163788793842
12,0.35051357680607426
13,0.36190553218899524
14,0.3664278258626011
15,0.3567547419629237
