Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重
people,0.071,burning,0.088,hope,0.083,amp,0.122,french,0.149,building,0.091,mobile,0.091,dame,0.220,faith,0.035,history,0.113,love,0.061,religious,0.046,paris,0.129,fire,0.114,roof,0.047
trump,0.043,church,0.082,stand,0.032,sad,0.084,rebuild,0.083,god,0.069,movie,0.060,notre,0.218,jesus,0.031,architecture,0.051,visit,0.053,hear,0.041,time,0.091,cathedral,0.091,tweet,0.038
human,0.039,rebuilt,0.037,cross,0.032,day,0.039,heart,0.059,beautiful,0.047,app,0.052,cathedral,0.167,feel,0.028,art,0.051,historical,0.037,century,0.037,de,0.054,paris,0.053,tonight,0.034
fire,0.033,flame,0.036,civilization,0.030,ago,0.035,cathedral,0.036,tragedy,0.046,hindi,0.032,fire,0.048,christian,0.027,loss,0.042,don,0.033,war,0.034,notredame,0.053,notredame,0.045,attack,0.033
tower,0.029,photo,0.035,main,0.030,week,0.033,president,0.027,people,0.041,dubbed,0.032,paris,0.040,read,0.026,lost,0.037,tragic,0.028,news,0.030,burn,0.052,notre,0.027,country,0.030
damage,0.029,catholic,0.031,glad,0.025,life,0.030,billionaire,0.024,heartbreaking,0.034,muslim,0.028,people,0.019,st,0.026,beauty,0.034,france,0.027,ash,0.029,cathedral,0.037,dame,0.027,watching,0.028
standing,0.024,remember,0.023,left,0.024,holy,0.026,macron,0.020,monument,0.023,click,0.025,france,0.017,humanity,0.023,gothic,0.029,happened,0.027,rise,0.027,heart,0.036,saved,0.024,feeling,0.025
amazing,0.023,post,0.022,eye,0.021,picture,0.025,break,0.019,build,0.021,south,0.024,catholic,0.011,crown,0.021,people,0.026,april,0.021,symbol,0.023,fire,0.033,structure,0.022,window,0.025
president,0.021,trip,0.018,praying,0.020,church,0.023,notredame,0.017,france,0.021,american,0.024,burned,0.009,construction,0.020,beautiful,0.025,hour,0.020,control,0.020,prayer,0.026,news,0.020,europe,0.024
treasure,0.020,interior,0.018,heartbroken,0.020,save,0.020,euro,0.017,devastating,0.020,pain,0.024,inside,0.009,christ,0.019,water,0.024,paris,0.020,heart,0.020,mosque,0.026,spire,0.020,night,0.022
lot,0.020,mind,0.015,western,0.019,friend,0.017,notre,0.017,survived,0.018,cry,0.024,gift,0.008,thorn,0.018,piece,0.024,day,0.019,heard,0.018,heritage,0.019,blaze,0.015,hard,0.021
real,0.019,white,0.014,restored,0.019,visited,0.016,dame,0.017,loss,0.014,indian,0.023,photo,0.007,lord,0.017,culture,0.018,thinking,0.019,stood,0.017,cath,0.019,firefighter,0.015,terrorist,0.021
hurt,0.018,mention,0.014,forget,0.015,fire,0.015,rebuilding,0.016,destroy,0.014,hollywood,0.017,free,0.007,medium,0.017,moment,0.018,beautiful,0.017,christianity,0.016,drale,0.018,massive,0.014,accident,0.020
safe,0.017,fire,0.013,hell,0.015,catholic,0.014,religion,0.015,hugo,0.013,entire,0.017,hunchback,0.007,disaster,0.017,memory,0.016,support,0.015,revolution,0.015,visited,0.016,iconic,0.012,stone,0.019
restoration,0.017,statement,0.013,government,0.014,city,0.014,pinault,0.015,absolutely,0.013,incredible,0.017,video,0.007,sadness,0.016,architectural,0.014,easter,0.014,mayor,0.015,bell,0.016,monday,0.012,twitter,0.018
care,0.016,shit,0.013,strong,0.013,feel,0.013,pray,0.014,event,0.012,grief,0.014,prayer,0.006,car,0.015,cultural,0.012,chance,0.013,caused,0.014,alaqsa,0.014,devastating,0.012,front,0.017
soul,0.015,fall,0.012,beautiful,0.013,glory,0.013,pledge,0.014,month,0.012,told,0.013,muslim,0.006,completely,0.014,guy,0.012,opportunity,0.013,pretty,0.014,lady,0.014,devastated,0.011,pic,0.017
damaged,0.015,awe,0.012,speak,0.012,france,0.013,restore,0.013,hate,0.012,icon,0.013,share,0.006,house,0.014,true,0.012,call,0.013,hold,0.014,mourn,0.013,flame,0.011,imagine,0.017
site,0.015,omar,0.012,amazing,0.011,money,0.012,pledged,0.012,fucking,0.012,dream,0.012,worship,0.005,mary,0.014,bad,0.012,view,0.013,tourist,0.013,flame,0.012,started,0.010,glass,0.016
notredame,0.014,smoke,0.011,isn,0.011,destroyed,0.012,breaking,0.012,horrible,0.012,set,0.012,church,0.005,happen,0.014,terrible,0.012,idea,0.013,flame,0.012,jerusalem,0.012,landmark,0.010,literally,0.015
