Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重
不好,0.014,噪音,0.016,噪音,0.028
隔音,0.013,座椅,0.011,亏电,0.025
内饰,0.012,续航,0.010,续航,0.014
异味,0.011,系统,0.010,座椅,0.014
续航,0.011,亏电,0.009,不好,0.011
亏电,0.010,驾驶,0.008,价格,0.011
噪音,0.010,颠簸,0.007,拥挤,0.011
价格,0.010,位置,0.007,油耗,0.010
动力,0.010,不好,0.007,动力,0.009
座椅,0.010,储物,0.006,后备箱,0.009
后备箱,0.009,发动机,0.006,储物,0.008
储物,0.009,后备箱,0.006,异味,0.008
不稳,0.008,轴距,0.006,空间,0.007
担心,0.008,拥挤,0.006,系统,0.007
驾驶,0.007,价格,0.005,驾驶,0.007
拥挤,0.007,隔音,0.005,内饰,0.006
内部,0.005,空间,0.004,车漆,0.006
车身,0.005,内饰,0.004,位置,0.005
油耗,0.005,声音,0.004,隔音,0.005
颠簸,0.004,动力,0.004,颠簸,0.005
