聚类数量,轮廓系数
2,0.09814931489722906
3,0.14041724296162267
4,0.13881542484652334
5,0.16086173023833827
6,0.16171674365114616
7,0.17123288623421484
8,0.17309503106974441
9,0.1680687206134896
10,0.1750123511158214
