主题数,困惑度,一致性
2,-5.482672894705656,0.3164397569958343
3,-5.603332139137015,0.3369929458221749
4,-5.767224988786557,0.3958166103794449
5,-5.838261895321944,0.41161562737896495
6,-5.967755076598562,0.4162742188680668
7,-6.0013917632116796,0.44614472729600957
8,-6.061304564819936,0.4026066790772077
9,-6.147094125078372,0.43735629497962775
10,-6.222030565838041,0.4377127984414244
11,-6.3174968813168535,0.43234550862435106
12,-6.3476544590177655,0.46119506500554236
13,-6.368591568651721,0.44766902127702246
14,-6.432975242085174,0.4492696606305664
15,-6.465845509625876,0.4942815881913448
