主题数,困惑度,一致性
2,-7.999507806989074,0.45492733657943585
3,-8.090800674054373,0.5741898501267118
4,-8.145594743117568,0.5313031450937337
5,-8.245122945088518,0.6006416691264082
6,-8.367594521124927,0.5982070310341049
7,-8.588639494633746,0.6029845189012955
8,-8.758116887988841,0.5817829770443685
9,-9.072434465882523,0.5391721969389163
10,-9.536764886106,0.5639300456874536
11,-10.54068763664326,0.5695509269998817
12,-11.883554288494395,0.520397389213331
13,-13.779494500710639,0.5138820706767686
14,-16.124474072845608,0.5273527923422427
15,-20.02863274821719,0.5406688712964942
