negative-word,negative-counts,neutral-word,neutral-counts,positive-word,positive-counts
垃圾,55.0,,,,
底线,13.0,,,,
垃圾处理,4.0,,,,
骗钱,3.0,,,,
新闻媒体,1.0,,,,
严查,1.0,,,,
举报,1.0,,,,
擦亮眼睛,1.0,,,,
欺诈,1.0,,,,
不佳,1.0,,,,
,,校区,2.0,,
,,智慧,1.0,,
,,良好氛围,1.0,,
,,力量,1.0,,
,,祖国,1.0,,
,,教学改革,1.0,,
,,深刻,1.0,,
,,精准,1.0,,
,,深刻领会,1.0,,
,,会议室,1.0,,
,,,,感动,34.0
,,,,点赞,12.0
,,,,坚强有力,5.0
,,,,幸福快乐,3.0
,,,,深深感动,2.0
,,,,意犹未尽,2.0
,,,,新年快乐,1.0
,,,,很帅,1.0
,,,,令人感动,1.0
,,,,用爱暖心,1.0
