主题类型,0
0,"{'消极态度': 0.17, '积极态度': 0.83}"
1,"{'消极态度': 0.28, '积极态度': 0.72}"
2,"{'消极态度': 0.11, '积极态度': 0.89}"
3,"{'消极态度': 0.16, '积极态度': 0.84}"
