聚类数量,轮廓系数
2,0.13304057122595
3,0.14629721528264306
4,0.18575976966240326
5,0.24845298900628185
6,0.25454785336853586
7,0.2688531427673788
8,0.27366145474979153
9,0.2705758063808694
10,0.2867101503719092
