Cluster,keyword
Cluster :1,"{'国际': '0.54', '计算机信息': '0.53', '公安机关': '0.21', '用户': '0.16', '总局': '0.15', '公用': '0.13', '备案': '0.06', '罚款': '0.05', '警告': '0.05', '审批': '0.04', '数据': '0.03', '技术': '0.03', '电信网': '0.02', '保密': '0.02', '电信业务': '0.02', '业务': '0.02', '协调': '0.01', '入网': '0.01', '局域网': '0.0', '人事部': '0.0', '交通': '0.0', '食品': '0.0', '工作站': '-0.0', '卫星网络': '-0.0'}"
Cluster :2,"{'保密': '0.26', '业务': '0.2', '用户': '0.17', '国际': '0.11', '食品': '0.11', '交通': '0.11', '入网': '0.1', '局域网': '0.1', '电信业务': '0.09', '技术': '0.08', '数据': '0.08', '公用': '0.08', '工作站': '0.08', '计算机信息': '0.07', '人事部': '0.05', '审批': '0.03', '电信网': '0.03', '总局': '0.03', '备案': '0.03', '警告': '0.01', '协调': '0.01', '罚款': '0.01', '卫星网络': '0.0', '公安机关': '0.0'}"
Cluster :3,"{'协调': '0.49', '卫星网络': '0.49', '审批': '0.16', '电信网': '0.13', '业务': '0.08', '用户': '0.06', '国际': '0.04', '电信业务': '0.04', '数据': '0.03', '技术': '0.03', '罚款': '0.03', '警告': '0.02', '备案': '0.01', '总局': '0.01', '工作站': '0.0', '局域网': '0.0', '计算机信息': '0.0', '公用': '0.0', '公安机关': '0.0', '入网': '0.0', '保密': '0.0', '人事部': '0.0', '交通': '0.0', '食品': '0.0'}"
