word,counts
剧情,1659
真的,1189
演技,1107
女主,1040
男主,797
编剧,663
感觉,464
无聊,463
演员,429
观众,408
角色,405
台词,393
喜欢,342
故事,329
实在,317
导演,315
尴尬,302
一点,300
逻辑,293
主角,287
不行,285
看不下去,285
设定,282
好看,282
难看,279
节奏,278
这部,274
人物,274
恶心,265
男女,261
女性,244
剧本,242
电视剧,216
第一集,210
本来,204
一集,201
游戏,196
莫名其妙,196
情节,195
第一季,192
这剧,191
不好,185
失望,181
原著,169
一部,166
只能,162
感情,159
理解,157
颜值,157
不错,155
拖沓,154
垃圾,152
粉丝,149
主演,148
两个,146
几个,146
强行,144
开头,143
男人,140
表演,140
看着,134
看过,132
浮夸,130
做作,129
国产,129
一种,129
题材,128
不想,128
东西,127
配音,124
几集,123
恋爱,123
表情,120
越来越,117
适合,116
警察,114
水平,114
时间,112
配角,111
滤镜,111
智商,111
确实,110
结局,108
综艺,107
不到,106
节目,105
搞笑,104
两集,103
镜头,103
弱智,103
演戏,103
特效,103
第二季,103
可惜,102
期待,98
离谱,98
老套,98
讨厌,95
关系,94
制作,94
