所属主题,文章数量,特征词,主题强度
Topic0,9776,好吃、味道、喜欢、速度、物流、发货、不错、很快、描述、包装、性价比、相符、回购、孩子、很甜、特别、收到、情况、服务态度、确实,0.29568
Topic1,11290,好吃、回购、购买、值得、特别、收到、推荐、下次、粉条、真的、挺好吃、香味、第二次、不错、新鲜、很甜、满意、雨姐、品质、贡菜,0.34147
Topic2,11997,不错、好吃、收到、口感、新鲜、好评、果子、包装、质量、看着、脆甜、实惠、个头、价格、饱满、粉条、物流、很大、水分、贡菜,0.36285
