内容,主题概率,主题类型
物流 很快 天下 第二天 特意 尝过 评价 好吃,"[(0, 0.051713858), (1, 0.03863432), (2, 0.9096518)]",2
物流 很快 口感,"[(0, 0.49878132), (1, 0.08389132), (2, 0.4173274)]",0
摸鱼 离谱 裤子 女朋友,"[(0, 0.85095817), (1, 0.07506582), (2, 0.073976)]",0
米饭 米粒 细长 回购,"[(0, 0.06820923), (1, 0.84194833), (2, 0.08984241)]",1
一波三折 终于 拿到 本来 打算 家里 第一次 失误 地址 搞错 京东 送到 代收 相当于 签收 拒收 块钱 运费 返回 一单 里外 一斤 十块钱,"[(0, 0.32337096), (1, 0.22174941), (2, 0.45487964)]",2
活动 期间 两袋 好吃 不吃 一碗 米饭,"[(0, 0.2342807), (1, 0.05703705), (2, 0.70868224)]",2
送货上门 确实 挺棒 不用 快递 回家 董宇辉 推荐 好吃,"[(0, 0.3668278), (1, 0.43376493), (2, 0.19940734)]",1
购买 值得 信任 一款 产品 东方 甄选 值得 信任 回购,"[(0, 0.03366937), (1, 0.93230003), (2, 0.034030624)]",1
东方 甄选 大米 入眼 别家 大米,"[(0, 0.056539018), (1, 0.56226146), (2, 0.3811995)]",1
甄选 性价比 超高 去年 回购 打开 米香 扑鼻,"[(0, 0.3840389), (1, 0.5732739), (2, 0.04268721)]",1
大米 挺好吃 平时 吃饭 能干 一碗 包装 不错 拎包 简单 希望 长虫,"[(0, 0.028798008), (1, 0.33083057), (2, 0.64037144)]",2
日期 新鲜 迫不及待 尝试 大米 家人 喜欢 信赖 东方 甄选,"[(0, 0.25512594), (1, 0.16737792), (2, 0.5774962)]",2
物流 顺风 送到 味道 飘散 开来 口感,"[(0, 0.31679282), (1, 0.21462983), (2, 0.46857738)]",2
花香 五常 大米 当季 收到 一顿 好吃 特别 不错,"[(0, 0.039785285), (1, 0.05843202), (2, 0.9017827)]",2
香甜 信任 选择 东方 甄选 希望 把品 做好,"[(0, 0.3054302), (1, 0.28398538), (2, 0.41058442)]",2
确实 不错 立体感 国庆节 朋友 家里 好看 推荐 朋友 再来 分量 太重 掉下来,"[(0, 0.2720854), (1, 0.21334152), (2, 0.51457304)]",2
好吃 家里 老人 孩子 喜欢 大米饭 好吃 大米,"[(0, 0.7153351), (1, 0.2405651), (2, 0.044099797)]",0
物流 很快 包装 东方 甄选 推荐 品牌 希望 好吃,"[(0, 0.5847265), (1, 0.37530297), (2, 0.039970525)]",0
不错 试吃 快递 速度 很快 包装 完好,"[(0, 0.51985747), (1, 0.043733466), (2, 0.4364091)]",0
第一次 购买 希望 好吃 看着 不错 小贵 快递 挺快 好吃 评价,"[(0, 0.2305776), (1, 0.21577819), (2, 0.55364424)]",2
回购 折扣 错过 果断 下单 好多 东方 甄选,"[(0, 0.044885196), (1, 0.9071844), (2, 0.047930356)]",1
一分 价钱 一分货 店里 真的 口感 喜欢,"[(0, 0.13865072), (1, 0.39564866), (2, 0.4657006)]",2
东方 甄选 这款 大米 回购 一年 品质 价格 稳定,"[(0, 0.03812241), (1, 0.70973665), (2, 0.25214094)]",1
第一次 放水 烂饭 口感 不错,"[(0, 0.07269975), (1, 0.06440499), (2, 0.86289525)]",2
一年 这款 大米 好吃 朋友 永远 支持 能量 平台,"[(0, 0.034325536), (1, 0.9309005), (2, 0.034773946)]",1
好评 重要性 福利 实在 厉害 每条 评论 积分 下次 现金 评论 积分 东西 这段话 复制 黏贴 凑够 字数 填写 商品 评论 东西 正品 包装 用心 买回来 忘记 评论 不好意思 本来 价格 没抱 很大 希望 收到 发现 质量 出乎意料 图片 描述 超级 划算 性价比 质星 地方 很贵,"[(0, 0.092514545), (1, 0.03543645), (2, 0.87204903)]",2
第三次 大米 一粒 想着 宇辉,"[(0, 0.28644773), (1, 0.3808473), (2, 0.33270496)]",1
第三次 购买 全家人 好吃 物流 够快 昨晚 下单,"[(0, 0.048507158), (1, 0.499638), (2, 0.45185483)]",1
值得 购买 颜色 粒米 一等品,"[(0, 0.06518728), (1, 0.46607235), (2, 0.4687404)]",2
外包装 满意 内包装 真空 存放 京东 送货,"[(0, 0.16012746), (1, 0.045046795), (2, 0.79482573)]",2
大米 收到 没想到 物流 快递 大米 评价,"[(0, 0.048763346), (1, 0.26596603), (2, 0.6852706)]",2
最贵 一斤 好吃 东方 甄选 拉黑 好吃 购买 晚上,"[(0, 0.039291948), (1, 0.30461007), (2, 0.656098)]",2
去年 中秋节 几单 串门 东西 实惠,"[(0, 0.05243772), (1, 0.2394084), (2, 0.7081539)]",2
购买 爆品 确实 大米 好吃 米饭 熬粥 全家 好吃,"[(0, 0.14884286), (1, 0.29845577), (2, 0.55270135)]",2
好吃 一袋 回购 三袋,"[(0, 0.07139026), (1, 0.8479375), (2, 0.08067222)]",1
天花板 五常 大米 优惠,"[(0, 0.069649756), (1, 0.07189661), (2, 0.8584536)]",2
两种 一包 打开 下个月 着急 自营 商品 品控,"[(0, 0.16970709), (1, 0.563221), (2, 0.26707187)]",1
半年 两款 感觉,"[(0, 0.104232386), (1, 0.79346406), (2, 0.10230359)]",1
大米 好吃 后悔莫及 途径 解决 旅途 旅途 快乐,"[(0, 0.040943496), (1, 0.43177772), (2, 0.5272788)]",2
迫不及待 下单 确实 好吃 生米 天然 蒸熟 家人 满意,"[(0, 0.29725522), (1, 0.32803524), (2, 0.37470958)]",2
第二次 下单 香味,"[(0, 0.08423334), (1, 0.8254046), (2, 0.09036208)]",1
回购 希望 品质 下降 老百姓 信得过 品牌,"[(0, 0.050413787), (1, 0.9049116), (2, 0.044674627)]",1
东方 甄选 自营 产品 值得 信赖 购买 好吃,"[(0, 0.045928296), (1, 0.9076964), (2, 0.046375256)]",1
回购 弹性 发硬 好吃,"[(0, 0.32493612), (1, 0.606406), (2, 0.06865786)]",1
收到 评价 好米,"[(0, 0.09455442), (1, 0.09362296), (2, 0.81182265)]",2
不错 有淡 甜味 南方 韧劲 牙口 合适 表面 粗糙 光亮 南方 丝苗 特别 常买 增城 丝苗 好吃 甜味 回甘 各有千秋,"[(0, 0.01948536), (1, 0.14378388), (2, 0.8367307)]",2
回购 口感 不错,"[(0, 0.091569304), (1, 0.35833946), (2, 0.5500912)]",2
五常 大米 一如既往 好吃 喜欢 东北 大米 直播间 回购,"[(0, 0.13814573), (1, 0.81914705), (2, 0.04270726)]",1
米饭 晶莹剔透 白饭 好吃 开袋 闻到 稻谷 香气 下单 后才 存谷 不存 新鲜 米饭,"[(0, 0.02480872), (1, 0.6241785), (2, 0.3510128)]",1
确实 高品质 大米 煮熟 一股 香气 粘性 不好 一碗,"[(0, 0.13730271), (1, 0.31513393), (2, 0.5475634)]",2
特别 感觉 不错 值得 购买 散沙,"[(0, 0.061028972), (1, 0.87226766), (2, 0.066703364)]",1
看着 不错 几次,"[(0, 0.08841999), (1, 0.36150083), (2, 0.55007917)]",2
包装 严实 物流 很快 回来 追评,"[(0, 0.28554526), (1, 0.048438493), (2, 0.6660162)]",2
包装 完好无损 速度,"[(0, 0.82623863), (1, 0.08390548), (2, 0.08985592)]",0
中午 煮饭 味道 好吃,"[(0, 0.55188584), (1, 0.08479014), (2, 0.36332405)]",0
第二次 回购 好吃 一袋 回购 好评,"[(0, 0.05035335), (1, 0.6826081), (2, 0.26703855)]",1
东方 甄选 五常 稻米 日期 新鲜,"[(0, 0.05199119), (1, 0.21817844), (2, 0.7298304)]",2
大米 东方 甄选 品质,"[(0, 0.0818854), (1, 0.37599874), (2, 0.54211587)]",2
孩子 喜欢 复购 米饭 不想 推荐,"[(0, 0.339999), (1, 0.33778864), (2, 0.32221234)]",0
口感 喜欢 老师 公司 照片,"[(0, 0.20892537), (1, 0.2862923), (2, 0.50478226)]",2
东方 甄选 购物 失望 价格 便宜 东西 性价比,"[(0, 0.2805399), (1, 0.316026), (2, 0.40343413)]",2
大米 价格 确实 蛮贵 性价比 包装 快递 挺不错,"[(0, 0.4967505), (1, 0.043121617), (2, 0.4601279)]",0
京东 几年 五常 大米 价格 便宜 九十多 一百多 十斤 试一试 态度 满意 十百 还好 认准 东方 甄选 领先,"[(0, 0.15462266), (1, 0.31597048), (2, 0.5294069)]",2
大米 不想 米饭 几碗,"[(0, 0.07214301), (1, 0.07715385), (2, 0.8507032)]",2
物流 超级 新疆 大米 新鲜 米饭,"[(0, 0.054074936), (1, 0.050193507), (2, 0.8957315)]",2
俞敏洪 老师 眼光 心目 偶像,"[(0, 0.07909475), (1, 0.8428395), (2, 0.07806582)]",1
回购 东方 甄选 五常 大米,"[(0, 0.063355565), (1, 0.33885917), (2, 0.5977853)]",2
甄选 虾饼 肉饼 小笼包 东方 甄选,"[(0, 0.87758017), (1, 0.05726464), (2, 0.06515522)]",0
去年 六月份,"[(0, 0.12972271), (1, 0.74259806), (2, 0.12767924)]",1
收到 第一 时间 包装 感觉 质量 卖家 描述 满意 发货 速度 物流 公司 服务态度 运送 速度 很快 满意 购物 感谢 卖家,"[(0, 0.40109986), (1, 0.28760102), (2, 0.31129915)]",0
志宇 手里 下单 大米 回家 东方 甄选 大米 放心,"[(0, 0.03595394), (1, 0.041105766), (2, 0.9229403)]",2
打开 袋子 一股 香味扑鼻 米饭 特香 好吃 回购,"[(0, 0.15920196), (1, 0.79562974), (2, 0.045168303)]",1
东方 大米 一如既往 墙裂 推荐,"[(0, 0.06011357), (1, 0.57772243), (2, 0.36216402)]",1
回购 不错,"[(0, 0.13787836), (1, 0.54855853), (2, 0.3135631)]",1
大米 特别 好吃 回购,"[(0, 0.07071248), (1, 0.85820687), (2, 0.07108068)]",1
回购 品质 口感 宇辉 推荐 东方 甄选,"[(0, 0.049957875), (1, 0.5556315), (2, 0.39441055)]",1
二次 回购 大米 发货 很快 包装 完好无损 大米 口感 不错,"[(0, 0.34857008), (1, 0.29314685), (2, 0.35828304)]",2
包装 完美 货品 完好 物流 选择 期待 好米 好评,"[(0, 0.31129944), (1, 0.035318587), (2, 0.65338194)]",2
确实 好吃 电饭锅 真的 好吃 入口 咀嚼 韧劲 口感 无敌 家里人 价格 太贵 块钱 一斤 好吃 买到 到时候 品尝 五常 米哈 反正 散装 珍珠米 一斤 难吃,"[(0, 0.1231052), (1, 0.014289863), (2, 0.8626049)]",2
东方 甄选 喜欢 产品 喜欢 主播 喜欢 董宇辉,"[(0, 0.8310319), (1, 0.12808973), (2, 0.04087836)]",0
大米 看着 希望 好吃 五常 大米 难买,"[(0, 0.045688014), (1, 0.053664006), (2, 0.90064794)]",2
东方 甄选 大米 家里 伙食费 一节 一斤 香米 家里 一斤 大米,"[(0, 0.1719445), (1, 0.034067858), (2, 0.7939877)]",2
好吃 支持 份量 口感 真的 东北 大米 好评,"[(0, 0.03858805), (1, 0.50113934), (2, 0.46027255)]",1
听到 宇辉 描绘 大米 支持,"[(0, 0.06518478), (1, 0.86533815), (2, 0.06947705)]",1
