Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重
woman,0.022,christ,0.018,people,0.051,life,0.021,country,0.026,people,0.028,wrong,0.029,people,0.024,homosexuality,0.018,homosexuality,0.018,choice,0.019,lgbt,0.035,homosexuality,0.044,people,0.032
people,0.021,person,0.017,homosexuality,0.024,people,0.020,child,0.016,bible,0.024,normal,0.016,reason,0.022,woman,0.015,bible,0.017,people,0.017,christian,0.018,people,0.034,love,0.019
homosexuality,0.017,homosexuality,0.017,black,0.015,child,0.016,real,0.013,woman,0.023,homosexuality,0.013,understand,0.015,people,0.014,claim,0.011,care,0.011,homosexuality,0.016,hate,0.017,time,0.018
movie,0.013,true,0.013,mental,0.012,church,0.013,comment,0.011,opinion,0.012,right,0.010,money,0.015,male,0.013,government,0.010,cool,0.010,people,0.013,human,0.012,homosexual,0.016
evidence,0.010,jesus,0.012,support,0.012,homosexual,0.011,article,0.011,minority,0.011,game,0.009,putin,0.013,sexual,0.013,simple,0.009,straight,0.010,anti,0.012,marriage,0.012,homosexuality,0.012
choice,0.008,testament,0.012,agree,0.010,animal,0.011,people,0.010,read,0.008,hair,0.009,house,0.009,homosexual,0.010,question,0.008,pero,0.009,trans,0.012,free,0.011,african,0.010
jesus,0.007,worse,0.011,happy,0.010,woman,0.009,live,0.010,community,0.008,public,0.008,lmao,0.009,term,0.009,como,0.008,homosexuality,0.009,benefit,0.010,love,0.010,change,0.009
leader,0.007,taught,0.010,tweet,0.010,word,0.009,family,0.009,homosexual,0.008,love,0.008,film,0.008,female,0.008,book,0.008,book,0.009,head,0.010,sexual,0.010,guy,0.009
statement,0.007,catholic,0.010,illness,0.009,fear,0.008,relationship,0.009,trans,0.007,bible,0.008,love,0.008,pedophilia,0.008,sickness,0.008,month,0.008,american,0.009,person,0.009,question,0.008
adultery,0.007,bill,0.009,white,0.009,human,0.008,evil,0.008,immoral,0.007,religion,0.007,yeah,0.007,preference,0.008,people,0.008,share,0.007,racism,0.009,child,0.008,jesus,0.008
wrong,0.007,sexuality,0.009,dude,0.008,religious,0.008,story,0.008,future,0.007,jesus,0.007,russia,0.007,definition,0.008,orientation,0.008,tweet,0.007,fuck,0.009,bible,0.008,nice,0.008
faith,0.007,people,0.008,shit,0.007,time,0.008,gender,0.007,police,0.006,choose,0.007,isso,0.007,child,0.007,teach,0.007,pray,0.007,idiot,0.008,homosexual,0.007,tudo,0.007
church,0.007,homophobe,0.008,character,0.007,belief,0.008,news,0.007,exist,0.006,time,0.007,friend,0.007,real,0.007,homosexual,0.007,closet,0.007,comunidade,0.008,gospel,0.007,issue,0.007
natural,0.006,sister,0.008,gender,0.007,culture,0.007,school,0.007,lgbt,0.006,homophobic,0.007,lgbt,0.007,matter,0.007,argument,0.007,mine,0.007,true,0.008,lgbt,0.007,gonna,0.007
europe,0.006,result,0.008,solo,0.007,racist,0.007,race,0.007,issue,0.006,truth,0.007,extreme,0.006,trans,0.007,abomination,0.007,dans,0.007,stuff,0.008,woman,0.007,culture,0.007
court,0.006,wrong,0.007,concept,0.007,religion,0.007,study,0.007,health,0.005,christianity,0.007,party,0.006,feeling,0.007,nature,0.007,agenda,0.007,image,0.007,jesus,0.006,woman,0.007
law,0.005,brother,0.007,reason,0.006,generation,0.007,post,0.007,guess,0.005,content,0.006,cult,0.006,gomorrah,0.007,crime,0.007,text,0.007,glad,0.007,time,0.006,book,0.006
hurt,0.005,touch,0.007,illegal,0.006,view,0.006,baby,0.006,mental,0.005,total,0.006,rape,0.006,watch,0.007,gente,0.007,christmas,0.007,community,0.006,difference,0.006,justice,0.006
theory,0.005,school,0.007,disorder,0.006,christian,0.006,white,0.006,lesbian,0.005,incest,0.006,trump,0.005,time,0.006,sexual,0.006,learn,0.006,russian,0.006,disagree,0.006,sexuality,0.006
answer,0.005,heart,0.007,mention,0.006,hard,0.006,muslim,0.006,girl,0.005,islam,0.006,funny,0.005,biology,0.006,pope,0.006,honest,0.006,deal,0.006,brain,0.006,lgbtq,0.006
