Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重
不错,0.040,包装,0.036,奶粉,0.119
奶粉,0.038,满意,0.033,营养,0.031
价格,0.037,奶粉,0.028,金领,0.027
值得,0.030,不错,0.028,孩子,0.027
回购,0.024,喜欢,0.025,配方,0.026
喜欢,0.024,价格,0.024,吸收,0.026
购买,0.024,性价比,0.021,正品,0.025
包装,0.022,发货,0.021,性价比,0.024
吸收,0.022,推荐,0.021,上火,0.017
信赖,0.018,物流,0.021,不错,0.017
品牌,0.018,放心,0.020,溶解性,0.016
质量,0.015,质量,0.019,溶解,0.015
性价比,0.013,购物,0.018,育护,0.013
收到,0.012,购买,0.017,价格,0.012
推荐,0.012,速度,0.017,喜欢,0.012
溶解性,0.012,孩子,0.016,购买,0.011
正品,0.012,值得,0.015,验证,0.011
金领,0.011,正品,0.014,放心,0.011
物流,0.010,卖家,0.012,盒装,0.011
便宜,0.010,品牌,0.011,品牌,0.010
