Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重
亚运会,0.050,亚运会,0.054,杭州,0.054,亚运会,0.033,杭州,0.028,亚运会,0.028,亚运会,0.037
杭州,0.038,杭州,0.037,亚运会,0.050,杭州,0.031,亚运会,0.021,杭州,0.022,杭州,0.036
中国,0.031,中国,0.029,金牌,0.017,中国女排,0.016,亚运,0.011,闭幕式,0.020,霹雳舞,0.018
金牌,0.020,金牌,0.020,亚运,0.016,亚运,0.015,比赛,0.009,亚运,0.014,亚洲,0.013
决赛,0.014,选手,0.020,决赛,0.013,闭幕,0.013,女篮,0.008,比赛,0.013,亚运,0.012
选手,0.012,决赛,0.019,女子,0.013,赛场,0.009,男篮,0.008,中国,0.012,火炬,0.012
男子,0.012,运动员,0.014,中国队,0.013,女排,0.008,热爱,0.007,今晚,0.008,清漪,0.011
亚洲,0.010,比赛,0.012,中国,0.012,运动员,0.007,中国女篮,0.007,数字,0.008,体育,0.007
中国队,0.010,战胜,0.011,夺得,0.012,中国,0.006,赛场,0.007,黄雅琼,0.007,现场,0.007
花样游泳,0.009,夺得,0.010,比赛,0.009,数字,0.006,战胜,0.006,冠军,0.007,数字,0.006
夺得,0.009,女子,0.010,选手,0.008,体育,0.005,中国男篮,0.006,思维,0.007,赛场,0.005
比赛,0.008,冠军,0.009,冠军,0.008,比赛,0.005,今晚,0.006,决赛,0.006,徽章,0.005
本届,0.008,亚运,0.009,成绩,0.005,代表团,0.005,中国,0.005,帷幕,0.006,观众,0.005
女子,0.008,中国队,0.009,奥体中心,0.005,金牌,0.005,决赛,0.005,落下,0.006,桥牌,0.005
闭幕式,0.007,羽毛球,0.008,龙舟,0.005,亚洲,0.005,少年,0.005,羽毛球,0.006,短片,0.005
代表团,0.006,铜牌,0.007,闭幕式,0.005,奥运会,0.005,铜牌,0.005,陈雨菲,0.006,理事会,0.005
谢震业,0.006,游泳,0.006,亚洲,0.005,本届,0.005,致敬,0.005,开幕式,0.006,中国,0.004
运动员,0.006,日晚,0.006,运动员,0.004,赛事,0.004,对手,0.005,莲花,0.005,主席,0.004
接力,0.005,本届,0.006,祝贺,0.004,日晚,0.004,老将,0.005,组合,0.005,中国队,0.003
亚运,0.005,卫冕,0.006,战胜,0.004,铜牌,0.004,万个,0.005,金牌,0.005,运动员,0.003
