内容,主题概率,主题类型
黄瑞 杭州 亚运会 排球赛 场上 志愿者 称为 伙伴 负责 场馆 地面 清理 比赛 暂停 飞奔 进场 快速 擦干 地面 汗水 运动员 打滑 受伤 一场 比赛 几十次 展现 观众 运动员 致敬 志愿者,"[(2, 0.14918381), (5, 0.8283795)]",5
杭州 亚运会 乒乓球 男子 团体 决赛 中国 选手 王楚钦 樊振东 马龙 出战 击败 韩国队 夺得 冠军 祝贺 国乒,"[(1, 0.9547181)]",1
杭州 亚运会 乒乓球 女子 团体 决赛 中国乒乓球队 本届 亚运会 首枚 金牌 祝贺 国乒 加油,"[(0, 0.94266576)]",0
杭州 亚运会 气步枪 混合 团体 决赛 中国 组合 盛李豪 黄雨婷 发挥 出色 夺得 金牌 到手 好样,"[(1, 0.94942355)]",1
亚运会 男女 混合 混合泳 接力 决赛 徐嘉余 海洋 张雨霏 出战 成绩 中国队 金牌 打破 亚洲纪录,"[(1, 0.9462737)]",1
见证 历史 一刻 诞生,"[(0, 0.8281263), (1, 0.028651373), (2, 0.028667845), (3, 0.028685976), (4, 0.028658751), (5, 0.02859549), (6, 0.028614275)]",0
亚运会 女子 混合泳 决赛 余依婷 发挥 出色 金牌 恭喜,"[(0, 0.91410834), (1, 0.01435214), (2, 0.014331467), (3, 0.014301617), (4, 0.014301788), (5, 0.0143034365), (6, 0.014301169)]",0
杭州 亚运会 赛艇 比赛 迎来 收官 一上午 比赛 中国队 摘得 男子 单人 双桨 男子 双桨 女子 双人 单桨 舵手 女子 双桨 女子 单桨 舵手 金牌 祝贺,"[(2, 0.9681581)]",2
亚运会 女子 仰泳 决赛 中国 选手 乐天 夺得 金牌 雪儿 银牌 祝贺,"[(0, 0.93392015), (1, 0.011037376), (2, 0.011036612), (3, 0.011000169), (4, 0.010998888), (5, 0.011006406), (6, 0.011000409)]",0
杭州 亚运会 女子 自由泳 决赛 中国 选手 李冰 夺得 金牌 打破 赛会 纪录 另一名 中国 选手 小将 高唯 银牌 祝贺,"[(1, 0.9591071)]",1
亚运会 女子 决赛 张雨霏 发挥 稳定 绝对优势 冠军 拿下 中国 游泳队 杭州 亚运会 另一名 中国 队员 王一淳 铜牌 祝贺,"[(0, 0.538981), (1, 0.42523852)]",0
杭州 亚运会 武术 男子 长拳 比赛 中国队 选手 武术 孙培原 夺冠 中国 澳门 选手 宋子君 澳门 本届 亚运会 首枚 奖牌 年前 仁川 亚运会 孙培原 武术 男子 刀术 棍术 全能 比赛 夺金 年前 雅加达 男子 长拳 比赛 冠军,"[(0, 0.97737926)]",0
亚运会 网球 男子单打 决赛 中国 选手 张之臻 战胜 印度 选手 米特 纳加尔 晋级 加油 期待 精彩 表现,"[(1, 0.9521918)]",1
杭州 亚运会 赛艇 女子 轻量级 双人 双桨 决赛 中国 选手 邹佳琪 邱秀萍 联手 出击 夺得 中国队 杭州 亚运会 首枚 金牌 本届 恭喜,"[(2, 0.9626399)]",2
亚运会 体操 女子 全能 决赛 中国 姑娘 左彤 夺冠,"[(0, 0.0143380305), (1, 0.914094), (2, 0.014330521), (3, 0.014313199), (4, 0.01430473), (5, 0.01431849), (6, 0.014301082)]",1
今晚 杭州 亚运会 正式 开幕 金秋 九月 相约 杭州 此刻 运动员 加油 期待 表现,"[(2, 0.9424627)]",2
今日 杭州 亚运会 滑板 男子 街式 决赛 中国 选手 张杰 夺得 金牌 恭喜,"[(0, 0.93858594), (1, 0.0102629205), (2, 0.010266261), (3, 0.010216646), (4, 0.01021545), (5, 0.010222816), (6, 0.010230003)]",0
亚运会 武术 男子 刀术 棍术 全能 比赛 常志昭 夺得 金牌 常志昭 武术 兰州大学 武术 教师 学生,"[(2, 0.94944626)]",2
杭州 亚运会 射击 女子 手枪 决赛 中国 选手 刘锐 夺得 金牌 祝贺,"[(0, 0.011043521), (1, 0.93388945), (2, 0.01103754), (3, 0.011005808), (4, 0.011001768), (5, 0.011017242), (6, 0.011004655)]",1
杭州 亚运会 开幕 比赛 中国队 奖牌数 破百 央视 畅聊 亚运 运动员 陈可怡 杨飞 讲述 中国 女子 七人制 橄榄球队 夺冠 背后 故事 数字 杭州 遇上 智慧 亚运 化学反应 杭州 程序员 火炬 忘带 格子,"[(2, 0.97380686)]",2
亚运会 滑板 女子 街式 决赛 中国 选手 崔宸 夺得 金牌 中国 选手 曾文蕙 银牌 恭喜 姑娘,"[(1, 0.94948196)]",1
结束 亚运会 滑板 女子 街式 决赛 中国 姑娘 崔宸 夺得 金牌,"[(0, 0.01194575), (1, 0.9284028), (2, 0.011966299), (3, 0.011922301), (4, 0.011920411), (5, 0.011922316), (6, 0.01192014)]",1
亚运会 射击 女子 步枪 姿势 团体赛 张琼 夏思钰 韩佳予 中国队 夺得 金牌 恭喜,"[(0, 0.01023807), (1, 0.010246829), (2, 0.93862075), (3, 0.010221281), (4, 0.010218605), (5, 0.010233394), (6, 0.010221077)]",2
今日 赛事 组委会 正式 昨天 结束 三场 比赛 成绩 杭州 亚运会 帆船 女子 快速 比赛 中国 组合 胡晓宇 单梦缘 夺得 金牌 帆船 男子 快速 比赛 中国 组合 帆船 混合 双体船 卡拉 比赛 中国 组合,"[(5, 0.9754147)]",5
杭州 亚运会 帆船 女子 快速 比赛 中国 组合 胡晓宇 单梦缘 夺得 金牌,"[(0, 0.011040713), (1, 0.32874823), (2, 0.011041778), (3, 0.011009854), (4, 0.011006168), (5, 0.61614364), (6, 0.011009622)]",5
本届 亚运会 广东 男孩 滑手 陈烨 中国队 摘下 滑板 世界大赛 首金 父亲 陈玩钦 音乐 舞蹈 老师 梦想 艺术家 支持 儿子 训练 租下 仓库 自学 设计 建模 木工 回忆 深夜 一两点 场地 结构 对不上 想到 打水漂 眼泪 掉下来 享受 父亲 致敬 父爱,"[(6, 0.97954625)]",6
杭州 亚运会 老将 丘索维 金娜 晋级 跳马 单项 决赛 体操 参加 八届 奥运会 体操 运动员 黄金 年龄 丘索维 金娜 早已 超出 体操 运动员 极限,"[(1, 0.7161709), (4, 0.25516912)]",1
杭州 亚运会 乒乓球 男子 团体 决赛 国乒 男团 发挥 稳定 大胜 韩国队 赛后 祝福 送给 站上 领奖台 祝贺 王楚钦 樊振东 马龙 高远,"[(1, 0.4183845), (6, 0.55044824)]",6
结束 杭州 亚运会 男子 混合泳 接力 决赛 中国 选手 徐嘉余 海洋 王长浩 潘展乐 看台 观战 选手 出战 中国 游泳队 赢得 一枚 金牌 恭喜 中国队,"[(0, 0.96564454)]",0
杭州 亚运会 乒乓球 男子 团体 决赛 中国 选手 王楚钦 樊振东 马龙 出战 击败 韩国队 夺得 冠军 祝贺 国乒,"[(1, 0.95471823)]",1
杭州 亚运会 女子 自由泳 决赛 中国 选手 李冰 打破 亚运会 纪录 夺得 金牌 李冰 本届 亚运会 第三枚 金牌 另一名 中国 选手 马永慧 夺得 银牌 好样,"[(1, 0.966916)]",1
杭州 亚运会 男子 自由泳 决赛 中国 小将 费立纬 夺得 金牌 恭喜,"[(0, 0.011965287), (1, 0.9283618), (2, 0.011969724), (3, 0.01192245), (4, 0.011921008), (5, 0.011933654), (6, 0.011926051)]",1
结束 杭州 亚运会 女子 仰泳 决赛 中国 选手 彭旭玮 绝对优势 夺得 冠军 成功 收获 柳雅欣 柳阿欣 银牌 恭喜,"[(1, 0.47518095), (2, 0.48711345)]",2
今晚 杭州 中心 王者 荣耀 亚运 版本 决赛 中国队 选手 孙麟威 蒋涛 池晓铭 徐必成 林恒 表现出色 击败 马来西亚队 夺得 该项 赛事 金牌 杭州 亚运会 电子竞技 诞生 首枚 金牌,"[(2, 0.970292)]",2
杭州 亚运会 场地 自行车 女子 团体 竞速赛 决赛 中国队 夺得 金牌 仔细 姑娘 头盔 印有 哪吒 造型,"[(0, 0.9520546)]",0
杭州 亚运会 竞技体操 男子 全能 决赛 张博恒 張博恆 发挥 稳定 夺得 金牌 一位 中国 选手 兰星宇 铜牌 祝贺 两位 实至名归,"[(0, 0.64097154), (1, 0.32493863)]",0
杭州 亚运会 乒乓球 女子 团体 决赛 中国乒乓球队 本届 亚运会 首枚 金牌 祝贺 国乒 加油,"[(0, 0.9426641)]",0
杭州 亚运会 乒乓球 女子 团体 决赛 孙颖莎 陈梦 乒乓球 王曼昱 中国队 击败 日本队 夺得 冠军 永远 国乒 恭喜 中国 姑娘,"[(0, 0.378975), (1, 0.586913)]",1
杭州 亚运会 乒乓球 女子 团体 决赛 第二场 陈梦 乒乓球 战胜 日本队 美宇 五局 比分 中国队 大比分 领先 日本队 漂亮 不由自主 吸引,"[(0, 0.7505594), (1, 0.21679015)]",0
杭州 亚运会 乒乓球 女子 团体 决赛 中国队 孙颖莎 率先 出战 战胜 日本队 田希娜 四局 比分 陈梦 乒乓球 王曼昱 出战 加油,"[(1, 0.95906323)]",1
杭州 亚运会 小将 闪耀 赛场 今天上午 一枚 金牌 到手 央视 畅聊 亚运 亚运 冠军 李洪凤 回忆 夺冠 瞬间 杭州 亚运会 奖牌 设计师 俊杰 揭秘 创作 美学 浙江 百花 越剧团 亚运 限定版 梁祝,"[(2, 0.21985626), (5, 0.758386)]",5
杭州 亚运会 射击 混合 团体 气步枪 决赛 我国 组合 盛李豪 黄雨婷 夺冠 黄雨婷 此前 射击 女子 气步枪 团体 个人赛 夺冠 杭州 亚运会 首个 冠王 少年 未来,"[(0, 0.9681273)]",0
今天下午 杭州 亚运会 乒乓球 女团 决赛 打响 中国 姑娘 加油 期待 比赛,"[(0, 0.011036187), (1, 0.9337913), (2, 0.011028142), (3, 0.011010571), (4, 0.011087797), (5, 0.011030296), (6, 0.011015738)]",1
杭州 亚运会 气步枪 混合 团体 决赛 中国 组合 盛李豪 黄雨婷 发挥 出色 夺得 金牌 到手 好样,"[(1, 0.9494196)]",1
