页面网址,关键词,名称,名称链接,名称ID,内容1,内容2,是否回复,回复,回复用户链接,包含短链,图片url_1,图片url_2,视频url,推文链接,发布时间,发表时间,转推数,评论数,点赞数,标签,转发的原文内容,转发的原文图片url,原文名称,原文名称ID,原文名称链接,原文时间,原文发布时间,clearn_comment,entropy_values,主题概率,主题类型
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,"A new journey begins! #BYDMediaDay

Any guesses where we are headed? 

Follow @BYDmex for Updates!

#BYD #BuildYourDream #ExperimentingIsBetterThanImagining",,,,,,https://pbs.twimg.com/media/FixIH8vUcAAgz7a?format=jpg&name=small；,"https://pbs.twimg.com/media/FixIH8vUcAAgz7a?format=jpg&name=small；_x000D_
https://pbs.twimg.com/media/FixIH8sUYAABzHz?format=jpg&name=4096x4096；_x000D_
https://pbs.twimg.com/media/FixIH8qUoAA2SOt?format=jpg&name=4096x4096；",,https://twitter.com/BYDCompany/status/1597731370612453377,Nov 30,2022-11-29T23:16:57.000Z,11,6,60,"#BYDMediaDay;_x000D_
#BYD;_x000D_
#BuildYourDream;_x000D_
#ExperimentingIsBetterThanImagining;",,,,,,,,journey guess headed follow update,2.321928094887362,"[(0, 0.027782414), (1, 0.02780541), (2, 0.027793596), (3, 0.860938), (4, 0.02783307), (5, 0.02784748)]",3
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,#happythanksgiving from your friends at BYD!,,,,,,https://pbs.twimg.com/media/FiXsz-IVIAEAopJ?format=jpg&name=small；,,,https://twitter.com/BYDCompany/status/1595942023525068800,Nov 25,2022-11-25T00:46:44.000Z,8,5,75,#happythanksgiving;,,,,,,,,friend byd,1.0,"[(0, 0.05607548), (1, 0.055708516), (2, 0.056034673), (3, 0.056219026), (4, 0.72000104), (5, 0.055961255)]",4
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,"The only #electricvehicle among 55 competitors, the BYD HAN EV participated in its first-ever official CBA competition in Santa Catarina, Brazil! 

Follow @BrasilBYD 

#BYD #BuildYourDreams",,,,,,https://pbs.twimg.com/media/FiQtnlcVUAMPnTu?format=jpg&name=small；,,,https://twitter.com/BYDCompany/status/1595450330170462211,Nov 24,2022-11-23T16:12:55.000Z,8,2,56,"#electricvehicle;_x000D_
#BYD;_x000D_
#BuildYourDreams;",,,,,,,,competitor byd han ev participated firstever official cba competition santa catarina brazil follow,3.7004397181410926,"[(0, 0.011929227), (1, 0.011944228), (2, 0.011944112), (3, 0.9403127), (4, 0.011941911), (5, 0.011927878)]",3
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,Follow  @BYDmex,"Quote Tweet
BYD Auto Mexico
@BYDAutoMexico
·
Nov 22
Nuestra Batería Blade es sinonimo de eficiencia y seguridad.

#BladeBattery #BuildYourDreams #BYD #BYDMX #ElectricCars #VehiculosElectricos #Eficiencia #Seguridad #Sostenible #Green #EcoFriendly",,,,,,,https://twitter.com/i/statusnone,https://twitter.com/BYDCompany/status/1595228977743814659,Nov 23,2022-11-23T01:33:20.000Z,4,1,17,,"Nuestra Batería Blade es sinonimo de eficiencia y seguridad.

#BladeBattery #BuildYourDreams #BYD #BYDMX #ElectricCars #VehiculosElectricos #Eficiencia #Seguridad #Sostenible #Green #EcoFriendly","blob:https://twitter.com/b549ff49-994e-48c6-bf95-a098bc84e884""https://pbs.twimg.com/ext_tw_video_thumb/1594889169473617921/pu/img/ipHQRUyH70NNYhAp.jpg""",BYD Auto Mexico,@BYDAutoMexico,https://twitter.com/BYDAutoMexico,2022-11-22 03:05:28,Nov 22,follow,0.0,"[(0, 0.08333574), (1, 0.083802536), (2, 0.08356775), (3, 0.582518), (4, 0.08333531), (5, 0.08344069)]",3
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,"64 BYD e-Busses are en route to Nedra Glomma, Norway, planned to go into service in mid-2023!

Nobina has over 300 BYD pure-electric buses in service in its fleets, or on order, operating in towns and cities across Sweden, Norway and Finland. 

#BYD #BuildYourDreams",,,,,,https://pbs.twimg.com/media/FiId3OVVsAAm0CE?format=jpg&name=small；,,,https://twitter.com/BYDCompany/status/1595211371783761920,Nov 23,2022-11-23T00:23:23.000Z,23,4,82,"#BYD;_x000D_
#BuildYourDreams;",,,,,,,,byd ebusses en route nedra glomma norway planned service mid nobina byd pureelectric bus service fleet operating town city sweden norway finland,4.186704345910023,"[(2, 0.9636292)]",2
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,Follow  @BYDmex,"Quote Tweet
BYD Auto Mexico
@BYDAutoMexico
·
Nov 22
Nuestra Batería Blade es sinonimo de eficiencia y seguridad.

#BladeBattery #BuildYourDreams #BYD #BYDMX #ElectricCars #VehiculosElectricos #Eficiencia #Seguridad #Sostenible #Green #EcoFriendly
1:57
1,046 views",,,,,,,https://twitter.com/i/statusnone,https://twitter.com/BYDCompany/status/1595228977743814659,Nov 23,2022-11-23T01:33:20.000Z,4,1,17,,"Nuestra Batería Blade es sinonimo de eficiencia y seguridad.

#BladeBattery #BuildYourDreams #BYD #BYDMX #ElectricCars #VehiculosElectricos #Eficiencia #Seguridad #Sostenible #Green #EcoFriendly","blob:https://twitter.com/b549ff49-994e-48c6-bf95-a098bc84e884""",BYD Auto Mexico,@BYDAutoMexico,https://twitter.com/BYDAutoMexico,2022-11-22 03:05:28,Nov 22,follow,0.0,"[(0, 0.08333574), (1, 0.08380242), (2, 0.083567746), (3, 0.5825181), (4, 0.08333531), (5, 0.08344069)]",3
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,Follow  @BYDmex,"Quote Tweet
BYD Auto Mexico
@BYDAutoMexico
·
Nov 22
Nuestra Batería Blade es sinonimo de eficiencia y seguridad.

#BladeBattery #BuildYourDreams #BYD #BYDMX #ElectricCars #VehiculosElectricos #Eficiencia #Seguridad #Sostenible #Green #EcoFriendly
1,046 views
0:07 / 2:04",,,,,,,https://twitter.com/i/statusnone,https://twitter.com/BYDCompany/status/1595228977743814659,Nov 23,2022-11-23T01:33:20.000Z,4,1,17,,"Nuestra Batería Blade es sinonimo de eficiencia y seguridad.

#BladeBattery #BuildYourDreams #BYD #BYDMX #ElectricCars #VehiculosElectricos #Eficiencia #Seguridad #Sostenible #Green #EcoFriendly","blob:https://twitter.com/b549ff49-994e-48c6-bf95-a098bc84e884""",BYD Auto Mexico,@BYDAutoMexico,https://twitter.com/BYDAutoMexico,2022-11-22 03:05:28,Nov 22,follow,0.0,"[(0, 0.08333576), (1, 0.08384369), (2, 0.08357053), (3, 0.5824735), (4, 0.083335325), (5, 0.08344112)]",3
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,"BYD's Song Plus DM-i ; Yuan Plus EV officially launched in #Brazil! 

We continue to expand NEV options for customers around the world as we build our dream of a greener future.

#ElectricVehicles #EVNews #electricvehicle",CleanTechnica and 3 others,,,,,https://pbs.twimg.com/media/FiC6BBmaAAAoK0I?format=jpg&name=small；,"https://pbs.twimg.com/media/FiC6BBmaAAAoK0I?format=jpg&name=small；_x000D_
https://pbs.twimg.com/media/FiC6Cp8VEAA2v_G?format=jpg&name=small；",,https://twitter.com/BYDCompany/status/1594492946610409472,Nov 21,2022-11-21T00:48:37.000Z,20,6,98,"#Brazil;_x000D_
#ElectricVehicles;_x000D_
#EVNews;_x000D_
#electricvehicle;",,,,,,,,byds song dmi yuan ev officially launched continue expand nev option customer build dream greener future,4.0,"[(5, 0.95052177)]",5
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,"""It is now five years since Chile began its path towards electromobility in public transport, providing better service to millions of users and more sustainability for our city. With what we have learned, we continue working to reach regions "" -@JuanCaMunozA","Quote Tweet
Juan Carlos Muñoz Abogabir
@JuanCaMunozA
·
Nov 19
Ya son cinco años desde que Chile inició su camino hacia la electromovilidad en el transporte público, entregándole mejor servicio a millones de usuarios y más sustentabilidad a nuestra ciudad. Con lo aprendido seguimos trabajando para llegar a regiones",,,,,https://pbs.twimg.com/media/Fh8DCikWAAAPQFY?format=jpg；,,,https://twitter.com/BYDCompany/status/1594138724824072192,Nov 20,2022-11-20T01:21:04.000Z,13,0,33,,"Ya son cinco años desde que Chile inició su camino hacia la electromovilidad en el transporte público, entregándole mejor servicio a millones de usuarios y más sustentabilidad a nuestra ciudad. Con lo aprendido seguimos trabajando para llegar a regiones","https://pbs.twimg.com/media/Fh8DCikWAAAPQFY?format=jpg&name=360x360""https://pbs.twimg.com/media/Fh8DCigXwAEDINq?format=jpg&name=360x360""https://pbs.twimg.com/media/Fh8DCihXkAA-KKz?format=jpg&name=360x360""https://pbs.twimg.com/media/Fh8DCijWIAATTG-?format=jpg&name=360x360""",Juan Carlos Muñoz Abogabir,@JuanCaMunozA,https://twitter.com/JuanCaMunozA,2022-11-19 15:54:30,Nov 19,chile path electromobility public transport providing service million user sustainability city learned continue reach region,3.906890595608518,"[(0, 0.010443215), (1, 0.010458534), (2, 0.010468055), (3, 0.01045293), (4, 0.01045526), (5, 0.947722)]",5
https://twitter.com/search?q=(from:BYDCompany)%20until:2022-11-30%20since:2021-01-01&src=typed_query&f=live,(from:BYDCompany) until:2022-11-30 since:2021-01-01,BYD,https://twitter.com/BYDCompany,@BYDCompany,"Nov. 2017 first 2 battery electric buses were integrated into Santiago's public transit

After 5 years, BYD deployed the most BEV buses in Chile—nearly 500!

Those buses:

Drove the equivalent of 167 trips to the 
Saved 70 million L of diesel
Prevented 218,000 tons of C02",BYD Chile and 7 others,,,,,https://pbs.twimg.com/media/Fh9QcKkVsAEFmlw?format=jpg&name=small；,,,https://twitter.com/BYDCompany/status/1594081242957299713,Nov 20,2022-11-19T21:32:39.000Z,17,0,93,,,,,,,,,nov battery electric bus integrated santiago public transit byd deployed bev bus chile bus drove equivalent trip saved diesel prevented ton,4.165894208390023,"[(5, 0.961957)]",5
