Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重,Topic15-主题词,Topic15-权重
整洁,0.008,位置,0.007,宽敞,0.006,老板娘,0.006,价格,0.007,老板,0.007,性价比,0.007,很漂亮,0.007,感觉,0.005,院子,0.007,装修,0.007,交通,0.006,贴心,0.007,地段,0.006,围炉,0.007,老板娘,0.006
热情,0.008,整体,0.007,景色,0.005,满意,0.006,推荐,0.007,整洁,0.007,地理位置,0.007,很大,0.007,视野,0.005,风格,0.006,性价比,0.006,很棒,0.006,老板,0.007,贴心,0.006,体验,0.007,雷点,0.004
整体,0.007,很棒,0.006,地理位置,0.005,酒店,0.006,好吃,0.007,露台,0.006,舒适,0.007,惬意,0.007,遮光,0.005,整洁,0.006,体验,0.006,选择,0.006,江景,0.007,价格,0.006,喜欢,0.007,攻略,0.004
漂亮,0.007,管家,0.006,江景,0.005,舒服,0.006,设施,0.007,地理位置,0.006,贴心,0.007,整洁,0.007,机会,0.005,好吃,0.006,整洁,0.006,整洁,0.006,位置,0.007,水果,0.006,整洁,0.007,二楼,0.004
地方,0.007,前台,0.005,出行,0.005,地方,0.006,夜景,0.006,宽敞,0.006,值得,0.007,风格,0.007,出差,0.005,早餐,0.006,贴心,0.006,入住,0.006,夜景,0.006,选择,0.006,入住,0.007,配备,0.004
体验,0.007,地理位置,0.005,地方,0.005,完善,0.005,朋友,0.006,装修,0.006,投影仪,0.007,管家,0.007,整洁,0.005,老板,0.006,价格,0.006,江景,0.006,放松,0.005,位置,0.006,推荐,0.007,提前,0.004
氛围,0.007,拍照,0.005,好吃,0.005,喜欢,0.005,管家,0.005,床铺,0.006,姐妹,0.005,满意,0.007,装修,0.005,江景,0.005,入住,0.006,宽敞,0.006,床品,0.005,布置,0.005,性价比,0.007,枕头,0.004
满意,0.007,好看,0.005,朋友,0.005,建议,0.004,美食,0.005,公寓,0.006,隔音,0.005,很好,0.005,房子,0.005,出片,0.005,喜欢,0.006,满意,0.006,优雅,0.005,满意,0.005,不想,0.005,总体,0.004
不错,0.007,值得,0.005,早餐,0.005,面积,0.004,续房,0.005,很大,0.006,灯光,0.005,工作人员,0.005,惊喜,0.005,喜欢,0.005,很好,0.005,下楼,0.006,电影,0.005,用品,0.005,惬意,0.005,感受,0.004
细节,0.005,暖气,0.004,拍照,0.005,贴心,0.004,牛奶,0.005,喜欢,0.006,露台,0.005,出门,0.005,用心,0.005,交通,0.005,热情,0.005,浴缸,0.006,浴缸,0.005,情侣,0.005,行李,0.005,超值,0.004
办理,0.005,风景,0.004,地铁口,0.004,细心,0.004,玻璃,0.005,感觉,0.006,出行,0.005,退房,0.005,设施,0.005,风景,0.005,隔音,0.005,店家,0.006,泡澡,0.005,景色,0.005,值得,0.005,下午茶,0.004
女朋友,0.005,围炉,0.004,距离,0.004,异味,0.004,手机,0.005,干湿,0.004,很棒,0.005,位置,0.005,朋友,0.005,入住,0.005,酒店,0.005,环境,0.006,温柔,0.005,工作人员,0.005,打扫,0.005,适合,0.004
