所属主题,文章数量,特征词,主题强度
Topic0,183,行程、携程、领队、安排、酒店、导游、满意、时间、希望、景点、游客、下次、旅游、负责、司机、房间、选择、出游、团队、服务,0.26951
Topic1,91,导游、领队、携程、行程、不错、时间、服务、安排、酒店、旅游、满意、景点、解决、特别、团队、出行、欧洲、建议、讲解、瑞士,0.13402
Topic2,103,行程、安排、酒店、领队、时间、导游、不错、住宿、小时、携程、欧洲、景点、总体、旅游、司机、购物、特别、服务、第一天、感觉,0.15169
Topic3,39,携程、领队、导游、行程、服务、旅游、时间、全程、希望、安排、总体、实在、罗马、地方、团友、欧洲、回来、小时、瑞士、项目,0.057437
Topic4,53,领队、安排、导游、行程、携程、时间、酒店、满意、景点、团队、旅游、不错、只能、小时、住宿、飞机、出行、客人、瑞士、地方,0.078056
Topic5,35,携程、导游、行程、酒店、安排、领队、住宿、景点、时间、团餐、出行、小时、欧洲、自由、伦敦、英国、机场、旅游、瑞士、房间,0.051546
Topic6,71,携程、导游、行程、领队、酒店、安排、旅游、不错、旅行、服务、讲解、拒签、团友、景点、满意、碰到、时间、通知、好评、解决,0.10457
Topic7,23,酒店、偏远、行程、携程、安排、导游、小时、时间、司机、升级、王导、团友、北爱尔兰、态度、游行、产品、经理、全程、下午、飞机,0.033873
Topic8,81,行程、领队、酒店、安排、携程、导游、时间、旅游、不错、服务、满意、景点、司机、建议、购物、开心、瑞士、旅行、机场、巴黎,0.11929
