内容,主题概率,主题类型
总体 产品 联运 飞机 航班 间隔时间 去时 转机 间隔 小时 回来 间隔 小时 住宿 自选 威基 国宾酒店 地理位置 不错 逛街 海边 房间 空调 窗式 启动 拖拉机,"[(2, 0.9670557)]",2
旅游 踩雷 旅游 携程 信息 推荐 酒店 预订 信息 平米 房间 感觉 入住 想象 夏威夷 酒店 海岸线 酒店 高级 商业街 酒店 八十年代 风格 入住 这家 大床 通道 一间 货运 电梯 边上 避开 酒店 大床 大床 一点 最多 极限 房间 位置 八十年代 风格 酒店 粗犷 路线 安静 电梯 哄哄 有个 新开 希尔顿 这家 酒店 价格 省心 简单 携程 信息 错误 手机 越洋电话 五六个 携程 三天 方案 掏钱 升级 房间 图五 加钱 换到 双床 心情 难受 核心 旅游 携程 补偿 明白,"[(0, 0.9888804)]",0
携程 行程 不错 建议 朋友 项目 时间 檀香山 就行了 不好,"[(0, 0.01011236), (1, 0.010109824), (2, 0.34700617), (3, 0.010113107), (4, 0.010109128), (5, 0.010111447), (6, 0.010109029), (7, 0.5822166), (8, 0.010112258)]",7
领队 形式 交流 导游 回复 关注 航班 延误 通知,"[(0, 0.011118581), (1, 0.91104025), (2, 0.011116718), (3, 0.011116664), (4, 0.011118089), (5, 0.0111243995), (6, 0.011122992), (7, 0.01112268), (8, 0.011119566)]",1
本来 担心 转机 麻烦 一路 顺畅 价格 便宜 服务 满意 下次 携程 预订 行程,"[(0, 0.9406917)]",0
携程 航班 部门 工作人员 负责 回来 航班 第一 延迟 主动 电话 改签 负责 天住 四个 酒店 地理位置 比较满意,"[(0, 0.9531724)]",0
酒店 位置 不错 酒店 条件 房间 桌子 虫卵 服务员 第二天 一大早 时差 没倒 敲门 卫生 态度 不好 慎选 酒店,"[(8, 0.9555224)]",8
老公 夏威夷 游玩 酒店 机票 接送 服务 两个 半日 游行 包括 签证 办理 单独 携程 大岛 跳伞 项目 出行 顺利,"[(1, 0.95763916)]",1
夏威夷 旅途 愉快 当地人 友善 乐于助人 本次 旅程 酒店 满意 堪称 完美 酒店 工作人员 友好 前台 住客 不耐烦 一句 一脸 冷漠 热情好客 夏威夷 天壤之别 楼层 房间 留给 外国人 家里 老人 办理 入住 一句 安排 安静 房间 反馈 一句 一声 冷笑 更换 干净 洗脸 毛巾 清洁 人员 地上 毛巾 递给 晚上 马桶 还坏 冲水 深更半夜 工作人员 修理 马桶 真心 这家 糟心 酒店 开心,"[(0, 0.98587924)]",0
游玩 开心 携程 服务 不错 正赶上 夏威夷 飓风 幸运 影响 行程 飓风 正好 影响 瓦胡岛 飞机 晚点 两个 小时 还好 酒店 入住 晚点 接机 服务 照常 回来 飞机 早点 携程 前一天 晚上 通知 懒觉 送机 早上 六点 四十 打车 酒店 预期 经济型 位置 海边 交通枢纽 不远 自由 两天 开心 呆够 时间 再加 更好 回来 飞机 晚点 补偿,"[(8, 0.98466337)]",8
满意 出游 地接壇 旅行社 服务 专业 地导 三天 自由 行定 大岛 民族村 恐龙 行程 携程 出团 行程 四天 自由 时间 行程 安排 第一天 早上 接机 游览 安排 美国 酒店 下午 三点 入住 接机 酒店 携程 客服 谢谢 旅行 顾问 夏威夷 旅游 资源 中国 三亚 难以 超越,"[(4, 0.9810736)]",4
接机 送机 导游 讲解 人员 飞机 晚点 疲惫 情况 两个 小时 海关 市区 行程 安排 出发 出团 通知书 后才 紧急 联系人 电话 携程 出行 体验 失望 选择 值得,"[(6, 0.9693253)]",6
行程 总体 回程 发现 机票 改签 携程 更新 信息 录入 导致 机场 工作人员 查不到 更新 票号 半天 更新 一点 个差 希望 客户 麻烦,"[(0, 0.96293515)]",0
满怀 憧憬 度假 飞机 说好 不到 出行 前一天 携程 导游 承接 公司 并未 沟通 行程 两顿 餐食 一顿 携程 多年 用户 确实 携程 行程 安排 大打折扣 只好 售后 不错 给予 赔付 关键 解决问题 态度,"[(1, 0.9745867)]",1
檀岛 旅游 公司 导游 接送 准时 行程 安排 开心 导游 真的,"[(1, 0.39864528), (2, 0.53649807)]",2
檀岛 旅游 阿星 负责 客气 景点 讲解 条款 介绍 仔细 协程 唯一 大岛 旅游 项目 高原 提醒 外套 差点 冻成 满意,"[(8, 0.9595669)]",8
行程 下单 行程 改变 费用 小费 导游 同一个 要换 导游 小费 火山岛 那天 下雨 本来 心情 很糟 自费 那天 导游 三个 购物点 环岛 说好 养殖场 没去 海滩 边上 沙子 饭盒 菠萝油 五点 关门 五点 二十 时间 浪费 购物点 几天 自由 开心 几天 糟糕,"[(8, 0.979784)]",8
本来 携程 包给 檀岛 旅游 接待 态度 第三天 诱导 签署 一张 增加 景点 合同书 开车 珍珠 地方 进门 感觉 东西 导游 带去 中国 卖东西 中国 价格 阿拉 莫那 购物中心 价格 一倍 擅自 带到 了卖 保健品 原订 午饭 硬是 拖延 最差 牛排,"[(1, 0.9788236)]",1
导游 行程 情况 调整 安排 携程 自营 品牌 不错 推荐,"[(0, 0.010110239), (1, 0.010113623), (2, 0.9191352), (3, 0.010107946), (4, 0.010106954), (5, 0.010105317), (6, 0.010109167), (7, 0.010104514), (8, 0.010107055)]",2
领队 马学宇 超捧 競业业 任劳任怨 突发 飞机 误点 突遇 暴雨 忙而不乱 体贴 游客 时时 维护 携程 声誉 携程网 行程 广告 购物 购物 次数 时间 经典 景点 只能 奔马 观花 野营拉练 游兴 购物 购物 游客 心理 落差 领队 增加 很大 工作量 微调 游程 兼顾 游客 需求,"[(4, 0.9806665)]",4
领队 袁导 带领 行程 顺利 开心 领队 细心 提前 告知 注意事项 麻烦 度过 愉快 欧洲,"[(2, 0.94440264)]",2
导游 周其旭 十二天 意大利 瑞士 行程 用心 安排 得当 时间 关心 一位 团队 人员 十分满意 携程 配有 导游 开心 愉快,"[(4, 0.9576439)]",4
行程 很早 酒店 太晚 第一 天下 飞机 行程 紧张 疲劳,"[(0, 0.010107255), (1, 0.010104954), (2, 0.91915154), (3, 0.010103849), (4, 0.010107212), (5, 0.010106071), (6, 0.010105112), (7, 0.010106049), (8, 0.010107975)]",2
