word,counts
姥姥,15017
喜欢,6471
妈妈,6184
感觉,6159
孩子,4959
东北,4372
成成,4363
中国,4124
好吃,3785
姥爷,3210
生活,2644
老公,2632
婆婆,2586
希望,2505
幸福,2469
看着,2379
爷爷,2350
豆腐,2226
一点,2221
北方,2192
这是,2180
为啥,2179
女儿,2082
奶奶,2047
有没有,2040
东西,1991
儿子,1973
哈哈哈,1961
一斤,1954
吃饭,1903
回来,1903
一句,1896
小时候,1811
我家,1797
农村,1767
好像,1737
第一次,1703
不用,1700
两个,1697
说话,1685
开心,1664
男人,1637
家里,1611
第一,1610
善良,1607
特别,1596
女人,1589
非洲,1553
宝宝,1545
媳妇,1540
不好,1513
爸爸,1513
好看,1506
粉丝,1495
评论,1487
可爱,1483
rose,1464
酸菜,1426
地方,1424
肯定,1389
好多,1377
朋友,1363
有人,1362
老人,1347
天天,1341
不到,1313
房子,1308
好好,1209
姐姐,1198
每次,1192
越来越,1174
饺子,1171
告诉,1162
南方,1153
老婆,1146
厉害,1145
过年,1133
支持,1129
小月,1118
土豆,1102
几个,1097
加油,1090
鸡蛋,1089
记得,1077
终于,1077
羡慕,1073
发现,1061
抖音,1060
漂亮,1056
鱼塘,1053
辛苦,1026
三剑客,1025
父母,1024
好奇,1015
怀孕,1010
南方人,999
一家人,994
干活,953
不行,949
时间,948
阿丁,940
干净,931
听说,930
那种,929
结婚,927
一家,921
肉丝,917
衣服,915
回家,913
野猪,908
不想,907
真实,897
外婆,893
一年,887
回去,887
红薯,887
感动,886
不错,874
样子,868
没吃过,867
晚上,864
几天,850
做饭,848
老太太,839
地瓜,820
努力,808
生日,801
块钱,797
弱弱,795
估计,789
永远,788
身体,776
点赞,774
别吵,774
花生,771
远嫁,769
坐月子,768
不吃,767
请问,766
娘家,766
味道,763
小孩,763
有个,760
照顾,759
心疼,739
我妈,738
确实,734
阿姨,731
唢呐,728
小登,723
粽子,721
实在,718
能干,712
事情,705
这才,701
妹妹,698
头发,694
关注,685
团队,684
手机,683
恭喜,678
谢谢,677
你家,676
赶紧,673
小鸡,668
没见,667
孝顺,659
包子,659
睡觉,647
李子,640
光头,639
哈哈哈哈,638
一块,636
豆豆,635
三个,634
麻烦,633
干嘛,631
舒服,625
去年,624
广东,623
年轻,620
声音,619
麦子,619
老家,618
买个,614
期待,613
一个月,611
问问,609
我要,606
一辈子,603
姐妹,600
理解,599
外面,594
祝福,594
一条,593
不让,593
二婚,592
建议,591
一看,590
平安,589
村里,588
明天,586
日子,585
快乐,583
一口,581
馒头,574
家庭,570
村民,566
便宜,565
在家,565
回归,564
长大,564
红包,559
草鱼,558
皮肤,556
玉米,556
广告,555
豆腐脑,555
帮忙,554
西瓜,553
出镜,553
明白,552
辣椒,552
可惜,546
冬天,545
粉条,545
小时,544
说实话,540
跟着,539
一只,538
勤劳,536
黑粉,533
眼泪,532
舅舅,526
兄弟,521
水果,519
河南,518
一种,516
归队,513
月子,512
本来,511
一批,511
茄子,510
下次,507
爸妈,506
条件,505
赚钱,504
懂事,504
来个,503
值得,499
工作,498
刷到,498
家人,498
能量,496
回娘家,492
淀粉,492
大哥,485
真心,484
担心,483
香油,478
玩意,476
抓鱼,476
听到,474
只能,469
流量,469
没人,469
想要,468
山东,467
网上,467
多人,466
南瓜,464
排骨,463
基因,462
网友,457
一生,457
直播,455
想起,453
那句,451
更好,449
身上,448
