word,counts
一去,1147
不错,881
地方,743
上海,383
推荐,321
景色,312
好好,263
漂亮,213
打卡,166
环境,156
一游,148
性价比,138
好玩,129
景点,123
建筑,118
体验,102
孩子,94
逛一逛,94
环境优美,89
特色,87
