Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重
不好,0.069,好吃,0.058,开口,0.040,感觉,0.047,收到,0.029,好吃,0.066,孩子,0.030,口感,0.038,一袋,0.054,大果,0.039,口感,0.028
坏果,0.030,好多,0.031,收到,0.037,味道,0.034,包装,0.027,第一次,0.059,好吃,0.026,味道,0.021,果仁,0.043,购买,0.023,一包,0.024
果子,0.023,一包,0.030,好吃,0.033,分量,0.026,不好,0.022,味道,0.050,价格,0.026,评价,0.017,快递,0.033,便宜,0.020,不好,0.020
很小,0.023,味道,0.025,第一次,0.026,好吃,0.021,总体,0.017,一点,0.035,味道,0.025,直播间,0.016,不错,0.024,收到,0.019,感觉,0.016
好几个,0.021,直播间,0.022,豆皮,0.025,粘壳,0.021,一点,0.016,香味,0.030,打开,0.023,香味,0.016,味道,0.022,第二次,0.019,态度,0.015
新鲜,0.020,第一次,0.021,购买,0.020,果子,0.019,果子,0.016,不好,0.027,坏果,0.020,打开,0.015,直播间,0.022,很快,0.016,便宜,0.015
便宜,0.018,发黄,0.021,口感,0.019,收到,0.018,几个,0.014,感觉,0.025,喜欢,0.020,不太好,0.014,还好,0.020,香味,0.015,四个,0.014
口感,0.017,感觉,0.020,果肉,0.019,价格,0.016,下次,0.012,大果,0.023,皮厚,0.014,快递,0.014,果子,0.020,价格,0.015,一点,0.014
日期,0.016,颜色,0.018,直播,0.017,果肉,0.015,一半,0.011,新鲜,0.019,口感,0.014,几个,0.013,打开,0.019,坏果,0.014,东西,0.014
打开,0.016,收到,0.016,那种,0.015,个头,0.014,感觉,0.011,果小,0.018,质量,0.013,包装,0.013,看着,0.018,一半,0.012,一分钱,0.014
一分,0.016,坏果,0.015,特别,0.014,品质,0.013,新鲜,0.010,果子,0.015,不错,0.012,剥开,0.011,好吃,0.015,发货,0.011,一分货,0.014
质量,0.015,打开,0.015,上次,0.014,小果,0.011,不错,0.009,喜欢,0.014,袋子,0.011,果子,0.011,两个,0.015,小果,0.011,两包,0.013
味道,0.015,东西,0.013,不错,0.014,超市,0.011,粉条,0.009,回购,0.013,太小,0.011,果皮,0.011,服务,0.013,商家,0.010,回购,0.011
一分货,0.014,几个,0.012,新鲜,0.012,时间,0.011,回购,0.008,购买,0.012,三包,0.011,收到,0.010,里边,0.013,看着,0.010,坏果,0.011
下次,0.014,口感,0.010,主播,0.012,包裹,0.010,好吃,0.008,口感,0.011,小袋,0.011,发货,0.009,说实话,0.011,只能,0.009,不错,0.011
大部分,0.012,小果,0.009,好多,0.011,不是太好,0.010,去年,0.008,直播间,0.010,甜蜜,0.011,评论,0.009,追评,0.009,物流,0.009,收到,0.009
发黄,0.012,反正,0.009,失望,0.011,说话,0.010,回来,0.008,第二次,0.010,合适,0.011,性价比,0.008,苦味,0.009,好吃,0.008,发霉,0.009
挺好吃,0.011,特别,0.009,包装,0.011,物流,0.010,味道,0.008,不太好,0.009,一袋,0.010,个头,0.008,中评,0.008,块钱,0.008,一共,0.008
收到,0.010,包装,0.009,果子,0.009,不怎么样,0.010,只能,0.008,回来,0.009,特别,0.010,一袋,0.007,真的,0.008,一股,0.008,新鲜,0.008
确实,0.010,物流,0.009,感觉,0.009,口感,0.008,便宜,0.007,东西,0.009,两个,0.010,速度,0.007,评价,0.008,不好,0.008,挺好吃,0.008
